cardnumber,cardname,page_title,card_type_raw,work_title,group,unit,cost,blade,blade_heart_raw,base_hearts_raw,required_hearts_raw,score,effect_text_raw,source_url,card_type_norm,base_hearts_counts_json,base_hearts_total,base_hearts_tags_json,required_hearts_counts_json,required_hearts_total,required_hearts_tags_json,blade_heart_counts_json,blade_heart_total,blade_heart_tags_json,effect_text_norm,effect_text_status,effect_text_is_no_ability,effect_tokens_json,tok_blade_icon_n,tok_energy_icon_n,tok_all_heart_n,tok_score_delta_icon,tok_unknown_tags_n,blade_heart_special_counts_json,blade_heart_draw_n,blade_heart_score_n,blade_heart_colorless_n,manual_override_applied,manual_override_reason
PL!-PR-002,絢瀬絵里,PL!-PR-002 絢瀬絵里 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,BiBi,4.0,1.0,なし,<紫> 2,,,"<自動>
このメンバーがステージから控え室に置かれたとき、メンバー1人をアクティブにしてもよい。",https://wikiwiki.jp/llocardgame/PL%21-PR-002%20%E7%B5%A2%E7%80%AC%E7%B5%B5%E9%87%8C,MEMBER,{},0,[],{},0,[],{},0,[],"<自動>
このメンバーがステージから控え室に置かれたとき、メンバー1人をアクティブにしてもよい。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-003,南ことり,PL!-PR-003 南ことり - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,Printemps,15.0,4.0,<黄>,<桃> 2 <黄> 3 <紫> 1,,,"<起動>
<ターン1回>
手札を1枚控え室に置く：控え室から必要ハートに
<黄>
を3以上含むライブカードを1枚手札に加える。",https://wikiwiki.jp/llocardgame/PL%21-PR-003%20%E5%8D%97%E3%81%93%E3%81%A8%E3%82%8A,MEMBER,{},0,[],{},0,[],"{""yellow"": 1}",1,[],"<起動>
<ターン1回>
手札を1枚控え室に置く：控え室から必要ハートに
<黄>
を3以上含むライブカードを1枚手札に加える。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-004,園田海未,PL!-PR-004 園田海未 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,lily white,15.0,4.0,<桃>,<桃> 3 <黄> 1 <紫> 2,,,"<起動>
<ターン1回>
手札を1枚控え室に置く：自分の控え室から必要ハートに
<桃>
を3以上含むライブカードを1枚手札に加える。",https://wikiwiki.jp/llocardgame/PL%21-PR-004%20%E5%9C%92%E7%94%B0%E6%B5%B7%E6%9C%AA,MEMBER,{},0,[],{},0,[],"{""pink"": 1}",1,[],"<起動>
<ターン1回>
手札を1枚控え室に置く：自分の控え室から必要ハートに
<桃>
を3以上含むライブカードを1枚手札に加える。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-005,星空凛,PL!-PR-005 星空凛 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,lily white,9.0,3.0,なし,<桃> 1 <黄> 1 <紫> 1,,,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",https://wikiwiki.jp/llocardgame/PL%21-PR-005%20%E6%98%9F%E7%A9%BA%E5%87%9B,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-006,西木野真姫,PL!-PR-006 西木野真姫 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,BiBi,9.0,3.0,なし,<桃> 1 <黄> 1 <紫> 1,,,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",https://wikiwiki.jp/llocardgame/PL%21-PR-006%20%E8%A5%BF%E6%9C%A8%E9%87%8E%E7%9C%9F%E5%A7%AB,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-007,東條希,PL!-PR-007 東條希 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,lily white,4.0,2.0,なし,<桃> 1,,,"<登場>
/
<ライブ開始時>
このメンバーをウェイトにしてもよい：相手のステージにいるコスト4以下のメンバー1人をウェイトにする。
（ウェイト状態のメンバーが持つ
<(ブレード)>
は、エールで公開する枚数を増やさない。）",https://wikiwiki.jp/llocardgame/PL%21-PR-007%20%E6%9D%B1%E6%A2%9D%E5%B8%8C,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
/
<ライブ開始時>
このメンバーをウェイトにしてもよい：相手のステージにいるコスト4以下のメンバー1人をウェイトにする。
（ウェイト状態のメンバーが持つ
<(ブレード)>
は、エールで公開する枚数を増やさない。）",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""tags"": [], ""blade_icon_n"": 1, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": []}",1,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-008,小泉花陽,PL!-PR-008 小泉花陽 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,Printemps,9.0,3.0,なし,<桃> 1 <黄> 1 <紫> 1,,,"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",https://wikiwiki.jp/llocardgame/PL%21-PR-008%20%E5%B0%8F%E6%B3%89%E8%8A%B1%E9%99%BD,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
以下から1つを選ぶ。
・カードを1枚引き、手札を1枚控え室に置く。
・相手のステージにいるすべてのコスト2以下のメンバーをウェイトにする。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-009,矢澤にこ,PL!-PR-009 矢澤にこ - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,BiBi,4.0,2.0,なし,<紫> 1,,,"<登場>
/
<ライブ開始時>
このメンバーをウェイトにしてもよい：相手のステージにいるコスト4以下のメンバー1人をウェイトにする。",https://wikiwiki.jp/llocardgame/PL%21-PR-009%20%E7%9F%A2%E6%BE%A4%E3%81%AB%E3%81%93,MEMBER,{},0,[],{},0,[],{},0,[],"<登場>
/
<ライブ開始時>
このメンバーをウェイトにしてもよい：相手のステージにいるコスト4以下のメンバー1人をウェイトにする。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-012,小泉花陽,PL!-PR-012 小泉花陽 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,Printemps,4.0,2.0,<黄>,<黄> 1,,,"<起動>
<ターン1回>
このメンバーをウェイトにし、手札を1枚控え室に置く：カードを1枚引く。",https://wikiwiki.jp/llocardgame/PL%21-PR-012%20%E5%B0%8F%E6%B3%89%E8%8A%B1%E9%99%BD,MEMBER,{},0,[],{},0,[],"{""yellow"": 1}",1,[],"<起動>
<ターン1回>
このメンバーをウェイトにし、手札を1枚控え室に置く：カードを1枚引く。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
PL!-PR-014,園田海未,PL!-PR-014 園田海未 - ラブライブ！シリーズ オフィシャルカードゲーム(ラブカ) 非公式 Wiki*,メンバー,ラブライブ！,μ's,lily white,2.0,1.0,<桃>,<桃> 1,,,"<登場>
相手の手札を、自分は見ないで3枚選び公開する。これにより公開されたカードの中にライブカードがない場合、カードを1枚引く。",https://wikiwiki.jp/llocardgame/PL%21-PR-014%20%E5%9C%92%E7%94%B0%E6%B5%B7%E6%9C%AA,MEMBER,{},0,[],{},0,[],"{""pink"": 1}",1,[],"<登場>
相手の手札を、自分は見ないで3枚選び公開する。これにより公開されたカードの中にライブカードがない場合、カードを1枚引く。",HAS_TEXT,0,"{""hearts"": {}, ""blade_mentions"": [], ""blade_icon_n"": 0, ""energy_icon_n"": 0, ""all_heart_n"": 0, ""score_delta_icon"": 0, ""unknown_tags"": [], ""tags"": []}",0,0,0,0,0,"{""draw"": 0, ""score"": 0, ""colorless"": 0}",0,0,0,,
