cardnumber,cardname,card_type,ability_type,trigger,effect_text
PL!N-pb1-038,PHOENIX,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場かライブ中のライブカードの中に、必要ハートに含まれる
<桃>
が4の『虹ヶ咲』のライブカードがある場合、このカードのスコアを+1する。"
PL!N-pb1-039,Stellar Stream,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場かライブ中のライブカードの中に、必要ハートに含まれる
<桃>
が3の『虹ヶ咲』のライブカードがある場合、ライブ終了時まで、自分のステージにいる
<紫>
を持つ『虹ヶ咲』のメンバー1人は
<紫>
<紫>
<紫>
<紫>
を得る。"
PL!S-PR-039,渡辺曜,MEMBER,常時,BODY,"自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>
を得る。"
PL!S-bp2-001,高海千歌,MEMBER,常時,BODY,"自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>
を得る。"
PL!S-bp2-024,君のこころは輝いてるかい？,LIVE,常時,BODY,このカードは成功ライブカード置き場に置くことができない。
PL!S-bp2-025,青空Jumping Heart,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場にカードが2枚以上ある場合、ライブ終了時まで、自分のステージにいるメンバー1人は、<(ブレード)><(ブレード)>
を得る。"
PL!S-bp3-016,国木田花丸,MEMBER,常時,BODY,自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。
PL!S-bp5-019,not ALONE not HITORI,LIVE,自動,ライブ成功時,自分か相手の成功ライブカード置き場にカードが2枚以上ある場合、エールにより公開された自分のカードの中から、メンバーカードを2枚まで手札に加える。
PL!S-bp6-007,国木田花丸,MEMBER,自動,ライブ開始時,<(E)>支払うか手札を2枚控え室に置いてもよい：自分の成功ライブカード置き場にカードがなく、かつ相手の成功ライブカード置き場にカードが2枚以上ある場合、ライブ終了時まで、自分のステージにいる『Aqours』のメンバー2人までは「<常時>ライブの合計スコアを+1する。」を得る。
PL!S-bp6-009,黒澤ルビィ,MEMBER,常時,BODY,"相手の成功ライブカード置き場にあるカードの枚数が自分より多いかぎり、その差に等しい数の<(ブレード)>
を得る。"
PL!S-bp6-020,"冒険Type A, B, C!!",LIVE,自動,ライブ開始時,・自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。
PL!S-pb1-009,黒澤ルビィ,MEMBER,常時,BODY,"自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>
を得る。"
PL!S-pb1-022,逃走迷走メビウスループ,LIVE,自動,ライブ成功時,このターン、ライブに勝利するプレイヤーを決定するとき、自分と相手のライブの合計スコアが同じ場合、ライブ終了時まで、自分と相手は成功ライブカード置き場にカードを置くことができない。
PL!SP-bp2-023,Go!! リスタート,LIVE,自動,ライブ開始時,自分の成功ライブカード置き場のカード枚数が相手より少ない場合、このカードのスコアを+1する。
PL!SP-bp5-023,Shooting Voice!!,LIVE,自動,ライブ成功時,"自分か相手の成功ライブカード置き場にカードが2枚以上あり、かつエールによって公開された自分のカードの中に
<(スコア)+1>
を持つライブカードが1枚以上ある場合、このカードのスコアを+2する。"
PL!SP-sd2-023,始まりは君の空,LIVE,自動,ライブ開始時,"自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+5し、必要ハートは
<赤>
<赤>
<赤>
<黄>
<黄>
<黄>
<紫>
<紫>
<紫>
<任意>
<任意>
<任意>
になる。"
