audit_id,cardnumber,audit_text,runtime_text,compiled_text,override_text,difference_type,semantic_impact,runtime_behavior_risk,recommended_source_of_truth,evidence,result,notes
PL!HS-cl1-004#A01,PL!HS-cl1-004,"<登場>
以下から1つを選ぶ。
・自分のデッキの上からカードを3枚控え室に置く。
・相手のステージにいるコスト2以下のメンバー1人をウェイトにする。","<登場>
以下から1つを選ぶ。
・自分のデッキの上からカードを3枚控え室に置く。
・相手のステージにいるコスト2以下のメンバー1人をウェイトにする。","<登場>
以下から1つを選ぶ。
自分のデッキの上からカードを3枚控え室に置く。
相手のステージにいるコスト2以下のメンバー1人をウェイトにする。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!HS-cl1-011#A01,PL!HS-cl1-011,"<ライブ成功時>
<(E)>
支払ってもよい：以下から1つを選ぶ。
・自分の控え室からメンバーカードを1枚手札に加える。
・自分のライブカード置き場にカードが2枚以上ある場合、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。","<ライブ成功時>
<(E)>
支払ってもよい：以下から1つを選ぶ。
・自分の控え室からメンバーカードを1枚手札に加える。
・自分のライブカード置き場にカードが2枚以上ある場合、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。","<ライブ成功時>
<(E)>支払ってもよい：以下から1つを選ぶ。
自分の控え室からメンバーカードを1枚手札に加える。
自分のライブカード置き場にカードが2枚以上ある場合、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=114; runtime_norm_len=114; compiled_norm_len=112; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!N-bp4-030#A01,PL!N-bp4-030,"<ライブ成功時>
以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。
・自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
・自分の控え室からメンバーカードを1枚手札に加える。","<ライブ成功時>
以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。
・自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
・自分の控え室からメンバーカードを1枚手札に加える。","<ライブ成功時>
以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。
自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
自分の控え室からメンバーカードを1枚手札に加える。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=122; runtime_norm_len=122; compiled_norm_len=120; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!N-bp5-001#A01,PL!N-bp5-001,"<自動>
<ターン1回>
自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に
<桃>
、
<赤>
、
<黄>
、
<緑>
、
<青>
、
<紫>
、
<ALL>
のうち、3種類以上ある場合、ライブ終了時まで、
<桃>
を得る。6種類以上ある場合、さらにライブ終了時まで、『","<自動>
<ターン1回>
自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に
<桃>
、
<赤>
、
<黄>
、
<緑>
、
<青>
、
<紫>
、
<ALL>
のうち、3種類以上ある場合、ライブ終了時まで、
<桃>
を得る。6種類以上ある場合、さらにライブ終了時まで、『
<常時>
ライブの合計スコアを+1する。』を得る。","<BODY>
【ターン1回】
自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に<桃>、<赤>、<黄>、<緑>、<青>、<紫>、<ALL>のうち、3種類以上ある場合、ライブ終了時まで、<桃>を得る。6種類以上ある場合、さらにライブ終了時まで、『<常時>ライブの合計スコアを+1する。』を得る。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=134; runtime_norm_len=158; compiled_norm_len=160; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!N-bp5-011#A01,PL!N-bp5-011,"<登場>
以下から1つを選ぶ。
・自分の控え室にカード名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。
・自分の控え室にグループ名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを2枚手札に加える。","<登場>
以下から1つを選ぶ。
・自分の控え室にカード名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。
・自分の控え室にグループ名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを2枚手札に加える。","<登場>
以下から1つを選ぶ。
自分の控え室にカード名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。
自分の控え室にグループ名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを2枚手札に加える。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=127; runtime_norm_len=127; compiled_norm_len=125; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!N-bp5-030#A02,PL!N-bp5-030,"<ライブ開始時>
能力が解決するたび、そのメンバーが
<ALL>
を持たない場合、ライブ終了時まで、そのメンバーは
<ALL>
を得る。","<自動>
自分のステージにいるメンバーの
<ライブ開始時>
能力が解決するたび、そのメンバーが
<ALL>
を持たない場合、ライブ終了時まで、そのメンバーは
<ALL>
を得る。
<自動>
自分のステージにいるメンバーの
<ライブ成功時>
能力が解決するたび、カードを1枚引く。","<BODY>
自分のステージにいるメンバーの<ライブ成功時>能力が解決するたび、カードを1枚引く。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=63; runtime_norm_len=128; compiled_norm_len=48; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!N-bp7-005#A01,PL!N-bp7-005,"<登場>
自分のステージに名前の異なる『DiverDiva』のメンバーが2人いる場合、以下から1つを選ぶ。
・エネルギーを2枚アクティブにする。
・自分のエネルギーデッキから、エネルギーカード1枚を自分のステージにいる『虹ヶ咲』のメンバーの下に置く。","<登場>
自分のステージに名前の異なる『DiverDiva』のメンバーが2人いる場合、以下から1つを選ぶ。
・エネルギーを2枚アクティブにする。
・自分のエネルギーデッキから、エネルギーカード1枚を自分のステージにいる『虹ヶ咲』のメンバーの下に置く。","<登場>
自分のステージに名前の異なる『DiverDiva』のメンバーが2人いる場合、以下から1つを選ぶ。
エネルギーを2枚アクティブにする。
自分のエネルギーデッキから、エネルギーカード1枚を自分のステージにいる『虹ヶ咲』のメンバーの下に置く。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=122; runtime_norm_len=122; compiled_norm_len=120; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!N-pb1-010#A01,PL!N-pb1-010,"<登場>
以下から1つを選ぶ。
・エネルギーを1枚アクティブにする。
・自分の控え室にある『虹ヶ咲』のライブカードを2枚まで好きな順番でデッキの上に置く。","<登場>
以下から1つを選ぶ。
・エネルギーを1枚アクティブにする。
・自分の控え室にある『虹ヶ咲』のライブカードを2枚まで好きな順番でデッキの上に置く。","<登場>
以下から1つを選ぶ。
エネルギーを1枚アクティブにする。
自分の控え室にある『虹ヶ咲』のライブカードを2枚まで好きな順番でデッキの上に置く。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=74; runtime_norm_len=74; compiled_norm_len=72; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!S-bp3-024#A01,PL!S-bp3-024,"<ライブ開始時>
自分のステージのセンターエリアにコスト9以上の『Aqours』のメンバーがいる場合、以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいるメンバー1人は、
<(ブレード)>
<(ブレード)>
を得る。
・相手のステージにいるコスト4以下のメンバ1人をウェイトにする。","<ライブ開始時>
自分のステージのセンターエリアにコスト9以上の『Aqours』のメンバーがいる場合、以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいるメンバー1人は、
<(ブレード)>
<(ブレード)>
を得る。
・相手のステージにいるコスト4以下のメンバ1人をウェイトにする。","<ライブ開始時>
自分のステージのセンターエリアにコスト9以上の『Aqours』のメンバーがいる場合、以下から1つを選ぶ。
ライブ終了時まで、自分のステージにいるメンバー1人は、<(ブレード)><(ブレード)>を得る。
相手のステージにいるコスト4以下のメンバ1人をウェイトにする。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=140; runtime_norm_len=140; compiled_norm_len=138; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!S-bp5-004#A01,PL!S-bp5-004,"<登場>
以下から1つを選ぶ。
・自分のステージにいるこのメンバー以外の『Aqours』のメンバー1人は、ライブ終了時まで、
<(ブレード)>
を得る。
・自分のステージにいる『Saint Snow』のメンバー1人をポジションチェンジさせる。","<登場>
以下から1つを選ぶ。
・自分のステージにいるこのメンバー以外の『Aqours』のメンバー1人は、ライブ終了時まで、
<(ブレード)>
を得る。
・自分のステージにいる『Saint Snow』のメンバー1人をポジションチェンジさせる。","<登場>
以下から1つを選ぶ。
自分のステージにいるこのメンバー以外の『Aqours』のメンバー1人は、ライブ終了時まで、<(ブレード)>を得る。
自分のステージにいる『Saint Snow』のメンバー1人をポジションチェンジさせる。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=115; runtime_norm_len=115; compiled_norm_len=113; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!S-bp6-020#A01,PL!S-bp6-020,"<ライブ開始時>
以下から1つを選ぶ。
・このカードは「
<ライブ成功時>
カードを1枚引く。」を得る。
・ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は
<赤>
を得る。
・自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。","<ライブ開始時>
以下から1つを選ぶ。
・このカードは「
<ライブ成功時>
カードを1枚引く。」を得る。
・ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は
<赤>
を得る。
・自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。","<ライブ開始時>
以下から1つを選ぶ。
このカードは「<ライブ成功時>カードを1枚引く。」を得る。
ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は<赤>を得る。
自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。",,FORMAT_ONLY,none,LOW,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=143; runtime_norm_len=143; compiled_norm_len=140; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!S-bp7-003#A02,PL!S-bp7-003,"<登場>
以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいる元々持つ
<(ブレード)>
の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。
・このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。","<登場>
/
<ライブ開始時>
自分のデッキの一番上のカードを見る。それをデッキの一番下に置いてもよい。
<登場>
以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいる元々持つ
<(ブレード)>
の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。
・このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。","<登場>
以下から1つを選ぶ。
ライブ終了時まで、自分のステージにいる元々持つ<(ブレード)>の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。
このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=139; runtime_norm_len=188; compiled_norm_len=137; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!S-bp7-005#A03,PL!S-bp7-005,"<起動>
<センター>
<ターン1回>
手札を2枚控え室に置く：このメンバーと自分のステージにいるほかの『Aqours』のメンバー1人を選ぶ。それらが持つ","<登場>
自分の控え室にあるメンバーカード1枚を、自分のステージにいるメンバー1人の下に置く。
<常時>
自分のステージにいる、メンバーカードが下に貸し枯れている『Aqours』のメンバーは、
<(ブレード)>
を得る。
<起動>
<センター>
<ターン1回>
手札を2枚控え室に置く：このメンバーと自分のステージにいるほかの『Aqours』のメンバー1人を選ぶ。それらが持つ
<登場>
能力それぞれ1つ発動させる。","<BODY>
【センター;ターン1回】
手札を2枚控え室に置く：このメンバーと自分のステージにいるほかの『Aqours』のメンバー1人を選ぶ。それらが持つ<登場>能力それぞれ1つ発動させる。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=74; runtime_norm_len=197; compiled_norm_len=93; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!S-pb1-019#A02,PL!S-pb1-019,"<ライブ成功時>
能力を無効にする。","<ライブ開始時>
自分のステージいる『Aqours』のメンバーが持つハートに、
<赤>
が合計6個以上ある場合、このカードの
<ライブ成功時>
能力を無効にする。
<ライブ成功時>
相手は、エネルギーデッキからエネルギーカードを1枚ウェイト状態で置く。","<ライブ成功時>
相手は、エネルギーデッキからエネルギーカードを1枚ウェイト状態で置く。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=17; runtime_norm_len=119; compiled_norm_len=43; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!SP-PR-026#A01,PL!SP-PR-026,"<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『","<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『
<常時>
ライブの合計スコアを+1する。』を得る。","<ライブ開始時>
【センター】
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。",,SOURCE_DATA_ERROR,audit source differs; runtime/compiled agree,MEDIUM,runtime_min_value/cards_min_tokv1.json and compiled runtime DB,audit_norm_len=51; runtime_norm_len=75; compiled_norm_len=75; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!SP-bp2-006#A02,PL!SP-bp2-006,"<起動>
<ターン1回>
手札のコスト4以下の『Liella!』のメンバーカードを1枚控え室に置く：これにより控え室に置いたメンバーカードの","<登場>
バトンタッチして登場した場合、このバトンタッチで控え室に置かれた『Liella!』のメンバーカードを1枚手札に加える。
<起動>
<ターン1回>
手札のコスト4以下の『Liella!』のメンバーカードを1枚控え室に置く：これにより控え室に置いたメンバーカードの
<登場>
能力1つを発動させる。
（
<登場>
能力がコストを持つ場合、支払って発動させる。）","<BODY>
【ターン1回】
手札のコスト4以下の『Liella!』のメンバーカードを1枚控え室に置く：これにより控え室に置いたメンバーカードの<登場>能力1つを発動させる。
（<登場>能力がコストを持つ場合、支払って発動させる。）",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=68; runtime_norm_len=174; compiled_norm_len=113; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!SP-bp5-001#A01,PL!SP-bp5-001,"<登場>
/
<ライブ開始時>
<(E)>
支払ってもよい：以下から1つを選ぶ。
・相手のステージにいるコスト4以下のメンバー1人をウェイトにする。
・カードを1枚引く。","<登場>
/
<ライブ開始時>
<(E)>
支払ってもよい：以下から1つを選ぶ。
・相手のステージにいるコスト4以下のメンバー1人をウェイトにする。
・カードを1枚引く。
<起動>
<ターン1回>
このメンバーをウェイトにするか、手札を1枚控え室に置く：エネルギーを1枚アクティブにする。","<登場/ライブ開始時>
<(E)>支払ってもよい：以下から1つを選ぶ。
相手のステージにいるコスト4以下のメンバー1人をウェイトにする。
カードを1枚引く。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=79; runtime_norm_len=135; compiled_norm_len=75; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
PL!SP-pb2-002#A01,PL!SP-pb2-002,"<起動>
<ターン1回>
手札の『Liella!』のカードを1枚控え室に置く：以下から1つを選ぶ。これにより控え室に置いたカードがブレードハートを持たないメンバーカードの場合、代わりに1つ以上を選ぶ。
・自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
・ライブ終了時まで、自分のステージにいるこのメンバー以外の『Liella!』のメンバー1人は、
<紫>
<紫>
を得る。","<起動>
<ターン1回>
手札の『Liella!』のカードを1枚控え室に置く：以下から1つを選ぶ。これにより控え室に置いたカードがブレードハートを持たないメンバーカードの場合、代わりに1つ以上を選ぶ。
・自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
・ライブ終了時まで、自分のステージにいるこのメンバー以外の『Liella!』のメンバー1人は、
<紫>
<紫>
を得る。","<BODY>
【ターン1回】
手札の『Liella!』のカードを1枚控え室に置く：以下から1つを選ぶ。これにより控え室に置いたカードがブレードハートを持たないメンバーカードの場合、代わりに1つ以上を選ぶ。
自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
ライブ終了時まで、自分のステージにいるこのメンバー以外の『Liella!』のメンバー1人は、<紫><紫>を得る。",,SEMANTIC_DIFFERENCE,runtime min and compiled normalized text differ; manual review required,HIGH,manual review before choosing source,audit_norm_len=191; runtime_norm_len=191; compiled_norm_len=191; phase2_classification=MIN_COMPILED_DIVERGENCE,REVIEWED,Runtime/DB not modified.
