canonical_audit_id,source_audit_ids,cardnumber,cardname,card_type,canonical_trigger,canonical_effect_text,source_phase3_classifications,source_phase4_classifications,correction_notes
PL!N-PR-010#A01,PL!N-PR-010#A01,PL!N-PR-010,エマ・ヴェルデ,MEMBER,起動,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,TRIGGER_RECLASSIFIED
PL!N-PR-024#A01,PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,MEMBER,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-PR-025#A01,PL!N-PR-025#A01,PL!N-PR-025,優木せつ菜,MEMBER,BODY,自分のステージに、このメンバーか、ほかのメンバーがバトンタッチして登場したとき、カードを1枚引く。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!N-PR-026#A02,PL!N-PR-026#A02,PL!N-PR-026,天王寺璃奈,MEMBER,常時,このメンバーは、このメンバーの下に置かれているコスト9以下の『虹ヶ咲』のメンバーカードが持つ<ライブ成功時>能力をすべて得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!N-PR-026#A03,PL!N-PR-026#A03,PL!N-PR-026,天王寺璃奈,MEMBER,登場,自分の控え室からコスト9以下の『虹ヶ咲』のメンバーカード1枚をこのメンバーの下に置く。,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,VALID_TOP_LEVEL_ABILITY
PL!N-PR-027#A01,PL!N-PR-027#A01,PL!N-PR-027,朝香果林,MEMBER,常時,自分と相手のステージにメンバーが合計6人いるかぎり、<赤><青>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!N-bp1-002#A02,PL!N-bp1-002#A02,PL!N-bp1-002,中須かすみ,MEMBER,起動,"<(E)><(E)>, 手札を1枚控え室に置く：このカードを控え室からステージに登場させる。この能力は、このカードが控え室にある場合のみ起動できる。",NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!N-bp1-008#A01,PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,MEMBER,起動,手札のメンバーカードを1枚控え室に置く：自分の控え室から、これにより控え室に置いたメンバーカードより、コストの低いメンバーカードを1枚手札に加える。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-bp3-003#A02,PL!N-bp3-003#A02,PL!N-bp3-003,桜坂しずく,MEMBER,登場,自分の控え室にあるコスト4以下の『虹ヶ咲』のメンバーカードを1枚選ぶ。そのカードの<登場>能力1つを使用する。 / （<登場>能力がコストを持つ場合、支払って発動する。）,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,VALID_TOP_LEVEL_ABILITY
PL!N-bp3-005#A03,PL!N-bp3-005#A03,PL!N-bp3-005,宮下愛,MEMBER,BODY,このターン、自分のステージにメンバーが3回登場したとき、手札が5枚になるまでカードを引く。,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,VALID_TOP_LEVEL_ABILITY
PL!N-bp4-007#A02,PL!N-bp4-007#A02,PL!N-bp4-007,優木せつ菜,MEMBER,常時,自分と相手のエネルギーの合計が15枚以上あるかぎり、<赤><赤>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!N-bp4-008#A01,PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,MEMBER,起動,手札を1枚控え室に置く：エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-bp4-012#A01,PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,MEMBER,常時,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-bp4-018#A01,PL!N-bp4-018#A01,PL!N-bp4-018,近江彼方,MEMBER,BODY,自分のメインフェイズの間、このメンバーがアクティブ状態からウェイト状態になった時、カードを1枚引き、手札からカードを1枚控え室に置く。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!N-bp4-026#A01,PL!N-bp4-026#A01,PL!N-bp4-026,DIVE!,LIVE,BODY,自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DIVE！」のカード1枚を表向きでライブカード置き場に置いてもよい。そうした場合、次のライブカードセットフェイズで自分のライブカード置き場におけるカードの枚数の条件が1枚減る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!N-bp4-026#A02,PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,LIVE,BODY,このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!N-bp5-001#A02,PL!N-bp5-001#A02,PL!N-bp5-001,上原歩夢,MEMBER,BODY,自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に<桃>、<赤>、<黄>、<緑>、<青>、<紫>、<ALL>のうち、3種類以上ある場合、ライブ終了時まで、<桃>を得る。6種類以上ある場合、さらにライブ終了時まで、『<常時>ライブの合計スコアを+1する。』を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,VALID_TOP_LEVEL_ABILITY
PL!N-bp5-002#A01,PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,MEMBER,常時,自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ライブの合計スコアを+1する。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-bp5-003#A01,PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,MEMBER,起動,手札を1枚控え室に置く：自分の控え室にあるライブカードを1枚選び、そのカードのスコアに等しい数の<(E)>を支払ってもよい。そうした場合、そのライブカードを手札に加える。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-bp5-030#A01,PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,LIVE,BODY,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!N-bp7-004#A01,PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,MEMBER,起動,エネルギー置き場にあるエネルギー1枚をこのメンバーの下に置く：相手のステージにいる、元々持つ<(ブレード)>の数がこのメンバーの下にあるエネルギーカードの枚数に1を足した数以下のメンバー1人をウェイトにする。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-pb1-002#A02,PL!N-pb1-002#A02,PL!N-pb1-002,中須かすみ,MEMBER,常時,このメンバーの下にエネルギーカードが2枚以上置かれているかぎり、ライブの合計スコアを+1する。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-pb1-003#A01,PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,MEMBER,起動,<(E)><(E)>このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!N-pb1-004#A01,PL!N-pb1-004#A01,PL!N-pb1-004,朝香果林,MEMBER,常時,このターンにこのメンバーが移動していない限り、<(ブレード)><(ブレード)>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!N-pb1-005#A01,PL!N-pb1-005#A01,PL!N-pb1-005,宮下愛,MEMBER,BODY,自分のステージにコスト10のメンバーが登場したとき、カードを1枚引く。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!N-pb1-007#A01,PL!N-pb1-007#A01,PL!N-pb1-007,優木せつ菜,MEMBER,常時,自分のライブ中のカードの必要ハートの中に<桃>、<赤>、<黄>、<緑>、<青>、<紫>がそれぞれ1以上含まれるかぎり、<ALL>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!N-pb1-012#A01,PL!N-pb1-012#A01,PL!N-pb1-012,鐘嵐珠,MEMBER,BODY,自分のステージにこのメンバー以外のコスト11のメンバーが登場した時、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,VALID_TOP_LEVEL_ABILITY
PL!S-PR-029#A01,PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,MEMBER,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!S-PR-030#A01,PL!S-PR-030#A01,PL!S-PR-030,津島善子,MEMBER,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!S-PR-031#A01,PL!S-PR-031#A01,PL!S-PR-031,国木田花丸,MEMBER,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!S-PR-039#A01,PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,MEMBER,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
PL!S-PR-042#A01,PL!S-PR-042#A01,PL!S-PR-042,小原鞠莉,MEMBER,常時,自分と相手のステージにメンバーが合計6人いるかぎり、<赤><緑>を得る。,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,TRIGGER_RECLASSIFIED
PL!S-bp2-001#A01,PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,MEMBER,常時,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,TRIGGER_RECLASSIFIED
