audit_id,cardnumber,cardname,effect_text,trigger,families,phase3_classification,phase4_classification,runtime_checked,trigger_reached,resolver_reached,effect_resolved,state_result,cleanup_result,undo_result,ui_result,implementation_files,functions,pending_kind,evidence,confidence,notes
PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,手札を1枚控え室に置く：ウェイト状態のメンバー1人をアクティブにする。これにより相手のステージにいるメンバーをアクティブにした場合、自分の控え室からライブカードを1枚控え室に置く。,BODY,手札を捨てる;メンバーをアクティブ;メンバーをウェイト;相手人数入力;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp5_111_A02,low,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-002#A02,PL!-bp6-002,絢瀬絵里,自分のデッキの上からカードを2枚見る。その中から能力を持たない『μ's』のカードか<常時>能力を持つ『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,登場,手札を捨てる;控え室から回収;デッキ上を見る;名前・グループ・ユニット条件;登場時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,YES,YES,YES,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,llocg_ui/engine.py,look_top_k_optional_group_no_ability_or_body;look_top_choose_filtered,view_topk_no_match,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_002_A02,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。,BODY,ブレード付与;スコア加算;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_-bp6-009_A01.md,low,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,BODY,成功置き場参照;名前・グループ・ユニット条件;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_019_A01,low,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-020#A03,PL!-bp6-020,Dancing stars on me!,自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。,BODY,名前・グループ・ユニット条件;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_020_A03,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp6-020#A04,PL!-bp6-020,Dancing stars on me!,自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。,BODY,名前・グループ・ユニット条件;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_020_A04,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,BODY,必要ハート軽減;成功置き場参照;名前・グループ・ユニット条件;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_022_A01,low,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-024#A01,PL!-bp6-024,錯覚CROSSROADS,このカードを成功ライブカード置き場に置く場合、代わりに自分の控え室にある『μ's』のライブカードを1枚置いてもよい。,BODY,成功置き場参照;名前・グループ・ユニット条件;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__bp6_024_A01,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,BODY,メンバーをウェイト;相手人数入力;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_-pb1-002_A02.md,low,Search evidence is insufficient to confirm either implementation or absence.
PL!-pb1-013#A02,PL!-pb1-013,園田海未,<(E)><(E)>自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『<常時>ライブの合計スコアを+1する。』を得る。,BODY,スコア加算;名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_-pb1-013_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,BODY,ドロー;メンバーをアクティブ;メンバーをウェイト;相手人数入力;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL__pb1_015_A02,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時>ライブの合計スコアを+1する。」を得る。,BODY,スコア加算;名前・グループ・ユニット条件;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp1_003_A01,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,BODY,名前・グループ・ユニット条件;常時効果,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp2_020_A01,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-bp5-001#A02,PL!HS-bp5-001,日野下花帆,<(E)><(E)>手札のライブカードを1枚公開する：自分の控え室から、これにより公開したカードのカード名がすべて含まれるライブカードを1枚手札に加える。,BODY,手札を捨てる;控え室から回収;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-bp5-001_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,BODY,メンバーをウェイト;相手人数入力;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-bp5-016_A02.md,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,BODY,名前・グループ・ユニット条件;常時効果,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp5_018_A01,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-bp6-006#A02,PL!HS-bp6-006,安養寺姫芽,このメンバーは『みらくらぱーく！』以外のメンバーカードとのバトンタッチで控え室に置けない。,BODY,名前・グループ・ユニット条件;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-bp6-006_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,BODY,メンバーをアクティブ;メンバーをウェイト;相手人数入力;名前・グループ・ユニット条件;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp6_007_A01,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp6-014#A01,PL!HS-bp6-014,安養寺姫芽,このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる「藤島慈」か「大沢瑠璃乃」のうち1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,BODY,ドロー;手札を捨てる;ブレード付与;ライブ終了時cleanup;常時効果,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_bp6_014_A01,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。,BODY,エネルギー;メンバーをアクティブ;名前・グループ・ユニット条件;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_pb1_001_A01,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-002#A01,PL!HS-pb1-002,村野さやか,手札の「村野さやか」のメンバーカードを1枚公開する：これにより公開したカードをこのメンバーの下に置く。,BODY,常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-pb1-002_A01.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃><(ブレード)>を得る。,BODY,手札を捨てる;ブレード付与;ライブ終了時cleanup;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-pb1-003_A02.md,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-007#A02,PL!HS-pb1-007,セラス 柳田 リリエンフェルト,自分のステージにメンバーがちょうど2人おり、かつ相手のステージにメンバーが3人以上いるかぎり、<紫>を得る。,BODY,常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-pb1-007_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-008#A02,PL!HS-pb1-008,桂城泉,相手のステージにいるメンバーはアクティブフェイズにアクティブにならない。,BODY,メンバーをアクティブ;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-pb1-008_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,BODY,ブレード付与;名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-pb1-009_A01.md,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-014#A02,PL!HS-pb1-014,安養寺姫芽,このメンバーの正面のエリアにいる相手のメンバーのコストが、このメンバーのコストより高いかぎり、<桃>を得る。,BODY,常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-pb1-014_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を失う。,BODY,ブレード付与;常時効果,STATIC_ANALYSIS_INCONCLUSIVE,GENERIC_ROUTE_TEXT_NOT_MATCHED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-pb1-015_A01.md,low,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-028#A02,PL!HS-pb1-028,COMPASS,自分のステージにいるコスト10以上の『DOLLCHESTRA』のメンバー1人を選ぶ。そのメンバーの<ライブ開始時>能力1つを発動させてよい。 / （<ライブ開始時>能力がコストを持つ場合、支払って発動させる。）,ライブ開始時,名前・グループ・ユニット条件;ライブ開始時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,llocg_ui/engine.py,trigger_stage_cost_group_member_live_start_manual;trigger_stage_cost_group_member_live_start_manual,,static_evidence/PL_HS-pb1-028_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-028#A03,PL!HS-pb1-028,COMPASS,自分のステージにいるコスト10以上の『DOLLCHESTRA』のメンバー1人を選ぶ。そのメンバーの<ライブ開始時>能力1つを発動させてよい。 / （<ライブ開始時>能力がコストを持つ場合、支払って発動させる。）,ライブ開始時,名前・グループ・ユニット条件;ライブ開始時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,STATIC_ANALYSIS_INCONCLUSIVE,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,llocg_ui/engine.py,trigger_stage_cost_group_member_live_start_manual;trigger_stage_cost_group_member_live_start_manual,,static_evidence/PL_HS-pb1-028_A03.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-sd1-004#A02,PL!HS-sd1-004,百生吟子,自分のステージに「日野下花帆」か「徒町小鈴」か「安養寺姫芽」がいるかぎり、<緑>を得る。,BODY,常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-sd1-004_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-sd1-005#A02,PL!HS-sd1-005,徒町小鈴,自分のステージに「村野さやか」か「百生吟子」か「安養寺姫芽」がいるかぎり、<(ブレード)>を得る。,BODY,ブレード付与;常時効果,NOT_IMPLEMENTED_WITH_EVIDENCE,NOT_IMPLEMENTED_CONFIRMED,NO,NO,NO,NO,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,,static_evidence/PL_HS-sd1-005_A02.md,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-sd1-020#A01,PL!HS-sd1-020,Link to the FUTURE（104期Ver.）,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,BODY,名前・グループ・ユニット条件;常時効果,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_sd1_020_A01,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-003#A01,PL!N-PR-003,上原歩夢,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,BODY,手札を捨てる;控え室から回収;デッキ上を見る;常時効果,IMPLEMENTED_ROUTE_UNVERIFIED,STATIC_FALSE_POSITIVE,YES,NO,NO,NO,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,,,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_N_PR_003_A01,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
