audit_id,cardnumber,cardname,previous_classification,primary_family,secondary_families,trigger,generic_matcher_candidate,resolver_candidate,ui_candidate,representative_candidate,risk,notes
PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,メンバーをアクティブ;メンバーをウェイト;相手人数入力;常時効果,BODY,,,,YES,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-002#A02,PL!-bp6-002,絢瀬絵里,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,控え室から回収;デッキ上を見る;名前・グループ・ユニット条件;登場時効果,登場,look_top_k_optional_group_no_ability_or_body,look_top_choose_filtered,pending/UI route expected,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,スコア加算;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,STATIC_ANALYSIS_INCONCLUSIVE,成功置き場参照,名前・グループ・ユニット条件;常時効果,BODY,,,,YES,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-020#A03,PL!-bp6-020,Dancing stars on me!,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp6-020#A04,PL!-bp6-020,Dancing stars on me!,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,STATIC_ANALYSIS_INCONCLUSIVE,必要ハート軽減,成功置き場参照;名前・グループ・ユニット条件;常時効果,BODY,,,,YES,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!-bp6-024#A01,PL!-bp6-024,錯覚CROSSROADS,NOT_IMPLEMENTED_WITH_EVIDENCE,成功置き場参照,名前・グループ・ユニット条件;常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,STATIC_ANALYSIS_INCONCLUSIVE,メンバーをウェイト,相手人数入力;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!-pb1-013#A02,PL!-pb1-013,園田海未,NOT_IMPLEMENTED_WITH_EVIDENCE,スコア加算,名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,BODY,,,,YES,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,STATIC_ANALYSIS_INCONCLUSIVE,ドロー,メンバーをアクティブ;メンバーをウェイト;相手人数入力;常時効果,BODY,,,,YES,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,STATIC_ANALYSIS_INCONCLUSIVE,スコア加算,名前・グループ・ユニット条件;常時効果,BODY,,,,YES,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,IMPLEMENTED_ROUTE_UNVERIFIED,名前・グループ・ユニット条件,常時効果,BODY,,,,YES,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-bp5-001#A02,PL!HS-bp5-001,日野下花帆,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,控え室から回収;常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,STATIC_ANALYSIS_INCONCLUSIVE,メンバーをウェイト,相手人数入力;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,IMPLEMENTED_ROUTE_UNVERIFIED,名前・グループ・ユニット条件,常時効果,BODY,,,,YES,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-bp6-006#A02,PL!HS-bp6-006,安養寺姫芽,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,STATIC_ANALYSIS_INCONCLUSIVE,メンバーをアクティブ,メンバーをウェイト;相手人数入力;名前・グループ・ユニット条件;常時効果,BODY,,,,YES,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-bp6-014#A01,PL!HS-bp6-014,安養寺姫芽,IMPLEMENTED_ROUTE_UNVERIFIED,ドロー,手札を捨てる;ブレード付与;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,STATIC_ANALYSIS_INCONCLUSIVE,エネルギー,メンバーをアクティブ;名前・グループ・ユニット条件;常時効果,BODY,,,,YES,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-002#A01,PL!HS-pb1-002,村野さやか,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,ブレード付与;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-007#A02,PL!HS-pb1-007,セラス 柳田 リリエンフェルト,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-008#A02,PL!HS-pb1-008,桂城泉,NOT_IMPLEMENTED_WITH_EVIDENCE,メンバーをアクティブ,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-014#A02,PL!HS-pb1-014,安養寺姫芽,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!HS-pb1-028#A02,PL!HS-pb1-028,COMPASS,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,ライブ開始時効果,ライブ開始時,trigger_stage_cost_group_member_live_start_manual,trigger_stage_cost_group_member_live_start_manual,pending/UI route expected,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-pb1-028#A03,PL!HS-pb1-028,COMPASS,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,ライブ開始時効果,ライブ開始時,trigger_stage_cost_group_member_live_start_manual,trigger_stage_cost_group_member_live_start_manual,pending/UI route expected,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-sd1-004#A02,PL!HS-sd1-004,百生吟子,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-sd1-005#A02,PL!HS-sd1-005,徒町小鈴,NOT_IMPLEMENTED_WITH_EVIDENCE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!HS-sd1-020#A01,PL!HS-sd1-020,Link to the FUTURE（104期Ver.）,IMPLEMENTED_ROUTE_UNVERIFIED,名前・グループ・ユニット条件,常時効果,BODY,,,,YES,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-003#A01,PL!N-PR-003,上原歩夢,IMPLEMENTED_ROUTE_UNVERIFIED,手札を捨てる,控え室から回収;デッキ上を見る;常時効果,BODY,,,,NO,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-008#A01,PL!N-PR-008,近江彼方,IMPLEMENTED_ROUTE_UNVERIFIED,手札を捨てる,控え室から回収;デッキ上を見る;常時効果,BODY,,,,NO,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-010#A01,PL!N-PR-010,エマ・ヴェルデ,IMPLEMENTED_ROUTE_UNVERIFIED,手札を捨てる,控え室から回収;デッキ上を見る;常時効果,BODY,,,,NO,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,成功置き場参照;相手成功置き場参照;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-PR-025#A01,PL!N-PR-025,優木せつ菜,STATIC_ANALYSIS_INCONCLUSIVE,ドロー,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-PR-026#A02,PL!N-PR-026,天王寺璃奈,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-PR-026#A03,PL!N-PR-026,天王寺璃奈,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,登場時効果,登場,green_member_cost_le_group_to_under_self,green_member_cost_le_group_to_under_self,pending/UI route expected,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-PR-027#A01,PL!N-PR-027,朝香果林,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp1-002#A02,PL!N-bp1-002,中須かすみ,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,控え室から回収;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp3-003#A02,PL!N-bp3-003,桜坂しずく,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,登場時効果,登場,green_member_cost_le_group_use_enter_ability,green_member_cost_le_group_use_enter_ability,pending/UI route expected,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp3-003#A03,PL!N-bp3-003,桜坂しずく,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,登場時効果,登場,green_member_cost_le_group_use_enter_ability,green_member_cost_le_group_use_enter_ability,pending/UI route expected,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp3-005#A03,PL!N-bp3-005,宮下愛,NOT_IMPLEMENTED_WITH_EVIDENCE,ドロー,常時効果,BODY,stage_enter_count_exact_event_wrapper,stage_enter_count_exact_event_wrapper,pending/UI route expected,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp4-007#A02,PL!N-bp4-007,優木せつ菜,NOT_IMPLEMENTED_WITH_EVIDENCE,エネルギー,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,エネルギー;メンバーをアクティブ;名前・グループ・ユニット条件;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,STATIC_ANALYSIS_INCONCLUSIVE,スコア加算,成功置き場参照;相手成功置き場参照;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp4-018#A01,PL!N-bp4-018,近江彼方,STATIC_ANALYSIS_INCONCLUSIVE,ドロー,手札を捨てる;メンバーをアクティブ;メンバーをウェイト;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp4-026#A01,PL!N-bp4-026,DIVE!,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,控え室から回収;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp5-001#A02,PL!N-bp5-001,上原歩夢,NOT_IMPLEMENTED_WITH_EVIDENCE,ハート付与,ブレード付与;スコア加算;エール公開内容参照;名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,BODY,,,,YES,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,STATIC_ANALYSIS_INCONCLUSIVE,スコア加算,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,控え室から回収;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,STATIC_ANALYSIS_INCONCLUSIVE,ライブ終了時cleanup,常時効果,BODY,,,,YES,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!N-bp5-030#A03,PL!N-bp5-030,繚乱！ビクトリーロード,NOT_IMPLEMENTED_WITH_EVIDENCE,ライブ終了時cleanup,常時効果,BODY,,,,NO,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp5-030#A04,PL!N-bp5-030,繚乱！ビクトリーロード,NOT_IMPLEMENTED_WITH_EVIDENCE,ライブ終了時cleanup,常時効果,BODY,,,,NO,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,STATIC_ANALYSIS_INCONCLUSIVE,エネルギー,メンバーをウェイト;相手人数入力;ブレード付与;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!N-pb1-002#A02,PL!N-pb1-002,中須かすみ,STATIC_ANALYSIS_INCONCLUSIVE,エネルギー,スコア加算;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,STATIC_ANALYSIS_INCONCLUSIVE,ドロー,手札を捨てる;ブレード付与;名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!N-pb1-004#A01,PL!N-pb1-004,朝香果林,NOT_IMPLEMENTED_WITH_EVIDENCE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-pb1-005#A01,PL!N-pb1-005,宮下愛,STATIC_ANALYSIS_INCONCLUSIVE,ドロー,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!N-pb1-007#A01,PL!N-pb1-007,優木せつ菜,NOT_IMPLEMENTED_WITH_EVIDENCE,ハート付与,常時効果,BODY,,,,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!N-pb1-012#A01,PL!N-pb1-012,鐘嵐珠,STATIC_ANALYSIS_INCONCLUSIVE,エネルギー,メンバーをウェイト;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-PR-030#A01,PL!S-PR-030,津島善子,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-PR-031#A01,PL!S-PR-031,国木田花丸,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,成功置き場参照;相手成功置き場参照;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-PR-042#A01,PL!S-PR-042,小原鞠莉,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,成功置き場参照;相手成功置き場参照;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp2-024#A01,PL!S-bp2-024,君のこころは輝いてるかい？,NOT_IMPLEMENTED_WITH_EVIDENCE,成功置き場参照,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-bp3-001#A01,PL!S-bp3-001,高海千歌,PARTIAL_BRANCH_MISSING,メンバーをウェイト,スコア加算;ライブ終了時cleanup;常時効果,BODY,parenthetical_note_noop,body_always_noop,pending/UI route expected,NO,HIGH,Phase2 mapped only a partial route; v2 requires branch-level runtime proof before implementation is confirmed.
PL!S-bp3-006#A01,PL!S-bp3-006,津島善子,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,メンバーをウェイト;名前・グループ・ユニット条件;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp3-016#A01,PL!S-bp3-016,国木田花丸,STATIC_ANALYSIS_INCONCLUSIVE,成功置き場参照,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp5-001#A02,PL!S-bp5-001,高海千歌,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-bp5-008#A01,PL!S-bp5-008,小原鞠莉,NOT_IMPLEMENTED_WITH_EVIDENCE,スコア加算,余剰ハート参照;常時効果,BODY,,,,NO,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-bp6-002#A01,PL!S-bp6-002,桜内梨子,STATIC_ANALYSIS_INCONCLUSIVE,デッキ上へ戻す,デッキ下へ置く;名前・グループ・ユニット条件;常時効果,BODY,,,,YES,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp6-003#A01,PL!S-bp6-003,松浦果南,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,名前・グループ・ユニット条件;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp6-004#A02,PL!S-bp6-004,黒澤ダイヤ,NOT_IMPLEMENTED_WITH_EVIDENCE,デッキ上へ戻す,名前・グループ・ユニット条件;ライブ終了時cleanup;ライブ開始時効果,ライブ開始時,live_storage_count_choose_group_live_no_live_start_topdeck_gain_icons,live_storage_count_choose_group_live_no_live_start_topdeck_gain_icons,pending/UI route expected,NO,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-bp6-009#A01,PL!S-bp6-009,黒澤ルビィ,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,成功置き場参照;相手成功置き場参照;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp7-005#A04,PL!S-bp7-005,渡辺曜,NOT_IMPLEMENTED_WITH_EVIDENCE,登場時効果,,登場,green_member_any_to_stage_member_under,green_member_any_to_stage_member_under,pending/UI route expected,YES,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-bp7-006#A01,PL!S-bp7-006,津島善子,STATIC_ANALYSIS_INCONCLUSIVE,名前・グループ・ユニット条件,ライブ終了時cleanup;ライブ開始時効果,ライブ開始時,,,,YES,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp7-015#A01,PL!S-bp7-015,津島善子,STATIC_ANALYSIS_INCONCLUSIVE,ライブ終了時cleanup,常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!S-bp7-016#A01,PL!S-bp7-016,国木田花丸,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-bp7-022#A01,PL!S-bp7-022,恋になりたいAQUARIUM,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!S-pb1-006#A01,PL!S-pb1-006,津島善子,STATIC_ANALYSIS_INCONCLUSIVE,手札を捨てる,ブレード付与;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!S-pb1-009#A01,PL!S-pb1-009,黒澤ルビィ,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,成功置き場参照;相手成功置き場参照;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!S-pb1-019#A03,PL!S-pb1-019,元気全開DAY！DAY！DAY！,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,ライブ開始時効果,ライブ開始時,stage_group_heart_total_disable_live_success,stage_group_heart_total_disable_live_success,pending/UI route expected,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-PR-022#A01,PL!SP-PR-022,若菜四季,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-PR-026#A02,PL!SP-PR-026,鬼塚夏美,NOT_IMPLEMENTED_WITH_EVIDENCE,スコア加算,名前・グループ・ユニット条件;ライブ開始時効果,ライブ開始時,body_always_live_zone_score_sum_gte_score,body_always_noop,pending/UI route expected,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp1-001#A01,PL!SP-bp1-001,澁谷かのん,STATIC_ANALYSIS_INCONCLUSIVE,常時効果,,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp1-003#A01,PL!SP-bp1-003,嵐千砂都,IMPLEMENTED_ROUTE_UNVERIFIED,スコア加算,ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp1-004#A01,PL!SP-bp1-004,平安名すみれ,NOT_IMPLEMENTED_WITH_EVIDENCE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
