cardnumber,cardname,ability_type,trigger,status,rule_id,cost_template,effect_template
PL!-bp6-004,園田海未,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-bp6-006,西木野真姫,起動,BODY,implemented_choose_color_reveal_top5_group_pick_blades,choose_heart_color_reveal_top5_all_match_group_pick_gain_blades,手札を1枚控え室に置く,好きなハートの色を1つ指定する。その後、自分のデッキの上からカードを5枚公開する。公開されたカードの中に指定した色のハートを持つメンバーカードと必要ハートに指定した色を含むライブカードが合計5枚含まれる場合、その中から『μ's』のカードを1枚手札に加え、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)>を得る。公開した残りのカードを控え室に置く。
PL!-bp6-007,東條希,自動,ライブ成功時,implemented_live_success_reveal_top_no_bladeheart_score,live_success_reveal_top_no_bladeheart_score,,自分のデッキの一番上のカードを公開し、手札に加える。それがブレードハートを持たないメンバーカードの場合、ライブの合計スコアを+1する。
PL!-bp6-016,東條希,自動,ライブ成功時,implemented_existing_topk_or_deck,look_top_k_reorder_all_on_top,,自分のデッキの上からカードを3枚見る。それらを好きな順番でデッキの上に置く。
PL!-pb1-001,高坂穂乃果,起動,BODY,implemented_reveal_until_choice_live_or_cost_member,reveal_until_live_or_cost_ge_member_to_hand_rest_waiting_choice,このメンバーをウェイトにし、手札を1枚控え室に置く,ライブカードかコスト10以上のメンバーカードのどちらか1つを選ぶ。選んだカードが公開されるまで、自分のデッキの一番上からカードを1枚ずつ公開する。そのカードを手札に加え、これにより公開されたほかのすべてのカードを控え室に置く。
PL!-pb1-006,西木野真姫,自動,登場,implemented_existing_topk_or_deck,topdeck_green_live_group_upto1_then_draw_if_opponent_wait_exists,,自分の控え室から『μ's』のライブカードを1枚までデッキの一番上に置く。その後、相手のステージにウェイト状態のメンバーがいる場合、カードを1枚引く。
PL!-pb1-016,東條希,自動,登場,implemented_existing_topk_or_deck,optional_discard_one_from_hand_then_effect_direct,,手札を1枚控え室に置いてもよい。自分のデッキの上からカードを4枚見る。その中から『lily white』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-sd1-004,園田海未,自動,登場,implemented_existing_topk_or_deck,enter_umi_sd1004_top5_mus_live_optional,,自分のデッキの上からカードを5枚見る。その中から『μ's』のライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-sd1-007,東條希,自動,登場,implemented_existing_topk_or_deck,mill_top_k_draw_if_contains_live,,自分のデッキの上からカードを5枚控え室に置く。それらの中にライブカードがある場合、カードを1枚引く。
PL!-sd1-008,小泉花陽,起動,BODY,implemented_existing_topk_or_deck,body_mill10,<(E)><(E)>,自分のデッキの上からカードを10枚控え室に置く。
PL!-sd1-011,絢瀬絵里,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!-sd1-012,南ことり,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!-sd1-015,西木野真姫,自動,登場,implemented_existing_topk_or_deck,enter_kaho_bp2010_top5_member_optional,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!-sd1-016,東條希,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!-sd1-019,START：DASH!!,自動,ライブ成功時,implemented_existing_topk_or_deck,look_top_k_reorder_keep_any_rest_waiting,,自分のデッキの上からカードを3枚見る。その中から好きな枚数を好きな順場でデッキの上に置き、残りを控え室に置く。
PL!HS-PR-001,日野下花帆,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!HS-PR-002,村野さやか,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!HS-PR-005,大沢瑠璃乃,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!HS-PR-019,百生吟子,自動,登場,implemented_existing_topk_or_deck,mill_top_k_gain_icons_if_all_member_heart_color,,自分のデッキの上からカードを3枚控え室に置く。それらがすべて<緑>を持つメンバーカードの場合、ライブ終了時まで、<緑>を得る。
PL!HS-PR-020,徒町小鈴,自動,ライブ開始時,implemented_existing_topk_or_deck,topdeck_green_member_n,<(E)>支払ってもよい,自分の控え室にあるメンバーカード2枚を好きな順番でデッキの一番上に置く。
PL!HS-PR-021,安養寺姫芽,自動,登場,implemented_existing_topk_or_deck,mill_top_k_gain_icons_if_all_member_heart_color,,自分のデッキの上からカードを3枚控え室に置く。それらがすべて<桃>を持つメンバーカードの場合、ライブ終了時まで、<桃>を得る。
PL!HS-PR-023,桂城泉,自動,ライブ開始時,implemented_existing_topk_or_deck,topdeck_green_member_n,<(E)>支払ってもよい,自分の控え室にあるメンバーカード2枚を好きな順番でデッキの一番上に置く。
PL!HS-bp1-008,徒町小鈴,自動,登場,implemented_existing_topk_or_deck,mill_top_k_draw_if_all_members,,自分のデッキの上からカードを3枚控え室に置く。それらがすべてメンバーカードの場合、カードを1枚引く。
PL!HS-bp1-009,安養寺姫芽,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『みらくらぱーく！』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-bp1-011,村野さやか,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-bp2-003,乙宗梢,自動,ライブ開始時,implemented_existing_topk_or_deck,live_start_kozue_bp2003_reorder_top3,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!HS-bp2-010,日野下花帆,自動,登場,implemented_existing_topk_or_deck,enter_kaho_bp2010_top5_member_optional,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-bp2-011,村野さやか,自動,登場,implemented_existing_topk_or_deck,enter_sayaka_bp2011_mill5,,デッキの上からカードを5枚控え室に置く。
PL!HS-bp2-012,乙宗梢,自動,BODY,implemented_existing_topk_or_deck,body_kozue_bp2012_stage_to_green_top5_member_optional,,このメンバーがステージから控え室に置かれたとき、自分のデッキの上からカードを5枚見る。その中からメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-bp2-013,夕霧綴理,自動,BODY,implemented_existing_topk_or_deck,body_tsuzuri_bp2013_stage_to_green_top5_live_optional,,このメンバーがステージから控え室に置かれたとき、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-bp2-016,百生吟子,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!HS-bp5-001,日野下花帆,自動,登場,implemented_existing_topk_or_deck,mill_top_k_gain_icons_if_contains_live,,自分のデッキの上からカードを4枚控え室に置く。それらの中にライブカードがある場合、ライブ終了時まで、<(ブレード)>を<(ブレード)>を得る。
PL!HS-bp5-008,桂城泉,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_cost_ge_group_member,このメンバーをウェイトにし、手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からコスト9以上の『蓮ノ空』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-bp5-013,徒町小鈴,自動,ライブ開始時,implemented_existing_topk_or_deck,mill_top_k_gain_icons_if_all_members,,自分のデッキの上からカードを3枚控え室に置く。それらがすべてメンバーカードの場合、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。
PL!HS-bp6-001,日野下花帆,自動,登場,implemented_stage_count_top_keep_one,look_top_stage_member_count_plus_keep_one_top_rest_waiting,,自分のデッキの上から、自分のステージにいるメンバーの数に2を足した数に等しい枚数見る。その中から1枚をデッキの一番上に置き、残りを控え室に置く。
PL!HS-bp6-001,日野下花帆,自動,ライブ成功時,implemented_existing_topk_or_deck,put_yell_revealed_any_to_deck_top_optional,,エールで公開された自分のカードの中から、カードを1枚デッキの一番上に置いてもよい。
PL!HS-bp6-009,日野下花帆,自動,ライブ開始時,implemented_existing_topk_or_deck,mill_top_k_gain_icons_if_all_group_cards,,自分のデッキの上からカードを4枚控え室に置く。それらがすべて『蓮ノ空』のカードの場合、ライブ終了時まで、<(ブレード)>を得る。
PL!HS-bp6-022,安養寺姫芽,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-bp6-028,ブルウモーメント,自動,ライブ成功時,implemented_live_success_excess_top_reorder,live_success_excess_total_top_reorder_keep_any,,このターン、自分が余剰ハートを1つ以上持っている場合、自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!HS-cl1-001,日野下花帆,自動,ライブ開始時,implemented_existing_topk_or_deck,look_top1_optional_mill,,自分のデッキの上からカードを1枚見る。そのカードを控え室に置いてもよい。
PL!HS-cl1-004,百生吟子,自動,登場,implemented_existing_topk_or_deck,mill_top_k_to_waiting,,自分のデッキの上からカードを3枚控え室に置く。
PL!HS-cl1-007,セラス 柳田 リリエンフェルト,自動,登場,implemented_existing_topk_or_deck,look_top_k_choose_1_rest_waiting_sentence_split,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加える。残りを控え室に置く。
PL!HS-pb1-004,百生吟子,自動,登場,implemented_existing_topk_or_deck,mill_top_k_then_retrieve_waiting_group_type,<(E)>手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚控え室に置く。その後、自分の控え室から『スリーズブーケ』のライブカードを1枚手札に加える。
PL!HS-pb1-005,徒町小鈴,自動,ライブ開始時,implemented_choose_number_top_cost_compare,choose_number_reveal_top_member_cost_compare_hand_or_blade,,数1つを選ぶ。自分のデッキの一番上のカードを公開する。公開したカードがメンバーカードで、かつコストが選んだ数以上の場合、公開したカードを手札に加える。選んだ数以下の場合、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。
PL!HS-pb1-011,大沢瑠璃乃,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!HS-pb1-013,徒町小鈴,自動,ライブ開始時,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!HS-pb1-018,村野さやか,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『DOLLCHESTRA』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!HS-pb1-024,桂城泉,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!HS-pb1-027,ユメワズライ,自動,ライブ成功時,implemented_existing_topk_or_deck,stage_group_optional_mill_top_k,,自分のステージに『スリーズブーケ』のメンバーがいる場合、自分のデッキの上からカードを4枚控え室に置いてもよい。
PL!HS-sd1-002,村野さやか,自動,ライブ開始時,implemented_top_member_pick_group_gain_icons,look_top_k_optional_member_gain_icons_if_group_picked,手札を2枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。これにより『蓮ノ空』のカードを手札に加えた場合、ライブ終了時まで、<青><(ブレード)>を得る。
PL!HS-sd1-013,徒町小鈴,自動,登場,implemented_existing_topk_or_deck,mill_top_k_gain_icons_if_all_member_heart_color,,自分のデッキの上からカードを3枚控え室に置く。それらがすべて<青>を持つメンバーカードの場合、ライブ終了時まで、<青>を得る。
PL!N-PR-003,上原歩夢,起動,BODY,implemented_body_reveal_all_hand_no_live_top5_live,body_reveal_all_hand_no_live_top5_live,手札をすべて公開する,自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-PR-004,中須かすみ,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-PR-006,朝香果林,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-PR-008,近江彼方,起動,BODY,implemented_body_reveal_all_hand_no_live_top5_live,body_reveal_all_hand_no_live_top5_live,手札をすべて公開する,自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-PR-010,エマ・ヴェルデ,起動,BODY,implemented_body_reveal_all_hand_no_live_top5_live,body_reveal_all_hand_no_live_top5_live,手札をすべて公開する,自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-PR-013,ミア・テイラー,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-bp1-002,中須かすみ,自動,登場,implemented_existing_topk_or_deck,live_start_kozue_bp2003_reorder_top3,,自分のデッキの上からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!N-bp1-007,優木せつ菜,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-bp1-009,天王寺璃奈,自動,登場,implemented_existing_topk_or_deck,mill_top_k_then_retrieve_waiting_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを2枚控え室に置く。その後、自分の控え室からメンバーカードを1枚手札に加える。
PL!N-bp1-010,三船栞子,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-bp1-011,ミア・テイラー,自動,登場,implemented_existing_topk_or_deck,reveal_until_live_to_hand_rest_waiting,手札を1枚控え室に置いてもよい,ライブカードが公開されるまで、自分のデッキの一番上のカードを公開し続ける。そのライブカードを手札に加え、これにより公開されたほかのすべてのカードを控え室に置く。
PL!N-bp3-012,鐘嵐珠,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを4枚見る。その中から『虹ヶ咲』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-bp3-022,三船栞子,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,このメンバーをウェイトにしてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!N-bp3-028,ツナガルコネクト,自動,ライブ開始時,implemented_stage_group_count_top_keep_reveal_score,look_top_stage_group_count_keep_one_top_rest_waiting_reveal_score_if_live,,自分のステージにいる『虹ヶ咲』のメンバー1人につき、自分のデッキの上からカードを1枚見る。その中から1枚をデッキの上に置き、残りを控え室に置く。自分のデッキの一番上のカードを1枚公開する。これによりライブカードを公開したとき、このカードのスコアを+1する。
PL!N-bp4-002,中須かすみ,自動,ライブ開始時,implemented_existing_topk_or_deck,choose_self_or_opponent_top1_mill_optional,,自分か相手を選ぶ。自分は、そのプレイヤーのデッキの一番上のカードを見る。自分はそのカードを控え室に置いてもよい。
PL!N-bp4-009,天王寺璃奈,自動,ライブ開始時,implemented_existing_topk_or_deck,live_start_my_cost_lower_draw2_hand_top1,,自分のステージにいるメンバーのコストの合計が相手より低い場合、カードを2枚引き、自分の手札を1枚デッキの一番上に置く。
PL!N-bp4-011,ミア・テイラー,自動,ライブ成功時,implemented_existing_topk_or_deck,mill_top_k_then_retrieve_if_distinct_group_live_names_at_least,,自分のデッキの上からカードを5枚控え室に置く。その後、自分の控え室にあるカード名の異なる『虹ヶ咲』のライブカードが3枚以上ある場合、自分の控え室から『虹ヶ咲』のライブカードを1枚手札に加える。
PL!N-bp4-016,朝香果林,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,このメンバーをウェイトにしてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!N-bp4-021,天王寺璃奈,自動,登場,implemented_existing_topk_or_deck,topdeck_green_any_upto1_waiting_card,,自分の控え室にあるカード1枚をデッキの一番上に置いてもよい。
PL!N-bp5-009,天王寺璃奈,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_cost_ge_group_member,このメンバーをウェイトにし、手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からコスト9以上の『虹ヶ咲』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-bp5-021,天王寺璃奈,自動,登場,implemented_mill_top_then_live_deck_nth,mill_top_k_then_waiting_live_to_deck_nth_optional,,自分のデッキの上からカードを2枚控え室に置く。その後、自分の控え室からライブカード1枚を自分のデッキの一番上から4枚目に置いてもよい。
PL!N-bp5-029,無敵級＊ビリーバー,自動,ライブ開始時,implemented_stage_named_reveal_pick_gain_picked_hearts,stage_named_exists_reveal_topk_named_pick_gain_picked_hearts,,自分のステージに「中須かすみ」がいる場合、自分のデッキの上からカードを4枚公開する。自分はそれらの中から「中須かすみ」のカードを1枚選ぶ。ライブ終了時まで、自分のステージにいる「中須かすみ」1人は、これにより選んだカードが持つ色のハートを1つずつ得る。公開したカードをすべて控え室に置く。
PL!N-pb1-004,朝香果林,自動,ライブ開始時,implemented_reveal_top_cost_member_position_change,reveal_top1_cost_le_member_hand_then_self_position_change,,自分のデッキの一番上のカードを公開する。公開したカードがコスト9以下のメンバーカードの場合、公開したカードを手札に加え、このメンバーはポジションチェンジする。それ以外の場合、公開したカードを控え室に置く。
PL!N-pb1-016,朝香果林,自動,登場,implemented_existing_topk_or_deck,enter_karin_pb1016_top2_named_member_optional,,自分のデッキの上からカードを2枚見る。その中から『朝香果林』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-pb1-018,近江彼方,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_type,,自分のデッキの上からカードを2枚見る。その中から『近江彼方』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-pb1-021,天王寺璃奈,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_type,,自分のデッキの上からカードを2枚見る。その中から『天王寺璃奈』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-pb1-024,鐘嵐珠,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_type,,自分のデッキの上からカードを2枚見る。その中から『鐘嵐珠』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!N-pb1-028,朝香果林,自動,登場,implemented_existing_topk_or_deck,look_top2_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを2枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-pb1-035,ミア・テイラー,自動,登場,implemented_existing_topk_or_deck,look_top2_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを2枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-sd1-001,上原歩夢,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_type,,自分のデッキの上からカードを5枚見る。その中から『虹ヶ咲』のライブカードを1枚まで公開して手札に加えてもよい。残りを控え室に置く。
PL!N-sd1-002,中須かすみ,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!N-sd1-003,桜坂しずく,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!S-PR-013,高海千歌,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!S-PR-019,国木田花丸,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!S-PR-028,黒澤ダイヤ,自動,登場,implemented_existing_topk_or_deck,live_start_kozue_bp2003_reorder_top3,,自分のデッキの上からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!S-PR-032,小原鞠莉,自動,登場,implemented_existing_topk_or_deck,live_start_kozue_bp2003_reorder_top3,,自分のデッキの上からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!S-PR-033,黒澤ルビィ,自動,登場,implemented_existing_topk_or_deck,live_start_kozue_bp2003_reorder_top3,,自分のデッキの上からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
