cardnumber,cardname,card_type,field,raw,raw_parsed,stored_counts,runtime_counts,stored_blank,runtime_blank_after_patch
PL!-bp3-022,ユメノトビラ,LIVE,required,<桃> 3 <黄> 3 <紫> 3 <任意> 4 (合計13),"{""any"": 4, ""pink"": 3, ""purple"": 3, ""yellow"": 3}",{},"{""any"": 4, ""pink"": 3, ""purple"": 3, ""yellow"": 3}",1,0
PL!-bp3-022,ユメノトビラ,LIVE,blade_heart,<桃> <ドロー+1>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp3-022,ユメノトビラ,LIVE,blade_heart_tags,<桃> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!-bp3-023,ミはμ'sicのミ,LIVE,required,<桃> 2 <紫> 2 <任意> 4 (合計8),"{""any"": 4, ""pink"": 2, ""purple"": 2}",{},"{""any"": 4, ""pink"": 2, ""purple"": 2}",1,0
PL!-bp3-023,ミはμ'sicのミ,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp3-023,ミはμ'sicのミ,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp3-024,"夏色えがおで1,2,Jump!",LIVE,required,<桃> 2 <黄> 2 <紫> 2 (合計6),"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp3-024,"夏色えがおで1,2,Jump!",LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp3-024,"夏色えがおで1,2,Jump!",LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp3-025,タカラモノズ,LIVE,required,<桃> 2 <黄> 2 <紫> 2 <任意> 4 (合計10),"{""any"": 4, ""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""any"": 4, ""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp3-025,タカラモノズ,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp3-025,タカラモノズ,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp3-026,"Oh,Love＆Peace!",LIVE,required,<桃> 2 <黄> 5 <紫> 2 <任意> 6 (合計15),"{""any"": 6, ""pink"": 2, ""purple"": 2, ""yellow"": 5}",{},"{""any"": 6, ""pink"": 2, ""purple"": 2, ""yellow"": 5}",1,0
PL!-bp3-026,"Oh,Love＆Peace!",LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp3-026,"Oh,Love＆Peace!",LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp4-001,高坂穂乃果,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp4-002,絢瀬絵里,MEMBER,base,<桃> 2 <黄> 2 <紫> 2,"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp4-002,絢瀬絵里,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp4-003,南ことり,MEMBER,base,<黄> 1,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp4-003,南ことり,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp4-004,園田海未,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp4-004,園田海未,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp4-005,星空凛,MEMBER,base,<桃> 2 <黄> 2 <紫> 1,"{""pink"": 2, ""purple"": 1, ""yellow"": 2}",{},"{""pink"": 2, ""purple"": 1, ""yellow"": 2}",1,0
PL!-bp4-005,星空凛,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp4-006,西木野真姫,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp4-006,西木野真姫,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp4-007,東條希,MEMBER,base,<桃> 2 <黄> 1 <紫> 1,"{""pink"": 2, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 2, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp4-007,東條希,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp4-008,小泉花陽,MEMBER,base,<黄> 1,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp4-009,矢澤にこ,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp4-010,高坂穂乃果,MEMBER,base,<桃> 2 <黄> 2 <紫> 2,"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp4-010,高坂穂乃果,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp4-011,絢瀬絵里,MEMBER,base,<桃> 1 <紫> 1,"{""pink"": 1, ""purple"": 1}",{},"{""pink"": 1, ""purple"": 1}",1,0
PL!-bp4-012,南ことり,MEMBER,base,<桃> 1 <黄> 2,"{""pink"": 1, ""yellow"": 2}",{},"{""pink"": 1, ""yellow"": 2}",1,0
PL!-bp4-013,園田海未,MEMBER,base,<桃> 1 <紫> 1,"{""pink"": 1, ""purple"": 1}",{},"{""pink"": 1, ""purple"": 1}",1,0
PL!-bp4-014,星空凛,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp4-015,西木野真姫,MEMBER,base,<黄> 1 <紫> 2,"{""purple"": 2, ""yellow"": 1}",{},"{""purple"": 2, ""yellow"": 1}",1,0
PL!-bp4-016,東條希,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp4-016,東條希,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp4-017,小泉花陽,MEMBER,base,<黄> 1,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp4-017,小泉花陽,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp4-018,矢澤にこ,MEMBER,base,<桃> 1 <黄> 2 <紫> 2,"{""pink"": 1, ""purple"": 2, ""yellow"": 2}",{},"{""pink"": 1, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp4-018,矢澤にこ,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp4-019,Angelic Angel,LIVE,required,<桃> 2 <黄> 2 <紫> 2 <任意> 4 (合計10),"{""any"": 4, ""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""any"": 4, ""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp4-019,Angelic Angel,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp4-019,Angelic Angel,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp4-020,Love wing bell,LIVE,required,<桃> 3 <黄> 3 <任意> 2 (合計8),"{""any"": 2, ""pink"": 3, ""yellow"": 3}",{},"{""any"": 2, ""pink"": 3, ""yellow"": 3}",1,0
PL!-bp4-020,Love wing bell,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp4-020,Love wing bell,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp4-021,？←HEARTBEAT,LIVE,required,<桃> 2 <黄> 2 <紫> 2 <任意> 8 (合計14),"{""any"": 8, ""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""any"": 8, ""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp4-021,？←HEARTBEAT,LIVE,blade_heart,<黄> <ドロー+1>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp4-021,？←HEARTBEAT,LIVE,blade_heart_tags,<黄> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!-bp4-022,No brand girls,LIVE,required,<桃> 3 <黄> 3 <紫> 3 <任意> 9 (合計18),"{""any"": 9, ""pink"": 3, ""purple"": 3, ""yellow"": 3}",{},"{""any"": 9, ""pink"": 3, ""purple"": 3, ""yellow"": 3}",1,0
PL!-bp4-022,No brand girls,LIVE,blade_heart_tags,<スコア+1>,"[""(スコア+1)""]",[],"[""(スコア+1)""]",1,0
PL!-bp4-023,もぎゅっと”love”で接近中！,LIVE,required,<桃> 2 <黄> 1 <紫> 1 <任意> 3 (合計7),"{""any"": 3, ""pink"": 2, ""purple"": 1, ""yellow"": 1}",{},"{""any"": 3, ""pink"": 2, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp4-023,もぎゅっと”love”で接近中！,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp4-023,もぎゅっと”love”で接近中！,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp4-024,小夜啼鳥恋詩,LIVE,required,<桃> 2 <黄> 2 <任意> 1 (合計5),"{""any"": 1, ""pink"": 2, ""yellow"": 2}",{},"{""any"": 1, ""pink"": 2, ""yellow"": 2}",1,0
PL!-bp4-024,小夜啼鳥恋詩,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!-bp4-024,小夜啼鳥恋詩,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!-bp4-025,微熱からMystery,LIVE,required,<桃> 3 <紫> 3 <任意> 6 (合計12),"{""any"": 6, ""pink"": 3, ""purple"": 3}",{},"{""any"": 6, ""pink"": 3, ""purple"": 3}",1,0
PL!-bp4-025,微熱からMystery,LIVE,blade_heart,<桃> <ドロー+1>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp4-025,微熱からMystery,LIVE,blade_heart_tags,<桃> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!-bp4-026,ダイヤモンドプリンセスの憂鬱,LIVE,required,<黄> 1 <紫> 1 <任意> 1 (合計3),"{""any"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""any"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp4-026,ダイヤモンドプリンセスの憂鬱,LIVE,blade_heart_tags,<スコア+1>,"[""(スコア+1)""]",[],"[""(スコア+1)""]",1,0
PL!-bp5-001,高坂穂乃果,MEMBER,base,<黄> 1 <青> 1,"{""blue"": 1, ""yellow"": 1}",{},"{""blue"": 1, ""yellow"": 1}",1,0
PL!-bp5-002,絢瀬絵里,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp5-002,絢瀬絵里,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp5-003,南ことり,MEMBER,base,<黄> 3 <青> 1,"{""blue"": 1, ""yellow"": 3}",{},"{""blue"": 1, ""yellow"": 3}",1,0
PL!-bp5-003,南ことり,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp5-004,園田海未,MEMBER,base,<桃> 2 <黄> 2 <紫> 2,"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 2}",1,0
PL!-bp5-004,園田海未,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp5-005,星空凛,MEMBER,base,<桃> 1 <黄> 1 <紫> 2,"{""pink"": 1, ""purple"": 2, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 2, ""yellow"": 1}",1,0
PL!-bp5-006,西木野真姫,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp5-006,西木野真姫,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp5-007,東條希,MEMBER,base,<桃> 2 <黄> 1 <紫> 2,"{""pink"": 2, ""purple"": 2, ""yellow"": 1}",{},"{""pink"": 2, ""purple"": 2, ""yellow"": 1}",1,0
PL!-bp5-007,東條希,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp5-008,小泉花陽,MEMBER,base,<桃> 1 <黄> 3 <紫> 2,"{""pink"": 1, ""purple"": 2, ""yellow"": 3}",{},"{""pink"": 1, ""purple"": 2, ""yellow"": 3}",1,0
PL!-bp5-008,小泉花陽,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp5-009,矢澤にこ,MEMBER,base,<桃> 1 <黄> 2 <紫> 3,"{""pink"": 1, ""purple"": 3, ""yellow"": 2}",{},"{""pink"": 1, ""purple"": 3, ""yellow"": 2}",1,0
PL!-bp5-009,矢澤にこ,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp5-010,高坂穂乃果,MEMBER,base,<桃> 1 <青> 1,"{""blue"": 1, ""pink"": 1}",{},"{""blue"": 1, ""pink"": 1}",1,0
PL!-bp5-011,絢瀬絵里,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp5-012,南ことり,MEMBER,base,<黄> 1 <紫> 1,"{""purple"": 1, ""yellow"": 1}",{},"{""purple"": 1, ""yellow"": 1}",1,0
PL!-bp5-012,南ことり,MEMBER,blade_heart,<黄>,"{""yellow"": 1}",{},"{""yellow"": 1}",1,0
PL!-bp5-013,園田海未,MEMBER,base,<桃> 1 <黄> 1 <紫> 1,"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp5-014,星空凛,MEMBER,base,<青> 1 <紫> 1,"{""blue"": 1, ""purple"": 1}",{},"{""blue"": 1, ""purple"": 1}",1,0
PL!-bp5-015,西木野真姫,MEMBER,base,<赤> 1,"{""red"": 1}",{},"{""red"": 1}",1,0
PL!-bp5-015,西木野真姫,MEMBER,blade_heart,<赤>,"{""red"": 1}",{},"{""red"": 1}",1,0
PL!-bp5-016,東條希,MEMBER,base,<桃> 1 <黄> 1,"{""pink"": 1, ""yellow"": 1}",{},"{""pink"": 1, ""yellow"": 1}",1,0
PL!-bp5-016,東條希,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!-bp5-017,小泉花陽,MEMBER,base,<桃> 1 <黄> 1 <青> 1 <紫> 1,"{""blue"": 1, ""pink"": 1, ""purple"": 1, ""yellow"": 1}",{},"{""blue"": 1, ""pink"": 1, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp5-018,矢澤にこ,MEMBER,base,<桃> 1 <紫> 1,"{""pink"": 1, ""purple"": 1}",{},"{""pink"": 1, ""purple"": 1}",1,0
PL!-bp5-018,矢澤にこ,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!-bp5-019,それは僕たちの奇跡,LIVE,required,<黄> 1 <紫> 1 <任意> 3 (合計5),"{""any"": 3, ""purple"": 1, ""yellow"": 1}",{},"{""any"": 3, ""purple"": 1, ""yellow"": 1}",1,0
PL!-bp5-019,それは僕たちの奇跡,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
