audit_id,cardnumber,cardname,primary_family,effect_text,matcher,resolver,representative_executed,runtime_checked,trigger_reached,resolver_reached,effect_resolved,pending_kind,evidence,state_result,cleanup_result,undo_result,ui_result,phase4_result,notes
PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,エネルギー,自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_HS_pb1_001_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,手札を捨てる,自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-003_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,ブレード付与,自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-009_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,ブレード付与,自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を失う。,,,NO,NO,NO,NO,NO,,static_evidence/PL_HS-pb1-015_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,ブレード付与,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-PR-024_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-PR-025#A01,PL!N-PR-025,優木せつ菜,ドロー,自分のステージに、このメンバーか、ほかのメンバーがバトンタッチして登場したとき、カードを1枚引く。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-PR-025_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,手札を捨てる,手札のメンバーカードを1枚控え室に置く：自分の控え室から、これにより控え室に置いたメンバーカードより、コストの低いメンバーカードを1枚手札に加える。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp1-008_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,手札を捨てる,手札を1枚控え室に置く：エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp4-008_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,スコア加算,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp4-012_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp4-018#A01,PL!N-bp4-018,近江彼方,ドロー,自分のメインフェイズの間、このメンバーがアクティブ状態からウェイト状態になった時、カードを1枚引き、手札からカードを1枚控え室に置く。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp4-018_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp4-026#A01,PL!N-bp4-026,DIVE!,手札を捨てる,自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DIVE！」のカード1枚を表向きでライブカード置き場に置いてもよい。そうした場合、次のライブカードセットフェイズで自分のライブカード置き場におけるカードの枚数の条件が1枚減る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp4-026_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,ブレード付与,このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp4-026_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,スコア加算,自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ライブの合計スコアを+1する。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp5-002_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,手札を捨てる,手札を1枚控え室に置く：自分の控え室にあるライブカードを1枚選び、そのカードのスコアに等しい数の<(E)>を支払ってもよい。そうした場合、そのライブカードを手札に加える。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp5-003_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,ライブ終了時cleanup,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_N_bp5_030_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,エネルギー,エネルギー置き場にあるエネルギー1枚をこのメンバーの下に置く：相手のステージにいる、元々持つ<(ブレード)>の数がこのメンバーの下にあるエネルギーカードの枚数に1を足した数以下のメンバー1人をウェイトにする。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-bp7-004_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-pb1-002#A02,PL!N-pb1-002,中須かすみ,エネルギー,このメンバーの下にエネルギーカードが2枚以上置かれているかぎり、ライブの合計スコアを+1する。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-pb1-002_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,ドロー,<(E)><(E)>このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-pb1-003_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-pb1-005#A01,PL!N-pb1-005,宮下愛,ドロー,自分のステージにコスト10のメンバーが登場したとき、カードを1枚引く。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-pb1-005_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!N-pb1-012#A01,PL!N-pb1-012,鐘嵐珠,エネルギー,自分のステージにこのメンバー以外のコスト11のメンバーが登場した時、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,,,NO,NO,NO,NO,NO,,static_evidence/PL_N-pb1-012_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,ブレード付与,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-PR-029_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-PR-030#A01,PL!S-PR-030,津島善子,ブレード付与,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-PR-030_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-PR-031#A01,PL!S-PR-031,国木田花丸,ブレード付与,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-PR-031_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,ブレード付与,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-PR-039_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,ブレード付与,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-bp2-001_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp3-006#A01,PL!S-bp3-006,津島善子,手札を捨てる,このメンバーをウェイトにし、手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置く。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-bp3-006_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp3-016#A01,PL!S-bp3-016,国木田花丸,成功置き場参照,自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-bp3-016_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp6-002#A01,PL!S-bp6-002,桜内梨子,デッキ上へ戻す,『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカードをデッキの一番上か一番下に置いてもよい。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_S_bp6_002_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_EXACT_MATCH,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp6-003#A01,PL!S-bp6-003,松浦果南,手札を捨てる,"<(E)><(E)>,手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置いてもよい。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。",,,NO,NO,NO,NO,NO,,static_evidence/PL_S-bp6-003_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp6-009#A01,PL!S-bp6-009,黒澤ルビィ,ブレード付与,相手の成功ライブカード置き場にあるカードの枚数が自分より多いかぎり、その差に等しい数の<(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-bp6-009_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp7-006#A01,PL!S-bp7-006,津島善子,名前・グループ・ユニット条件,自分のデッキの下からカードを3枚控え室に置く。それらがすべて『Aqours』のメンバーカードの場合、ライブ終了時まで、<緑>を得る。,,,YES,YES,NO,NO,NO,,_codex_outputs/effect_full_audit_phase4_20260716/state/PL_S_bp7_006_A01,STATE_RECORDED,NOT_RUN_FULL_CLEANUP,UNDO_NOT_EXACT_OR_NOT_REACHED,UI_JSON_RECORDED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-bp7-015#A01,PL!S-bp7-015,津島善子,ライブ終了時cleanup,自分のデッキの下からカードを1枚控え室に置く。それがライブカードの場合、ライブ終了時まで、<赤>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-bp7-015_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-pb1-006#A01,PL!S-pb1-006,津島善子,手札を捨てる,手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-pb1-006_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!S-pb1-009#A01,PL!S-pb1-009,黒澤ルビィ,ブレード付与,自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_S-pb1-009_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp1-001#A01,PL!SP-bp1-001,澁谷かのん,常時効果,自分のステージにほかのメンバーがいない場合、自分はライブできない。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp1-001_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp2-008#A01,PL!SP-bp2-008,若菜四季,常時効果,<(E)>：このメンバーがいるエリアとは別の自分のエリア1つを選ぶ。このメンバーをそのエリアに移動する。選んだエリアにメンバーがいる場合、そのメンバーは、このメンバーがいたエリアに移動させる。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp2-008_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp2-010#A01,PL!SP-bp2-010,ウィーン・マルガレーテ,常時効果,相手のライブカード置き場にあるすべてのライブカードは、成功させるための必要ハートが<任意>多くなる。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp2-010_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp4-003#A02,PL!SP-bp4-003,嵐千砂都,ブレード付与,<(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp4-003_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp4-009#A01,PL!SP-bp4-009,鬼塚夏美,ブレード付与,自分のステージにいるメンバーのコストが相手より低いかぎり、<(ブレード)><(ブレード)><(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp4-009_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp4-016#A01,PL!SP-bp4-016,葉月恋,エネルギー,カードの効果で自分のエネルギー置き場にエネルギーカードが置かれるたび、ライブ終了時まで、<紫>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp4-016_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp7-005#A01,PL!SP-bp7-005,葉月恋,エネルギー,このメンバーが登場するか、自分のエネルギーがエネルギー置き場からエネロキーデッキに置かれたとき、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。そのエネルギーカードは、次のターンのアクティブフェイズにアクティブしない。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp7-005_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp7-005#A02,PL!SP-bp7-005,葉月恋,エネルギー,自分のカードの効果によって、自分のエネルギー置き場にエネルギーが置かれたとき、ライブ終了時まで、<(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp7-005_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-bp7-025#A01,PL!SP-bp7-025,Memories,ブレード付与,ライブ終了時まで、自分のステージにいる「嵐千砂都」1人は<(ブレード)>を得る。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-bp7-025_A01.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
PL!SP-pb2-006#A02,PL!SP-pb2-006,桜小路きな子,名前・グループ・ユニット条件,自分のライブが成功するか、このメンバーがエリアを移動したとき、自分の控室にある『Liella!』のメンバーカードを1枚、このメンバーの下に置く。,,,NO,NO,NO,NO,NO,,static_evidence/PL_SP-pb2-006_A02.md,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,GENERIC_ROUTE_TEXT_NOT_MATCHED,"Representative only proves this text/setup, not the whole family."
