audit_id,cardnumber,cardname,trigger,implementation_status,implementation_files,implementation_symbols,matcher_or_rule,pending_kind,resolve_path,ui_render_path,implementation_style,reachable,duplicate_route_suspected,dead_route_suspected,notes
PL!-bp6-024#A01,PL!-bp6-024,錯覚CROSSROADS,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-pb1-013#A01,PL!-pb1-013,園田海未,起動,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-pb1-013#A02,PL!-pb1-013,園田海未,常時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,manual_review_reason=nested_granted_ability_runtime | nested_granted_ability_count=1
PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-bp5-001#A02,PL!HS-bp5-001,日野下花帆,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-bp5-022#A01,PL!HS-bp5-022,Retrofuture,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!HS-bp6-006#A02,PL!HS-bp6-006,安養寺姫芽,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-bp6-014#A01,PL!HS-bp6-014,安養寺姫芽,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-cl1-004#A01,PL!HS-cl1-004,百生吟子,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!HS-cl1-011#A01,PL!HS-cl1-011,ド！ド！ド！,ライブ成功時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-002#A01,PL!HS-pb1-002,村野さやか,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-007#A02,PL!HS-pb1-007,セラス 柳田 リリエンフェルト,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-008#A02,PL!HS-pb1-008,桂城泉,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-014#A02,PL!HS-pb1-014,安養寺姫芽,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-pb1-028#A02,PL!HS-pb1-028,COMPASS,ライブ開始時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!HS-pb1-028#A03,PL!HS-pb1-028,COMPASS,ライブ開始時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!HS-sd1-004#A02,PL!HS-sd1-004,百生吟子,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-sd1-005#A02,PL!HS-sd1-005,徒町小鈴,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!HS-sd1-020#A01,PL!HS-sd1-020,Link to the FUTURE（104期Ver.）,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-PR-003#A01,PL!N-PR-003,上原歩夢,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-PR-008#A01,PL!N-PR-008,近江彼方,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-PR-010#A01,PL!N-PR-010,エマ・ヴェルデ,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-PR-025#A01,PL!N-PR-025,優木せつ菜,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-PR-026#A02,PL!N-PR-026,天王寺璃奈,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-PR-026#A03,PL!N-PR-026,天王寺璃奈,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!N-PR-027#A01,PL!N-PR-027,朝香果林,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp1-002#A02,PL!N-bp1-002,中須かすみ,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp3-003#A02,PL!N-bp3-003,桜坂しずく,登場,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!N-bp3-003#A03,PL!N-bp3-003,桜坂しずく,登場,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!N-bp3-005#A03,PL!N-bp3-005,宮下愛,常時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!N-bp4-007#A02,PL!N-bp4-007,優木せつ菜,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp4-018#A01,PL!N-bp4-018,近江彼方,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp4-026#A01,PL!N-bp4-026,DIVE!,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp4-030#A01,PL!N-bp4-030,Daydream Mermaid,ライブ成功時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!N-bp5-001#A01,PL!N-bp5-001,上原歩夢,自動,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!N-bp5-001#A02,PL!N-bp5-001,上原歩夢,常時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp5-011#A01,PL!N-bp5-011,ミア・テイラー,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp5-030#A02,PL!N-bp5-030,繚乱！ビクトリーロード,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!N-bp5-030#A03,PL!N-bp5-030,繚乱！ビクトリーロード,自動,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!N-bp5-030#A04,PL!N-bp5-030,繚乱！ビクトリーロード,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-bp7-005#A01,PL!N-bp7-005,宮下愛,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!N-pb1-002#A02,PL!N-pb1-002,中須かすみ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-pb1-004#A01,PL!N-pb1-004,朝香果林,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-pb1-005#A01,PL!N-pb1-005,宮下愛,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-pb1-007#A01,PL!N-pb1-007,優木せつ菜,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!N-pb1-010#A01,PL!N-pb1-010,三船栞子,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!N-pb1-012#A01,PL!N-pb1-012,鐘嵐珠,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-PR-030#A01,PL!S-PR-030,津島善子,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-PR-031#A01,PL!S-PR-031,国木田花丸,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-PR-042#A01,PL!S-PR-042,小原鞠莉,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp2-024#A01,PL!S-bp2-024,君のこころは輝いてるかい？,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp3-001#A01,PL!S-bp3-001,高海千歌,起動,PARTIAL,llocg_ui/engine.py,body_always_noop,parenthetical_note_noop,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,manual_review_reason=nested_granted_ability_runtime | nested_granted_ability_count=1
PL!S-bp3-006#A01,PL!S-bp3-006,津島善子,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp3-016#A01,PL!S-bp3-016,国木田花丸,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp3-024#A01,PL!S-bp3-024,Deep Resonance,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!S-bp5-001#A02,PL!S-bp5-001,高海千歌,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp5-004#A01,PL!S-bp5-004,黒澤ダイヤ,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!S-bp5-008#A01,PL!S-bp5-008,小原鞠莉,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp6-002#A01,PL!S-bp6-002,桜内梨子,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp6-003#A01,PL!S-bp6-003,松浦果南,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp6-004#A02,PL!S-bp6-004,黒澤ダイヤ,ライブ開始時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!S-bp6-009#A01,PL!S-bp6-009,黒澤ルビィ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp6-020#A01,PL!S-bp6-020,"冒険Type A, B, C!!",ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,manual_review_reason=nested_granted_ability_runtime | nested_granted_ability_count=1
PL!S-bp7-003#A02,PL!S-bp7-003,松浦果南,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!S-bp7-005#A03,PL!S-bp7-005,渡辺曜,起動,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!S-bp7-005#A04,PL!S-bp7-005,渡辺曜,登場,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!S-bp7-006#A01,PL!S-bp7-006,津島善子,ライブ開始時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp7-015#A01,PL!S-bp7-015,津島善子,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp7-016#A01,PL!S-bp7-016,国木田花丸,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-bp7-022#A01,PL!S-bp7-022,恋になりたいAQUARIUM,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-pb1-006#A01,PL!S-pb1-006,津島善子,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-pb1-009#A01,PL!S-pb1-009,黒澤ルビィ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!S-pb1-019#A02,PL!S-pb1-019,元気全開DAY！DAY！DAY！,ライブ成功時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!S-pb1-019#A03,PL!S-pb1-019,元気全開DAY！DAY！DAY！,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-PR-022#A01,PL!SP-PR-022,若菜四季,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-PR-026#A01,PL!SP-PR-026,鬼塚夏美,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!SP-PR-026#A02,PL!SP-PR-026,鬼塚夏美,常時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-bp1-001#A01,PL!SP-bp1-001,澁谷かのん,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp1-003#A01,PL!SP-bp1-003,嵐千砂都,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,manual_review_reason=nested_granted_ability_runtime | nested_granted_ability_count=1
PL!SP-bp1-004#A01,PL!SP-bp1-004,平安名すみれ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp2-001#A02,PL!SP-bp2-001,澁谷かのん,ライブ開始時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-bp2-004#A01,PL!SP-bp2-004,平安名すみれ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp2-006#A02,PL!SP-bp2-006,桜小路きな子,起動,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!SP-bp2-006#A03,PL!SP-bp2-006,桜小路きな子,登場,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-bp2-006#A04,PL!SP-bp2-006,桜小路きな子,登場,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-bp2-008#A01,PL!SP-bp2-008,若菜四季,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp2-010#A01,PL!SP-bp2-010,ウィーン・マルガレーテ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp4-003#A02,PL!SP-bp4-003,嵐千砂都,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp4-004#A01,PL!SP-bp4-004,平安名すみれ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp4-009#A01,PL!SP-bp4-009,鬼塚夏美,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp4-016#A01,PL!SP-bp4-016,葉月恋,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp4-021#A01,PL!SP-bp4-021,ウィーン・マルガレーテ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp5-001#A01,PL!SP-bp5-001,澁谷かのん,登場,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!SP-bp5-003#A01,PL!SP-bp5-003,嵐千砂都,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp5-005#A01,PL!SP-bp5-005,葉月恋,起動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp5-005#A02,PL!SP-bp5-005,葉月恋,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp5-011#A01,PL!SP-bp5-011,鬼塚冬毬,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp5-011#A02,PL!SP-bp5-011,鬼塚冬毬,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp5-011#A03,PL!SP-bp5-011,鬼塚冬毬,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp5-012#A01,PL!SP-bp5-012,澁谷かのん,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp7-005#A01,PL!SP-bp7-005,葉月恋,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp7-005#A02,PL!SP-bp7-005,葉月恋,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-bp7-025#A01,PL!SP-bp7-025,Memories,ライブ開始時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-000#A01,PL!SP-pb2-000,嵐千砂都＆鬼塚夏美,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-002#A01,PL!SP-pb2-002,唐可可,起動,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!SP-pb2-005#A02,PL!SP-pb2-005,葉月恋,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-005#A03,PL!SP-pb2-005,葉月恋,起動,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-pb2-006#A01,PL!SP-pb2-006,桜小路きな子,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-006#A02,PL!SP-pb2-006,桜小路きな子,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-010#A02,PL!SP-pb2-010,ウィーン・マルガレーテ,ライブ成功時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!SP-pb2-011#A01,PL!SP-pb2-011,鬼塚冬毬,自動,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!SP-pb2-022#A01,PL!SP-pb2-022,鬼塚冬毬,自動,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-035#A01,PL!SP-pb2-035,唐可可,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-041#A01,PL!SP-pb2-041,若菜四季,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-046#A01,PL!SP-pb2-046,Butterfly Wing,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!SP-pb2-046#A02,PL!SP-pb2-046,Butterfly Wing,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!SP-pb2-046#A03,PL!SP-pb2-046,Butterfly Wing,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-pb2-046#A04,PL!SP-pb2-046,Butterfly Wing,ライブ開始時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!SP-sd2-004#A01,PL!SP-sd2-004,平安名すみれ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
