family_key,audit_id,cardnumber,cardname,trigger,family_size,selection_reason
draw_n|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-012#A01,PL!-PR-012,小泉花陽,起動,12,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
opponent_hand_random_reveal_no_live_draw|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-014#A01,PL!-PR-014,園田海未,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_baton_from_lower_cost_member_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-015#A01,PL!-PR-015,西木野真姫,登場,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
retrieve_live_then_energy_activate_if_success_score_gte|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-017#A01,PL!-PR-017,矢澤にこ,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_green_live_score_threshold_one|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-018#A01,PL!-PR-018,東條希,登場,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_energy_exact_gain_icons|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-PR-021#A01,PL!-PR-021,矢澤にこ,常時,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_n_discard_m;parenthetical_note_noop|effect_template_route;message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-001#A01,PL!-bp3-001,高坂穂乃果,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
activate_stage_member_upto1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-001#A02,PL!-bp3-001,高坂穂乃果,ライブ開始時,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
set_opponent_wait_upto_n_state;parenthetical_note_noop|confirm_effect;effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-002#A01,PL!-bp3-002,絢瀬絵里,登場,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_self_wait_pick_mus_member_from_green;parenthetical_note_noop|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-003#A01,PL!-bp3-003,南ことり,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_stage_member_count_then_discard_1|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-004#A01,PL!-bp3-004,園田海未,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_pick_filtered_to_hand|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-004#A02,PL!-bp3-004,園田海未,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
activate_all_stage_members|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-005#A01,PL!-bp3-005,星空凛,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_success_zone_count_x2_blade|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-006#A01,PL!-bp3-006,西木野真姫,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top3_choose_one_hand_one_top_rest_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-007#A01,PL!-bp3-007,東條希,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_success_zone_exists_discard1_pick_mus_live_from_green;parenthetical_note_noop|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-008#A01,PL!-bp3-008,小泉花陽,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
gain_icons_until_end_live|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-008#A02,PL!-bp3-008,小泉花陽,ライブ開始時,8,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_if_stage_cost_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-009#A01,PL!-bp3-009,矢澤にこ,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_discard1_choose_pink_yellow_purple_heart_v7h|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-009#A02,PL!-bp3-009,矢澤にこ,起動,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_k_optional_type|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-010#A01,PL!-bp3-010,高坂穂乃果,登場,4,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_count_choose_heart_gain|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-011#A01,PL!-bp3-011,絢瀬絵里,ライブ開始時,4,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_ginko_bp2016_reorder_top2;parenthetical_note_noop|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-014#A01,PL!-bp3-014,星空凛,登場,6,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
this_card_score_if_live_in_progress_group_count_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-019#A01,PL!-bp3-019,僕らのLIVE 君とのLIFE,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
reveal_top_by_all_stage_members_live_score_rest_waiting|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-022#A01,PL!-bp3-022,ユメノトビラ,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_blade_total_gte_reduce_required_any|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-023#A01,PL!-bp3-023,ミはμ'sicのミ,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_storage_count_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-024#A01,PL!-bp3-024,"夏色えがおで1,2,Jump!",ライブ開始時,5,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_score_if_excess_total_zero|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-025#A01,PL!-bp3-025,タカラモノズ,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_pick_stage_member_blade3|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-026#A01,PL!-bp3-026,"Oh,Love＆Peace!",ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_score_if_stage_heart_total_gt_opponent|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp3-026#A02,PL!-bp3-026,"Oh,Love＆Peace!",ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_my_cost_lower_draw1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-001#A01,PL!-bp4-001,高坂穂乃果,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_success_score_ge6_activate2|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-004#A01,PL!-bp4-004,園田海未,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_green_cost_le_member_one|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-005#A01,PL!-bp4-005,星空凛,登場,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_total_score_plus_n|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-005#A02,PL!-bp4-005,星空凛,常時,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_no_mus_blade5_force_position_change_not_center|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-005#A03,PL!-bp4-005,星空凛,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_storage_score_sum_wrapper|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-006#A01,PL!-bp4-006,西木野真姫,登場,5,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_success_score_gte_member_cost|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-008#A01,PL!-bp4-008,小泉花陽,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
set_opponent_wait_self_choice|confirm_effect|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-009#A01,PL!-bp4-009,矢澤にこ,登場,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
area_group_member_gain_icons_until_end_live|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-011#A01,PL!-bp4-011,絢瀬絵里,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_pick_other_stage_member_pink1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-013#A01,PL!-bp4-013,園田海未,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_conditional_stage_member_temp_bonus|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-014#A01,PL!-bp4-014,星空凛,ライブ開始時,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_success_score_ge3_draw1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-016#A01,PL!-bp4-016,東條希,登場,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_center_mus_blade1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-017#A01,PL!-bp4-017,小泉花陽,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_success_self_stage_score_bonus|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-019#A01,PL!-bp4-019,Angelic Angel,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_mus_only_pick_member_position_change|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-020#A01,PL!-bp4-020,Love wing bell,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_success_center_group_member_blade|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-020#A02,PL!-bp4-020,Love wing bell,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
center_group_blade_gte_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-022#A01,PL!-bp4-022,No brand girls,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_if_excess_heart_color_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-023#A01,PL!-bp4-023,もぎゅっと”love”で接近中！,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_pick_mus_stage_member_blade1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp4-024#A01,PL!-bp4-024,小夜啼鳥恋詩,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_live_total_plus_n_choose_one_rest_waiting|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-001#A01,PL!-bp5-001,高坂穂乃果,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_eri_bp5002_top5_cost9_ge_mus_member_optional|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-002#A01,PL!-bp5-002,絢瀬絵里,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_stage_distinct_names_icons|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-003#A01,PL!-bp5-003,南ことり,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
discarded_group_top4_choose2_else_retrieve_live|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-003#A02,PL!-bp5-003,南ことり,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
||,PL!-bp5-004#A02,PL!-bp5-004,園田海未,自動,16,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_success_score_ge6_put_active_energy1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-005#A01,PL!-bp5-005,星空凛,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_if_live_zone_count_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-006#A01,PL!-bp5-006,西木野真姫,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_success_score_gte_icons|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-008#A01,PL!-bp5-008,小泉花陽,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_green_live_required_heart_threshold_one|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-009#A01,PL!-bp5-009,矢澤にこ,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
mill_top_k_then_retrieve_waiting_group_type|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-010#A01,PL!-bp5-010,高坂穂乃果,ライブ開始時,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_k_optional_member_heart_any_color|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-014#A01,PL!-bp5-014,星空凛,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
center_group_color_hearts_per_reduce_any_cap|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-020#A01,PL!-bp5-020,Wonder zone,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_member_tiers_draw_discard_heart_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-021#A01,PL!-bp5-021,SUNNY DAY SONG,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_count_score_and_required_increase|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-022#A01,PL!-bp5-022,A song for You! You? You!!,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_members_with_non_excluded_colors_reduce_any|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-023#A01,PL!-bp5-023,乙姫心で恋宮殿,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_stage_other_group_member_per_blue|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-111#A01,PL!-bp5-111,綺羅ツバサ,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_self_wait_icons|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp5-333#A02,PL!-bp5-333,統堂英玲奈,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_live_zone_group_exists_all_stage_group_members_blade|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-001#A01,PL!-bp6-001,高坂穂乃果,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_revealed_no_bladeheart_group_member_apply|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-001#A02,PL!-bp6-001,高坂穂乃果,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_k_optional_group_no_ability_or_body|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-002#A01,PL!-bp6-002,絢瀬絵里,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
hand_member_cost_le_group_to_under_self_optional_choose_heart|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-003#A01,PL!-bp6-003,南ことり,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
under_member_cost_le_group_to_empty_area_optional|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-003#A02,PL!-bp6-003,南ことり,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_k_optional_group|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-004#A01,PL!-bp6-004,園田海未,登場,9,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
retrieve_heart_member_and_required_live_upto|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-005#A01,PL!-bp6-005,星空凛,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
choose_heart_color_reveal_top5_all_match_group_pick_gain_blades|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-006#A01,PL!-bp6-006,西木野真姫,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_reveal_top_to_hand_score_if_no_bladeheart_member|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-007#A01,PL!-bp6-007,東條希,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
activate_stage_member_one|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-008#A01,PL!-bp6-008,小泉花陽,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_n_discard_m|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-011#A01,PL!-bp6-011,絢瀬絵里,ライブ成功時,34,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_success_group_exists_icons|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-012#A01,PL!-bp6-012,南ことり,常時,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_k_reorder_all_on_top|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-016#A01,PL!-bp6-016,東條希,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
this_card_score_then_retrieve_group_live|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-021#A01,PL!-bp6-021,Wonderful Rush,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_then_draw_if_success_zone_group_exists|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-bp6-023#A01,PL!-bp6-023,sweet＆sweet holiday,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
reveal_until_live_or_cost_ge_member_to_hand_rest_waiting_choice|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-001#A01,PL!-pb1-001,高坂穂乃果,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
conditional_opponent_wait_manual|confirm_effect|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-002#A01,PL!-pb1-002,絢瀬絵里,登場,8,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_printemps_count_activate_energy|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-003#A01,PL!-pb1-003,南ことり,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
topdeck_green_live_group_upto1_then_draw_if_opponent_wait_exists|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-006#A01,PL!-pb1-006,西木野真姫,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
activated_success_count_discard_cost_reduction_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-007#A01,PL!-pb1-007,東條希,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_by_context_waited_member_count|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-008#A01,PL!-pb1-008,小泉花陽,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
set_opponent_wait_original_blade_le|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-009#A01,PL!-pb1-009,矢澤にこ,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
effect_notice_no_active_by_effect|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-009#A02,PL!-pb1-009,矢澤にこ,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_other_stage_members_blade1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-010#A01,PL!-pb1-010,高坂穂乃果,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_printemps_activate_up_to_1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-012#A01,PL!-pb1-012,南ことり,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_hand_cost_success_group|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-014#A01,PL!-pb1-014,星空凛,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
optional_discard_one_from_hand_then_effect_direct|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-016#A01,PL!-pb1-016,東條希,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
