cardnumber,audit_id,field,audit_value,runtime_min_value,compiled_value,runtime_usage_symbol,runtime_usage_file,classification,impact_on_debug_setup,impact_on_runtime,human_confirmation_required,evidence
PL!HS-cl1-004,PL!HS-cl1-004#A01,effect_text,"<登場>
以下から1つを選ぶ。
・自分のデッキの上からカードを3枚控え室に置く。
・相手のステージにいるコスト2以下のメンバー1人をウェイトにする。","<登場>
以下から1つを選ぶ。
・自分のデッキの上からカードを3枚控え室に置く。
・相手のステージにいるコスト2以下のメンバー1人をウェイトにする。","<登場>
以下から1つを選ぶ。
自分のデッキの上からカードを3枚控え室に置く。
相手のステージにいるコスト2以下のメンバー1人をウェイトにする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=71; runtime_norm_len=71; compiled_norm_len=69
PL!HS-cl1-011,PL!HS-cl1-011#A01,effect_text,"<ライブ成功時>
<(E)>
支払ってもよい：以下から1つを選ぶ。
・自分の控え室からメンバーカードを1枚手札に加える。
・自分のライブカード置き場にカードが2枚以上ある場合、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。","<ライブ成功時>
<(E)>
支払ってもよい：以下から1つを選ぶ。
・自分の控え室からメンバーカードを1枚手札に加える。
・自分のライブカード置き場にカードが2枚以上ある場合、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。","<ライブ成功時>
<(E)>支払ってもよい：以下から1つを選ぶ。
自分の控え室からメンバーカードを1枚手札に加える。
自分のライブカード置き場にカードが2枚以上ある場合、自分の控え室から『蓮ノ空』のライブカードを1枚手札に加える。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=114; runtime_norm_len=114; compiled_norm_len=112
PL!N-bp4-030,PL!N-bp4-030#A01,effect_text,"<ライブ成功時>
以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。
・自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
・自分の控え室からメンバーカードを1枚手札に加える。","<ライブ成功時>
以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。
・自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
・自分の控え室からメンバーカードを1枚手札に加える。","<ライブ成功時>
以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。
自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。
自分の控え室からメンバーカードを1枚手札に加える。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=122; runtime_norm_len=122; compiled_norm_len=120
PL!N-bp5-001,PL!N-bp5-001#A01,effect_text,"<自動>
<ターン1回>
自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に
<桃>
、
<赤>
、
<黄>
、
<緑>
、
<青>
、
<紫>
、
<ALL>
のうち、3種類以上ある場合、ライブ終了時まで、
<桃>
を得る。6種類以上ある場合、さらにライブ終了時まで、『","<自動>
<ターン1回>
自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に
<桃>
、
<赤>
、
<黄>
、
<緑>
、
<青>
、
<紫>
、
<ALL>
のうち、3種類以上ある場合、ライブ終了時まで、
<桃>
を得る。6種類以上ある場合、さらにライブ終了時まで、『
<常時>
ライブの合計スコアを+1する。』を得る。","<BODY>
【ターン1回】
自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に<桃>、<赤>、<黄>、<緑>、<青>、<紫>、<ALL>のうち、3種類以上ある場合、ライブ終了時まで、<桃>を得る。6種類以上ある場合、さらにライブ終了時まで、『<常時>ライブの合計スコアを+1する。』を得る。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=134; runtime_norm_len=158; compiled_norm_len=160
PL!N-bp5-011,PL!N-bp5-011#A01,effect_text,"<登場>
以下から1つを選ぶ。
・自分の控え室にカード名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。
・自分の控え室にグループ名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを2枚手札に加える。","<登場>
以下から1つを選ぶ。
・自分の控え室にカード名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。
・自分の控え室にグループ名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを2枚手札に加える。","<登場>
以下から1つを選ぶ。
自分の控え室にカード名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。
自分の控え室にグループ名が異なるライブカードが3枚以上ある場合、自分の控え室からライブカードを2枚手札に加える。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=127; runtime_norm_len=127; compiled_norm_len=125
PL!N-bp5-030,PL!N-bp5-030#A02,effect_text,"<ライブ開始時>
能力が解決するたび、そのメンバーが
<ALL>
を持たない場合、ライブ終了時まで、そのメンバーは
<ALL>
を得る。","<自動>
自分のステージにいるメンバーの
<ライブ開始時>
能力が解決するたび、そのメンバーが
<ALL>
を持たない場合、ライブ終了時まで、そのメンバーは
<ALL>
を得る。
<自動>
自分のステージにいるメンバーの
<ライブ成功時>
能力が解決するたび、カードを1枚引く。","<BODY>
自分のステージにいるメンバーの<ライブ成功時>能力が解決するたび、カードを1枚引く。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=63; runtime_norm_len=128; compiled_norm_len=48
PL!N-bp7-005,PL!N-bp7-005#A01,effect_text,"<登場>
自分のステージに名前の異なる『DiverDiva』のメンバーが2人いる場合、以下から1つを選ぶ。
・エネルギーを2枚アクティブにする。
・自分のエネルギーデッキから、エネルギーカード1枚を自分のステージにいる『虹ヶ咲』のメンバーの下に置く。","<登場>
自分のステージに名前の異なる『DiverDiva』のメンバーが2人いる場合、以下から1つを選ぶ。
・エネルギーを2枚アクティブにする。
・自分のエネルギーデッキから、エネルギーカード1枚を自分のステージにいる『虹ヶ咲』のメンバーの下に置く。","<登場>
自分のステージに名前の異なる『DiverDiva』のメンバーが2人いる場合、以下から1つを選ぶ。
エネルギーを2枚アクティブにする。
自分のエネルギーデッキから、エネルギーカード1枚を自分のステージにいる『虹ヶ咲』のメンバーの下に置く。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=122; runtime_norm_len=122; compiled_norm_len=120
PL!N-pb1-010,PL!N-pb1-010#A01,effect_text,"<登場>
以下から1つを選ぶ。
・エネルギーを1枚アクティブにする。
・自分の控え室にある『虹ヶ咲』のライブカードを2枚まで好きな順番でデッキの上に置く。","<登場>
以下から1つを選ぶ。
・エネルギーを1枚アクティブにする。
・自分の控え室にある『虹ヶ咲』のライブカードを2枚まで好きな順番でデッキの上に置く。","<登場>
以下から1つを選ぶ。
エネルギーを1枚アクティブにする。
自分の控え室にある『虹ヶ咲』のライブカードを2枚まで好きな順番でデッキの上に置く。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=74; runtime_norm_len=74; compiled_norm_len=72
PL!S-bp3-024,PL!S-bp3-024#A01,effect_text,"<ライブ開始時>
自分のステージのセンターエリアにコスト9以上の『Aqours』のメンバーがいる場合、以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいるメンバー1人は、
<(ブレード)>
<(ブレード)>
を得る。
・相手のステージにいるコスト4以下のメンバ1人をウェイトにする。","<ライブ開始時>
自分のステージのセンターエリアにコスト9以上の『Aqours』のメンバーがいる場合、以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいるメンバー1人は、
<(ブレード)>
<(ブレード)>
を得る。
・相手のステージにいるコスト4以下のメンバ1人をウェイトにする。","<ライブ開始時>
自分のステージのセンターエリアにコスト9以上の『Aqours』のメンバーがいる場合、以下から1つを選ぶ。
ライブ終了時まで、自分のステージにいるメンバー1人は、<(ブレード)><(ブレード)>を得る。
相手のステージにいるコスト4以下のメンバ1人をウェイトにする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=140; runtime_norm_len=140; compiled_norm_len=138
PL!S-bp5-004,PL!S-bp5-004#A01,effect_text,"<登場>
以下から1つを選ぶ。
・自分のステージにいるこのメンバー以外の『Aqours』のメンバー1人は、ライブ終了時まで、
<(ブレード)>
を得る。
・自分のステージにいる『Saint Snow』のメンバー1人をポジションチェンジさせる。","<登場>
以下から1つを選ぶ。
・自分のステージにいるこのメンバー以外の『Aqours』のメンバー1人は、ライブ終了時まで、
<(ブレード)>
を得る。
・自分のステージにいる『Saint Snow』のメンバー1人をポジションチェンジさせる。","<登場>
以下から1つを選ぶ。
自分のステージにいるこのメンバー以外の『Aqours』のメンバー1人は、ライブ終了時まで、<(ブレード)>を得る。
自分のステージにいる『Saint Snow』のメンバー1人をポジションチェンジさせる。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=115; runtime_norm_len=115; compiled_norm_len=113
PL!S-bp6-020,PL!S-bp6-020#A01,effect_text,"<ライブ開始時>
以下から1つを選ぶ。
・このカードは「
<ライブ成功時>
カードを1枚引く。」を得る。
・ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は
<赤>
を得る。
・自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。","<ライブ開始時>
以下から1つを選ぶ。
・このカードは「
<ライブ成功時>
カードを1枚引く。」を得る。
・ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は
<赤>
を得る。
・自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。","<ライブ開始時>
以下から1つを選ぶ。
このカードは「<ライブ成功時>カードを1枚引く。」を得る。
ライブ終了時まで、このターンにバトンタッチして登場した『Aqours』のメンバー1人は<赤>を得る。
自分の成功ライブカード置き場にカードが2枚以上ある場合、このカードのスコアを+1する。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=143; runtime_norm_len=143; compiled_norm_len=140
PL!S-bp7-003,PL!S-bp7-003#A02,effect_text,"<登場>
以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいる元々持つ
<(ブレード)>
の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。
・このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。","<登場>
/
<ライブ開始時>
自分のデッキの一番上のカードを見る。それをデッキの一番下に置いてもよい。
<登場>
以下から1つを選ぶ。
・ライブ終了時まで、自分のステージにいる元々持つ
<(ブレード)>
の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。
・このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。","<登場>
以下から1つを選ぶ。
ライブ終了時まで、自分のステージにいる元々持つ<(ブレード)>の数が3つ以下の『Aqours』のメンバーは、相手の効果によってはウェイトしない。
このメンバーを『Aqours』か『Saint Snow』のメンバーがいるエリアにポジションチェンジする。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=139; runtime_norm_len=188; compiled_norm_len=137
PL!S-bp7-005,PL!S-bp7-005#A03,effect_text,"<起動>
<センター>
<ターン1回>
手札を2枚控え室に置く：このメンバーと自分のステージにいるほかの『Aqours』のメンバー1人を選ぶ。それらが持つ","<登場>
自分の控え室にあるメンバーカード1枚を、自分のステージにいるメンバー1人の下に置く。
<常時>
自分のステージにいる、メンバーカードが下に貸し枯れている『Aqours』のメンバーは、
<(ブレード)>
を得る。
<起動>
<センター>
<ターン1回>
手札を2枚控え室に置く：このメンバーと自分のステージにいるほかの『Aqours』のメンバー1人を選ぶ。それらが持つ
<登場>
能力それぞれ1つ発動させる。","<BODY>
【センター;ターン1回】
手札を2枚控え室に置く：このメンバーと自分のステージにいるほかの『Aqours』のメンバー1人を選ぶ。それらが持つ<登場>能力それぞれ1つ発動させる。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=74; runtime_norm_len=197; compiled_norm_len=93
PL!S-pb1-019,PL!S-pb1-019#A02,effect_text,"<ライブ成功時>
能力を無効にする。","<ライブ開始時>
自分のステージいる『Aqours』のメンバーが持つハートに、
<赤>
が合計6個以上ある場合、このカードの
<ライブ成功時>
能力を無効にする。
<ライブ成功時>
相手は、エネルギーデッキからエネルギーカードを1枚ウェイト状態で置く。","<ライブ成功時>
相手は、エネルギーデッキからエネルギーカードを1枚ウェイト状態で置く。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=17; runtime_norm_len=119; compiled_norm_len=43
PL!SP-PR-026,PL!SP-PR-026#A01,effect_text,"<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『","<ライブ開始時>
<センター>
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『
<常時>
ライブの合計スコアを+1する。』を得る。","<ライブ開始時>
【センター】
自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。",_match_effect_template / CardInfo.abilities,llocg_ui/engine.py; llocg_ui/effects/registry.py; llocg_ui/db.py,MIN_COMPILED_DIVERGENCE,Use runtime min/compiled text for trigger setup; do not trust stale audit text when divergent,"Runtime behavior follows current DB loaded by llocg_ui.db and matcher/parser, not previous audit source",YES,audit_norm_len=51; runtime_norm_len=75; compiled_norm_len=75
