audit_id,cardnumber,cardname,previous_classification,final_classification,confidence,reason,evidence_file
PL!-bp5-111#A02,PL!-bp5-111,綺羅ツバサ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-bp5-111_A02.md
PL!-bp6-002#A02,PL!-bp6-002,絢瀬絵里,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp6-002_A02.md
PL!-bp6-009#A01,PL!-bp6-009,矢澤にこ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-bp6-009_A01.md
PL!-bp6-019#A01,PL!-bp6-019,Music S.T.A.R.T!!,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-bp6-019_A01.md
PL!-bp6-020#A03,PL!-bp6-020,Dancing stars on me!,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp6-020_A03.md
PL!-bp6-020#A04,PL!-bp6-020,Dancing stars on me!,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp6-020_A04.md
PL!-bp6-022#A01,PL!-bp6-022,Dreamin' Go! Go!!,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-bp6-022_A01.md
PL!-bp6-024#A01,PL!-bp6-024,錯覚CROSSROADS,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-bp6-024_A01.md
PL!-pb1-002#A02,PL!-pb1-002,絢瀬絵里,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-pb1-002_A02.md
PL!-pb1-013#A02,PL!-pb1-013,園田海未,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_-pb1-013_A02.md
PL!-pb1-015#A02,PL!-pb1-015,西木野真姫,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_-pb1-015_A02.md
PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_HS-bp1-003_A01.md
PL!HS-bp2-020#A01,PL!HS-bp2-020,Link to the FUTURE,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_HS-bp2-020_A01.md
PL!HS-bp5-001#A02,PL!HS-bp5-001,日野下花帆,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-bp5-001_A02.md
PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_HS-bp5-016_A02.md
PL!HS-bp5-018#A01,PL!HS-bp5-018,AURORA FLOWER,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_HS-bp5-018_A01.md
PL!HS-bp6-006#A02,PL!HS-bp6-006,安養寺姫芽,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-bp6-006_A02.md
PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_HS-bp6-007_A01.md
PL!HS-bp6-014#A01,PL!HS-bp6-014,安養寺姫芽,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_HS-bp6-014_A01.md
PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_HS-pb1-001_A01.md
PL!HS-pb1-002#A01,PL!HS-pb1-002,村野さやか,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-pb1-002_A01.md
PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_HS-pb1-003_A02.md
PL!HS-pb1-007#A02,PL!HS-pb1-007,セラス 柳田 リリエンフェルト,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-pb1-007_A02.md
PL!HS-pb1-008#A02,PL!HS-pb1-008,桂城泉,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-pb1-008_A02.md
PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_HS-pb1-009_A01.md
PL!HS-pb1-014#A02,PL!HS-pb1-014,安養寺姫芽,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-pb1-014_A02.md
PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_HS-pb1-015_A01.md
PL!HS-pb1-028#A02,PL!HS-pb1-028,COMPASS,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-pb1-028_A02.md
PL!HS-pb1-028#A03,PL!HS-pb1-028,COMPASS,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-pb1-028_A03.md
PL!HS-sd1-004#A02,PL!HS-sd1-004,百生吟子,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-sd1-004_A02.md
PL!HS-sd1-005#A02,PL!HS-sd1-005,徒町小鈴,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_HS-sd1-005_A02.md
PL!HS-sd1-020#A01,PL!HS-sd1-020,Link to the FUTURE（104期Ver.）,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_HS-sd1-020_A01.md
PL!N-PR-003#A01,PL!N-PR-003,上原歩夢,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_N-PR-003_A01.md
PL!N-PR-008#A01,PL!N-PR-008,近江彼方,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_N-PR-008_A01.md
PL!N-PR-010#A01,PL!N-PR-010,エマ・ヴェルデ,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_N-PR-010_A01.md
PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-PR-024_A01.md
PL!N-PR-025#A01,PL!N-PR-025,優木せつ菜,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-PR-025_A01.md
PL!N-PR-026#A02,PL!N-PR-026,天王寺璃奈,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-PR-026_A02.md
PL!N-PR-026#A03,PL!N-PR-026,天王寺璃奈,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-PR-026_A03.md
PL!N-PR-027#A01,PL!N-PR-027,朝香果林,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-PR-027_A01.md
PL!N-bp1-002#A02,PL!N-bp1-002,中須かすみ,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp1-002_A02.md
PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp1-008_A01.md
PL!N-bp3-003#A02,PL!N-bp3-003,桜坂しずく,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp3-003_A02.md
PL!N-bp3-003#A03,PL!N-bp3-003,桜坂しずく,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp3-003_A03.md
PL!N-bp3-005#A03,PL!N-bp3-005,宮下愛,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp3-005_A03.md
PL!N-bp4-007#A02,PL!N-bp4-007,優木せつ菜,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp4-007_A02.md
PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp4-008_A01.md
PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp4-012_A01.md
PL!N-bp4-018#A01,PL!N-bp4-018,近江彼方,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp4-018_A01.md
PL!N-bp4-026#A01,PL!N-bp4-026,DIVE!,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp4-026_A01.md
PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp4-026_A02.md
PL!N-bp5-001#A02,PL!N-bp5-001,上原歩夢,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp5-001_A02.md
PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp5-002_A01.md
PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp5-003_A01.md
PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp5-030_A01.md
PL!N-bp5-030#A03,PL!N-bp5-030,繚乱！ビクトリーロード,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp5-030_A03.md
PL!N-bp5-030#A04,PL!N-bp5-030,繚乱！ビクトリーロード,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-bp5-030_A04.md
PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-bp7-004_A01.md
PL!N-pb1-002#A02,PL!N-pb1-002,中須かすみ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-pb1-002_A02.md
PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-pb1-003_A01.md
PL!N-pb1-004#A01,PL!N-pb1-004,朝香果林,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-pb1-004_A01.md
PL!N-pb1-005#A01,PL!N-pb1-005,宮下愛,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-pb1-005_A01.md
PL!N-pb1-007#A01,PL!N-pb1-007,優木せつ菜,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_N-pb1-007_A01.md
PL!N-pb1-012#A01,PL!N-pb1-012,鐘嵐珠,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_N-pb1-012_A01.md
PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-PR-029_A01.md
PL!S-PR-030#A01,PL!S-PR-030,津島善子,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-PR-030_A01.md
PL!S-PR-031#A01,PL!S-PR-031,国木田花丸,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-PR-031_A01.md
PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-PR-039_A01.md
PL!S-PR-042#A01,PL!S-PR-042,小原鞠莉,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-PR-042_A01.md
PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp2-001_A01.md
PL!S-bp2-024#A01,PL!S-bp2-024,君のこころは輝いてるかい？,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-bp2-024_A01.md
PL!S-bp3-001#A01,PL!S-bp3-001,高海千歌,PARTIAL_MISSING_BRANCH,PARTIAL_BRANCH_MISSING,medium,Phase2 mapped only a partial route; v2 requires branch-level runtime proof before implementation is confirmed.,static_evidence/PL_S-bp3-001_A01.md
PL!S-bp3-006#A01,PL!S-bp3-006,津島善子,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp3-006_A01.md
PL!S-bp3-016#A01,PL!S-bp3-016,国木田花丸,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp3-016_A01.md
PL!S-bp5-001#A02,PL!S-bp5-001,高海千歌,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-bp5-001_A02.md
PL!S-bp5-008#A01,PL!S-bp5-008,小原鞠莉,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-bp5-008_A01.md
PL!S-bp6-002#A01,PL!S-bp6-002,桜内梨子,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp6-002_A01.md
PL!S-bp6-003#A01,PL!S-bp6-003,松浦果南,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp6-003_A01.md
PL!S-bp6-004#A02,PL!S-bp6-004,黒澤ダイヤ,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-bp6-004_A02.md
PL!S-bp6-009#A01,PL!S-bp6-009,黒澤ルビィ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp6-009_A01.md
PL!S-bp7-005#A04,PL!S-bp7-005,渡辺曜,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-bp7-005_A04.md
PL!S-bp7-006#A01,PL!S-bp7-006,津島善子,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp7-006_A01.md
PL!S-bp7-015#A01,PL!S-bp7-015,津島善子,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-bp7-015_A01.md
PL!S-bp7-016#A01,PL!S-bp7-016,国木田花丸,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-bp7-016_A01.md
PL!S-bp7-022#A01,PL!S-bp7-022,恋になりたいAQUARIUM,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-bp7-022_A01.md
PL!S-pb1-006#A01,PL!S-pb1-006,津島善子,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-pb1-006_A01.md
PL!S-pb1-009#A01,PL!S-pb1-009,黒澤ルビィ,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_S-pb1-009_A01.md
PL!S-pb1-019#A03,PL!S-pb1-019,元気全開DAY！DAY！DAY！,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_S-pb1-019_A03.md
PL!SP-PR-022#A01,PL!SP-PR-022,若菜四季,NOT_IMPLEMENTED_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_SP-PR-022_A01.md
PL!SP-PR-026#A02,PL!SP-PR-026,鬼塚夏美,UNREACHABLE_TRIGGER_CONFIRMED,NOT_IMPLEMENTED_WITH_EVIDENCE,medium,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files.",static_evidence/PL_SP-PR-026_A02.md
PL!SP-bp1-001#A01,PL!SP-bp1-001,澁谷かのん,NOT_IMPLEMENTED_CONFIRMED,STATIC_ANALYSIS_INCONCLUSIVE,low,Search evidence is insufficient to confirm either implementation or absence.,static_evidence/PL_SP-bp1-001_A01.md
PL!SP-bp1-003#A01,PL!SP-bp1-003,嵐千砂都,NOT_IMPLEMENTED_CONFIRMED,IMPLEMENTED_ROUTE_UNVERIFIED,low,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability.",static_evidence/PL_SP-bp1-003_A01.md
