cardnumber,field,audit_value,runtime_value,severity,notes
LL-bp5-002,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""red"": 2, ""yellow"": 1, ""any"": 5}",S2,reparsed heart facts differ from source derived counts
LL-bp6-001,base_hearts_counts_json,<赤> 2 <黄> 2 <青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-bp6-001,base_hearts_counts_json_vs_reparsed,{},"{""red"": 2, ""yellow"": 2, ""blue"": 2}",S2,reparsed heart facts differ from source derived counts
LL-bp7-001,base_hearts_counts_json,<赤> 2 <緑> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
LL-bp7-001,base_hearts_counts_json_vs_reparsed,{},"{""red"": 2, ""green"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-PR-001,base_hearts_counts_json,<黄> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-001,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-PR-002,base_hearts_counts_json,<紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-002,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-PR-003,base_hearts_counts_json,<桃> 2 <黄> 3 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-003,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 3, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-004,base_hearts_counts_json,<桃> 3 <黄> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-004,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""yellow"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-PR-005,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-005,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-006,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-006,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-007,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-007,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-008,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-008,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-009,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-009,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-012,base_hearts_counts_json,<黄> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-012,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-014,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-014,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-015,base_hearts_counts_json,<黄> 3 <紫> 3,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-015,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 3, ""purple"": 3}",S2,reparsed heart facts differ from source derived counts
PL!-PR-017,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-017,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-PR-018,base_hearts_counts_json,<桃> 3 <紫> 3,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-018,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""purple"": 3}",S2,reparsed heart facts differ from source derived counts
PL!-PR-020,base_hearts_counts_json,<桃> 1 <赤> 1 <紫> 3,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-020,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""red"": 1, ""purple"": 3}",S2,reparsed heart facts differ from source derived counts
PL!-PR-021,base_hearts_counts_json,<桃> 1 <赤> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-PR-021,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""red"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-001,base_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-001,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-002,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-002,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-003,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-003,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-004,base_hearts_counts_json,<桃> 2 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-004,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-005,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-005,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-006,base_hearts_counts_json,<桃> 2 <黄> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-006,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-007,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-007,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-008,base_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-008,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-009,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-009,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-010,base_hearts_counts_json,<桃> 1 <黄> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-010,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-011,base_hearts_counts_json,<桃> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-011,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-012,base_hearts_counts_json,なし,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-013,base_hearts_counts_json,<桃> 3 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-013,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-014,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-014,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-015,base_hearts_counts_json,<黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-015,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-016,base_hearts_counts_json,<桃> 2 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-016,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-017,base_hearts_counts_json,<黄> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-017,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-018,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-018,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-019,required_hearts_counts_json,<桃> 1 <紫> 1 (合計2),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-019,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-020,required_hearts_counts_json,<桃> 1 <紫> 1 <任意> 3 (合計5),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-020,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""purple"": 1, ""any"": 3}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-021,required_hearts_counts_json,<桃> 3 <紫> 4 <任意> 7 (合計14),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-021,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""purple"": 4, ""any"": 7}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-022,required_hearts_counts_json,<桃> 3 <黄> 3 <紫> 3 <任意> 4 (合計13),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-022,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""yellow"": 3, ""purple"": 3, ""any"": 4}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-023,required_hearts_counts_json,<桃> 2 <紫> 2 <任意> 4 (合計8),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-023,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""purple"": 2, ""any"": 4}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-024,required_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2 (合計6),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-024,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-025,required_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2 <任意> 4 (合計10),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-025,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2, ""any"": 4}",S2,reparsed heart facts differ from source derived counts
PL!-bp3-026,required_hearts_counts_json,<桃> 2 <黄> 5 <紫> 2 <任意> 6 (合計15),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp3-026,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 5, ""purple"": 2, ""any"": 6}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-001,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-001,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-002,base_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-002,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-003,base_hearts_counts_json,<黄> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-003,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-004,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-004,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-005,base_hearts_counts_json,<桃> 2 <黄> 2 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-005,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-006,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-006,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-007,base_hearts_counts_json,<桃> 2 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-007,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-008,base_hearts_counts_json,<黄> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-008,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-009,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-009,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-010,base_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-010,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-011,base_hearts_counts_json,<桃> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-011,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-012,base_hearts_counts_json,<桃> 1 <黄> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-012,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-013,base_hearts_counts_json,<桃> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-013,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-014,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-014,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-015,base_hearts_counts_json,<黄> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-015,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-016,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-016,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-017,base_hearts_counts_json,<黄> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-017,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-018,base_hearts_counts_json,<桃> 1 <黄> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-018,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-019,required_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2 <任意> 4 (合計10),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-019,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2, ""any"": 4}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-020,required_hearts_counts_json,<桃> 3 <黄> 3 <任意> 2 (合計8),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-020,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""yellow"": 3, ""any"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-021,required_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2 <任意> 8 (合計14),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-021,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2, ""any"": 8}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-022,required_hearts_counts_json,<桃> 3 <黄> 3 <紫> 3 <任意> 9 (合計18),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-022,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""yellow"": 3, ""purple"": 3, ""any"": 9}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-023,required_hearts_counts_json,<桃> 2 <黄> 1 <紫> 1 <任意> 3 (合計7),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-023,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 1, ""purple"": 1, ""any"": 3}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-024,required_hearts_counts_json,<桃> 2 <黄> 2 <任意> 1 (合計5),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-024,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-025,required_hearts_counts_json,<桃> 3 <紫> 3 <任意> 6 (合計12),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-025,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""purple"": 3, ""any"": 6}",S2,reparsed heart facts differ from source derived counts
PL!-bp4-026,required_hearts_counts_json,<黄> 1 <紫> 1 <任意> 1 (合計3),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp4-026,required_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1, ""purple"": 1, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-001,base_hearts_counts_json,<黄> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-001,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-002,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-002,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-003,base_hearts_counts_json,<黄> 3 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-003,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 3, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-004,base_hearts_counts_json,<桃> 2 <黄> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-004,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-005,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-005,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-006,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-006,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-007,base_hearts_counts_json,<桃> 2 <黄> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-007,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-008,base_hearts_counts_json,<桃> 1 <黄> 3 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-008,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 3, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-009,base_hearts_counts_json,<桃> 1 <黄> 2 <紫> 3,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-009,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 2, ""purple"": 3}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-010,base_hearts_counts_json,<桃> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-010,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-011,base_hearts_counts_json,なし,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-012,base_hearts_counts_json,<黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-012,base_hearts_counts_json_vs_reparsed,{},"{""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-013,base_hearts_counts_json,<桃> 1 <黄> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-013,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-014,base_hearts_counts_json,<青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-014,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-015,base_hearts_counts_json,<赤> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-015,base_hearts_counts_json_vs_reparsed,{},"{""red"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-016,base_hearts_counts_json,<桃> 1 <黄> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-016,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-017,base_hearts_counts_json,<桃> 1 <黄> 1 <青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-017,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""yellow"": 1, ""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!-bp5-018,base_hearts_counts_json,<桃> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!-bp5-018,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
