audit_id,cardnumber,cardname,trigger,implementation_status,implementation_files,implementation_symbols,matcher_or_rule,pending_kind,resolve_path,ui_render_path,implementation_style,reachable,duplicate_route_suspected,dead_route_suspected,notes
PL!-PR-018#A01,PL!-PR-018,東條希,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_green_live_score_threshold_one,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-PR-020#A01,PL!-PR-020,高坂穂乃果,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-PR-020#A02,PL!-PR-020,高坂穂乃果,常時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-PR-021#A01,PL!-PR-021,矢澤にこ,常時,IMPLEMENTED,llocg_ui/engine.py,body_always_noop,body_always_energy_exact_gain_icons,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-001#A01,PL!-bp3-001,高坂穂乃果,起動,IMPLEMENTED,llocg_ui/engine.py,draw_then_discard;body_always_noop,draw_n_discard_m;parenthetical_note_noop,effect_template_route;message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-001#A02,PL!-bp3-001,高坂穂乃果,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,activate_stage_member,activate_stage_member_upto1,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-002#A01,PL!-bp3-002,絢瀬絵里,登場,IMPLEMENTED,llocg_ui/engine.py,set_opponent_wait;body_always_noop,set_opponent_wait_upto_n_state;parenthetical_note_noop,confirm_effect;effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-002#A02,PL!-bp3-002,絢瀬絵里,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp3-003#A01,PL!-bp3-003,南ことり,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__;body_always_noop,enter_self_wait_pick_mus_member_from_green;parenthetical_note_noop,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-004#A01,PL!-bp3-004,園田海未,登場,IMPLEMENTED,llocg_ui/engine.py,draw_stage_member_count_then_discard,draw_stage_member_count_then_discard_1,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-004#A02,PL!-bp3-004,園田海未,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,green_pick_filtered_to_hand,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-005#A01,PL!-bp3-005,星空凛,登場,IMPLEMENTED,llocg_ui/engine.py,activate_all_stage_members,activate_all_stage_members,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-006#A01,PL!-bp3-006,西木野真姫,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_success_zone_count_x2_blade,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-007#A01,PL!-bp3-007,東條希,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,look_top3_choose_one_hand_one_top_rest_green,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-008#A01,PL!-bp3-008,小泉花陽,起動,IMPLEMENTED,llocg_ui/engine.py,__ext__;body_always_noop,live_start_success_zone_exists_discard1_pick_mus_live_from_green;parenthetical_note_noop,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-008#A02,PL!-bp3-008,小泉花陽,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,gain_icons_until_end_live,gain_icons_until_end_live,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-009#A01,PL!-bp3-009,矢澤にこ,登場,IMPLEMENTED,llocg_ui/engine.py,draw_if,draw_if_stage_cost_gte,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-009#A02,PL!-bp3-009,矢澤にこ,起動,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_discard1_choose_pink_yellow_purple_heart_v7h,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-010#A01,PL!-bp3-010,高坂穂乃果,登場,IMPLEMENTED,llocg_ui/engine.py,look_top_choose_filtered,look_top_k_optional_type,selection_pending_or_card_list,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-011#A01,PL!-bp3-011,絢瀬絵里,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,success_count_choose_heart_gain,success_count_choose_heart_gain,selection_pending_or_card_list,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-012#A01,PL!-bp3-012,南ことり,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,success_count_choose_heart_gain,success_count_choose_heart_gain,selection_pending_or_card_list,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-013#A01,PL!-bp3-013,園田海未,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,success_count_choose_heart_gain,success_count_choose_heart_gain,selection_pending_or_card_list,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-014#A01,PL!-bp3-014,星空凛,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__;body_always_noop,enter_ginko_bp2016_reorder_top2;parenthetical_note_noop,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-017#A01,PL!-bp3-017,小泉花陽,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__;body_always_noop,enter_ginko_bp2016_reorder_top2;parenthetical_note_noop,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-018#A01,PL!-bp3-018,矢澤にこ,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__;body_always_noop,enter_ginko_bp2016_reorder_top2;parenthetical_note_noop,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-019#A01,PL!-bp3-019,僕らのLIVE 君とのLIFE,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,this_card_score_if_live_in_progress_group_count_gte,this_card_score_if_live_in_progress_group_count_gte,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-022#A01,PL!-bp3-022,ユメノトビラ,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,reveal_top_by_all_stage_members_live_score_rest_waiting,reveal_top_by_all_stage_members_live_score_rest_waiting,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-023#A01,PL!-bp3-023,ミはμ'sicのミ,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,stage_blade_total_gte_reduce_required_any,stage_blade_total_gte_reduce_required_any,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-024#A01,PL!-bp3-024,"夏色えがおで1,2,Jump!",ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,success_storage_count_wrapper,success_storage_count_wrapper,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-024#A02,PL!-bp3-024,"夏色えがおで1,2,Jump!",ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,success_storage_count_wrapper,success_storage_count_wrapper,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-025#A01,PL!-bp3-025,タカラモノズ,ライブ成功時,IMPLEMENTED,llocg_ui/engine.py,live_success_score_if_excess_total_zero,live_success_score_if_excess_total_zero,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-026#A01,PL!-bp3-026,"Oh,Love＆Peace!",ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_pick_stage_member_blade3,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp3-026#A02,PL!-bp3-026,"Oh,Love＆Peace!",ライブ成功時,IMPLEMENTED,llocg_ui/engine.py,live_success_score_if_stage_heart_total_gt_opponent,live_success_score_if_stage_heart_total_gt_opponent,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-001#A01,PL!-bp4-001,高坂穂乃果,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_my_cost_lower_draw1,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-002#A01,PL!-bp4-002,絢瀬絵里,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp4-002#A02,PL!-bp4-002,絢瀬絵里,ライブ開始時,DB_DATA_MISMATCH,,,,,,,,NO,NO,NO,
PL!-bp4-002#A03,PL!-bp4-002,絢瀬絵里,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-002#A04,PL!-bp4-002,絢瀬絵里,起動,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-003#A01,PL!-bp4-003,南ことり,起動,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_green_kind_one,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-004#A01,PL!-bp4-004,園田海未,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__,enter_success_score_ge6_activate2,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-005#A01,PL!-bp4-005,星空凛,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_green_cost_le_member_one,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-005#A02,PL!-bp4-005,星空凛,常時,IMPLEMENTED,llocg_ui/engine.py,live_total_score_plus,live_total_score_plus_n,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-005#A03,PL!-bp4-005,星空凛,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_no_mus_blade5_force_position_change_not_center,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-006#A01,PL!-bp4-006,西木野真姫,登場,IMPLEMENTED,llocg_ui/engine.py,success_storage_score_sum_wrapper,success_storage_score_sum_wrapper,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-007#A01,PL!-bp4-007,東條希,登場,IMPLEMENTED,llocg_ui/engine.py,success_storage_score_sum_wrapper,success_storage_score_sum_wrapper,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,manual_review_reason=nested_granted_ability_runtime | nested_granted_ability_count=1
PL!-bp4-008#A01,PL!-bp4-008,小泉花陽,常時,IMPLEMENTED,llocg_ui/engine.py,body_always_noop,body_always_success_score_gte_member_cost,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-009#A01,PL!-bp4-009,矢澤にこ,登場,IMPLEMENTED,llocg_ui/engine.py,set_opponent_wait_self_choice,set_opponent_wait_self_choice,confirm_effect,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-010#A01,PL!-bp4-010,高坂穂乃果,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,gain_blade_until_end_live,gain_blade_until_end_live,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-011#A01,PL!-bp4-011,絢瀬絵里,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,area_group_member_gain_icons_until_end_live,area_group_member_gain_icons_until_end_live,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-013#A01,PL!-bp4-013,園田海未,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_pick_other_stage_member_pink1,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-014#A01,PL!-bp4-014,星空凛,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,generic_conditional_stage_member_temp_bonus,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-014#A02,PL!-bp4-014,星空凛,ライブ開始時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-014#A03,PL!-bp4-014,星空凛,ライブ成功時,UNREACHABLE,,,,,,,,NO,NO,YES,
PL!-bp4-016#A01,PL!-bp4-016,東條希,登場,IMPLEMENTED,llocg_ui/engine.py,__ext__,enter_success_score_ge3_draw1,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-017#A01,PL!-bp4-017,小泉花陽,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_center_mus_blade1,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-018#A01,PL!-bp4-018,矢澤にこ,常時,NOT_IMPLEMENTED,,,,,,,,YES,NO,NO,
PL!-bp4-019#A01,PL!-bp4-019,Angelic Angel,常時,IMPLEMENTED,llocg_ui/engine.py,body_always_noop,body_always_success_self_stage_score_bonus,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-020#A01,PL!-bp4-020,Love wing bell,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,__ext__,live_start_mus_only_pick_member_position_change,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-020#A02,PL!-bp4-020,Love wing bell,常時,IMPLEMENTED,llocg_ui/engine.py,body_always_noop,body_always_success_center_group_member_blade,effect_template_route,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-021#A01,PL!-bp4-021,？←HEARTBEAT,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,success_storage_score_sum_wrapper,success_storage_score_sum_wrapper,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
PL!-bp4-022#A01,PL!-bp4-022,No brand girls,ライブ開始時,IMPLEMENTED,llocg_ui/engine.py,center_group_blade_gte_score,center_group_blade_gte_score,message_ack_or_auto_order,cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,llocg_ui/server.py pending modal / state_json,GENERIC,YES,NO,NO,
