cardnumber,canonical_id,status,reproduction,expected,actual,family,common_fix_candidate,affected_files,priority,evidence
PL!HS-bp1-003,PL!HS-bp1-003#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_HS_bp1_003_A01; evidence/ui/PL_HS_bp1_003_A01; evidence/logs/PL_HS_bp1_003_A01.log; evidence/commands/PL_HS_bp1_003_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,stage_count_group_unit_name,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_HS_bp1_003_A01; evidence/ui/PL_HS_bp1_003_A01; evidence/logs/PL_HS_bp1_003_A01.log; evidence/commands/PL_HS_bp1_003_A01.command.sh
PL!HS-bp5-016,PL!HS-bp5-016#A02,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_HS_bp5_016_A02; evidence/ui/PL_HS_bp5_016_A02; evidence/logs/PL_HS_bp5_016_A02.log; evidence/commands/PL_HS_bp5_016_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_HS_bp5_016_A02; evidence/ui/PL_HS_bp5_016_A02; evidence/logs/PL_HS_bp5_016_A02.log; evidence/commands/PL_HS_bp5_016_A02.command.sh
PL!HS-bp6-007,PL!HS-bp6-007#A01,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_HS_bp6_007_A01; evidence/ui/PL_HS_bp6_007_A01; evidence/logs/PL_HS_bp6_007_A01.log; evidence/commands/PL_HS_bp6_007_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,continuous_attribute,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_HS_bp6_007_A01; evidence/ui/PL_HS_bp6_007_A01; evidence/logs/PL_HS_bp6_007_A01.log; evidence/commands/PL_HS_bp6_007_A01.command.sh
PL!HS-pb1-001,PL!HS-pb1-001#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_HS_pb1_001_A01; evidence/ui/PL_HS_pb1_001_A01; evidence/logs/PL_HS_pb1_001_A01.log; evidence/commands/PL_HS_pb1_001_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,energy_active_wait,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_HS_pb1_001_A01; evidence/ui/PL_HS_pb1_001_A01; evidence/logs/PL_HS_pb1_001_A01.log; evidence/commands/PL_HS_pb1_001_A01.command.sh
PL!HS-pb1-003,PL!HS-pb1-003#A02,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_HS_pb1_003_A02; evidence/ui/PL_HS_pb1_003_A02; evidence/logs/PL_HS_pb1_003_A02.log; evidence/commands/PL_HS_pb1_003_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,hand_to_green / discard,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_HS_pb1_003_A02; evidence/ui/PL_HS_pb1_003_A02; evidence/logs/PL_HS_pb1_003_A02.log; evidence/commands/PL_HS_pb1_003_A02.command.sh
PL!HS-pb1-009,PL!HS-pb1-009#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_HS_pb1_009_A01; evidence/ui/PL_HS_pb1_009_A01; evidence/logs/PL_HS_pb1_009_A01.log; evidence/commands/PL_HS_pb1_009_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_HS_pb1_009_A01; evidence/ui/PL_HS_pb1_009_A01; evidence/logs/PL_HS_pb1_009_A01.log; evidence/commands/PL_HS_pb1_009_A01.command.sh
PL!HS-pb1-015,PL!HS-pb1-015#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_HS_pb1_015_A01; evidence/ui/PL_HS_pb1_015_A01; evidence/logs/PL_HS_pb1_015_A01.log; evidence/commands/PL_HS_pb1_015_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_HS_pb1_015_A01; evidence/ui/PL_HS_pb1_015_A01; evidence/logs/PL_HS_pb1_015_A01.log; evidence/commands/PL_HS_pb1_015_A01.command.sh
PL!N-PR-024,PL!N-PR-024#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_PR_024_A01; evidence/ui/PL_N_PR_024_A01; evidence/logs/PL_N_PR_024_A01.log; evidence/commands/PL_N_PR_024_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_PR_024_A01; evidence/ui/PL_N_PR_024_A01; evidence/logs/PL_N_PR_024_A01.log; evidence/commands/PL_N_PR_024_A01.command.sh
PL!N-PR-025,PL!N-PR-025#A01,TRIGGER_REACHED_RESOLVER_BLOCKED,evidence/state/PL_N_PR_025_A01; evidence/ui/PL_N_PR_025_A01; evidence/logs/PL_N_PR_025_A01.log; evidence/commands/PL_N_PR_025_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Event-history trigger/hook family has no matching generic route for DB text.,draw,event ledger + resolver family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_PR_025_A01; evidence/ui/PL_N_PR_025_A01; evidence/logs/PL_N_PR_025_A01.log; evidence/commands/PL_N_PR_025_A01.command.sh
PL!N-bp1-008,PL!N-bp1-008#A01,UI_ROUTE_MISSING,evidence/state/PL_N_bp1_008_A01; evidence/ui/PL_N_bp1_008_A01; evidence/logs/PL_N_bp1_008_A01.log; evidence/commands/PL_N_bp1_008_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Activated ability did not expose a normal activate route in stage_detail for designed setup.,green_to_hand,server/engine activated route,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P1,evidence/state/PL_N_bp1_008_A01; evidence/ui/PL_N_bp1_008_A01; evidence/logs/PL_N_bp1_008_A01.log; evidence/commands/PL_N_bp1_008_A01.command.sh
PL!N-bp4-008,PL!N-bp4-008#A01,UI_ROUTE_MISSING,evidence/state/PL_N_bp4_008_A01; evidence/ui/PL_N_bp4_008_A01; evidence/logs/PL_N_bp4_008_A01.log; evidence/commands/PL_N_bp4_008_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Activated ability did not expose a normal activate route in stage_detail for designed setup.,energy_active_wait,server/engine activated route,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P1,evidence/state/PL_N_bp4_008_A01; evidence/ui/PL_N_bp4_008_A01; evidence/logs/PL_N_bp4_008_A01.log; evidence/commands/PL_N_bp4_008_A01.command.sh
PL!N-bp4-012,PL!N-bp4-012#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_bp4_012_A01; evidence/ui/PL_N_bp4_012_A01; evidence/logs/PL_N_bp4_012_A01.log; evidence/commands/PL_N_bp4_012_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_bp4_012_A01; evidence/ui/PL_N_bp4_012_A01; evidence/logs/PL_N_bp4_012_A01.log; evidence/commands/PL_N_bp4_012_A01.command.sh
PL!N-bp4-018,PL!N-bp4-018#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_bp4_018_A01; evidence/ui/PL_N_bp4_018_A01; evidence/logs/PL_N_bp4_018_A01.log; evidence/commands/PL_N_bp4_018_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,draw_then_discard,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_bp4_018_A01; evidence/ui/PL_N_bp4_018_A01; evidence/logs/PL_N_bp4_018_A01.log; evidence/commands/PL_N_bp4_018_A01.command.sh
PL!N-bp4-026,PL!N-bp4-026#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_bp4_026_A01; evidence/ui/PL_N_bp4_026_A01; evidence/logs/PL_N_bp4_026_A01.log; evidence/commands/PL_N_bp4_026_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,hand_to_green / discard,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_bp4_026_A01; evidence/ui/PL_N_bp4_026_A01; evidence/logs/PL_N_bp4_026_A01.log; evidence/commands/PL_N_bp4_026_A01.command.sh
PL!N-bp4-026,PL!N-bp4-026#A02,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_bp4_026_A02; evidence/ui/PL_N_bp4_026_A02; evidence/logs/PL_N_bp4_026_A02.log; evidence/commands/PL_N_bp4_026_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_bp4_026_A02; evidence/ui/PL_N_bp4_026_A02; evidence/logs/PL_N_bp4_026_A02.log; evidence/commands/PL_N_bp4_026_A02.command.sh
PL!N-bp5-002,PL!N-bp5-002#A01,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_N_bp5_002_A01; evidence/ui/PL_N_bp5_002_A01; evidence/logs/PL_N_bp5_002_A01.log; evidence/commands/PL_N_bp5_002_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,stage_count_group_unit_name,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_N_bp5_002_A01; evidence/ui/PL_N_bp5_002_A01; evidence/logs/PL_N_bp5_002_A01.log; evidence/commands/PL_N_bp5_002_A01.command.sh
PL!N-bp5-003,PL!N-bp5-003#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_bp5_003_A01; evidence/ui/PL_N_bp5_003_A01; evidence/logs/PL_N_bp5_003_A01.log; evidence/commands/PL_N_bp5_003_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,energy_active_wait,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_bp5_003_A01; evidence/ui/PL_N_bp5_003_A01; evidence/logs/PL_N_bp5_003_A01.log; evidence/commands/PL_N_bp5_003_A01.command.sh
PL!N-bp5-030,PL!N-bp5-030#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_bp5_030_A01; evidence/ui/PL_N_bp5_030_A01; evidence/logs/PL_N_bp5_030_A01.log; evidence/commands/PL_N_bp5_030_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_bp5_030_A01; evidence/ui/PL_N_bp5_030_A01; evidence/logs/PL_N_bp5_030_A01.log; evidence/commands/PL_N_bp5_030_A01.command.sh
PL!N-bp7-004,PL!N-bp7-004#A01,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_N_bp7_004_A01; evidence/ui/PL_N_bp7_004_A01; evidence/logs/PL_N_bp7_004_A01.log; evidence/commands/PL_N_bp7_004_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,energy_under_member,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_N_bp7_004_A01; evidence/ui/PL_N_bp7_004_A01; evidence/logs/PL_N_bp7_004_A01.log; evidence/commands/PL_N_bp7_004_A01.command.sh
PL!N-pb1-002,PL!N-pb1-002#A02,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_pb1_002_A02; evidence/ui/PL_N_pb1_002_A02; evidence/logs/PL_N_pb1_002_A02.log; evidence/commands/PL_N_pb1_002_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,stage_count_group_unit_name,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_pb1_002_A02; evidence/ui/PL_N_pb1_002_A02; evidence/logs/PL_N_pb1_002_A02.log; evidence/commands/PL_N_pb1_002_A02.command.sh
PL!N-pb1-003,PL!N-pb1-003#A01,UI_ROUTE_MISSING,evidence/state/PL_N_pb1_003_A01; evidence/ui/PL_N_pb1_003_A01; evidence/logs/PL_N_pb1_003_A01.log; evidence/commands/PL_N_pb1_003_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Activated ability did not expose a normal activate route in stage_detail for designed setup.,energy_active_wait,server/engine activated route,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P1,evidence/state/PL_N_pb1_003_A01; evidence/ui/PL_N_pb1_003_A01; evidence/logs/PL_N_pb1_003_A01.log; evidence/commands/PL_N_pb1_003_A01.command.sh
PL!N-pb1-005,PL!N-pb1-005#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_pb1_005_A01; evidence/ui/PL_N_pb1_005_A01; evidence/logs/PL_N_pb1_005_A01.log; evidence/commands/PL_N_pb1_005_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,draw,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_pb1_005_A01; evidence/ui/PL_N_pb1_005_A01; evidence/logs/PL_N_pb1_005_A01.log; evidence/commands/PL_N_pb1_005_A01.command.sh
PL!N-pb1-012,PL!N-pb1-012#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_N_pb1_012_A01; evidence/ui/PL_N_pb1_012_A01; evidence/logs/PL_N_pb1_012_A01.log; evidence/commands/PL_N_pb1_012_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,energy_active_wait,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_N_pb1_012_A01; evidence/ui/PL_N_pb1_012_A01; evidence/logs/PL_N_pb1_012_A01.log; evidence/commands/PL_N_pb1_012_A01.command.sh
PL!S-PR-029,PL!S-PR-029#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_PR_029_A01; evidence/ui/PL_S_PR_029_A01; evidence/logs/PL_S_PR_029_A01.log; evidence/commands/PL_S_PR_029_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_PR_029_A01; evidence/ui/PL_S_PR_029_A01; evidence/logs/PL_S_PR_029_A01.log; evidence/commands/PL_S_PR_029_A01.command.sh
PL!S-PR-030,PL!S-PR-030#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_PR_030_A01; evidence/ui/PL_S_PR_030_A01; evidence/logs/PL_S_PR_030_A01.log; evidence/commands/PL_S_PR_030_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_PR_030_A01; evidence/ui/PL_S_PR_030_A01; evidence/logs/PL_S_PR_030_A01.log; evidence/commands/PL_S_PR_030_A01.command.sh
PL!S-PR-031,PL!S-PR-031#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_PR_031_A01; evidence/ui/PL_S_PR_031_A01; evidence/logs/PL_S_PR_031_A01.log; evidence/commands/PL_S_PR_031_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_PR_031_A01; evidence/ui/PL_S_PR_031_A01; evidence/logs/PL_S_PR_031_A01.log; evidence/commands/PL_S_PR_031_A01.command.sh
