original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,previous_status,previous_reason,source_file,card_type,group,unit,cost,score,required_hearts,db_effect_text,db_match
PL!N-PR-024#A01,PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,A・ZU・NA,11.0,,0,"自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>
を得る。",true
PL!N-PR-025#A01,PL!N-PR-025#A01,PL!N-PR-025,優木せつ菜,BODY,自分のステージに、このメンバーか、ほかのメンバーがバトンタッチして登場したとき、カードを1枚引く。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,A・ZU・NA,15.0,,0,自分のステージに、このメンバーか、ほかのメンバーがバトンタッチして登場したとき、カードを1枚引く。,true
PL!N-bp1-008#A01,PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,起動,手札のメンバーカードを1枚控え室に置く：自分の控え室から、これにより控え室に置いたメンバーカードより、コストの低いメンバーカードを1枚手札に加える。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,QU4RTZ,9.0,,0,手札のメンバーカードを1枚控え室に置く：自分の控え室から、これにより控え室に置いたメンバーカードより、コストの低いメンバーカードを1枚手札に加える。,true
PL!N-bp4-008#A01,PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,起動,手札を1枚控え室に置く：エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,QU4RTZ,5.0,,0,手札を1枚控え室に置く：エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。,true
PL!N-bp4-012#A01,PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,常時,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,R3BIRTH,13.0,,0,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,true
PL!N-bp4-018#A01,PL!N-bp4-018#A01,PL!N-bp4-018,近江彼方,BODY,自分のメインフェイズの間、このメンバーがアクティブ状態からウェイト状態になった時、カードを1枚引き、手札からカードを1枚控え室に置く。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,QU4RTZ,2.0,,0,自分のメインフェイズの間、このメンバーがアクティブ状態からウェイト状態になった時、カードを1枚引き、手札からカードを1枚控え室に置く。,true
PL!N-bp4-026#A01,PL!N-bp4-026#A01,PL!N-bp4-026,DIVE!,BODY,自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DIVE！」のカード1枚を表向きでライブカード置き場に置いてもよい。そうした場合、次のライブカードセットフェイズで自分のライブカード置き場におけるカードの枚数の条件が1枚減る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,LIVE,虹ヶ咲,,,5.0,12,自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DIVE！」のカード1枚を表向きでライブカード置き場に置いてもよい。そうした場合、次のライブカードセットフェイズで自分のライブカード置き場におけるカードの枚数の条件が1枚減る。,true
PL!N-bp4-026#A02,PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,BODY,このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,LIVE,虹ヶ咲,,,5.0,12,"このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、<(ブレード)><(ブレード)>
を得る。",true
PL!N-bp5-002#A01,PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,常時,自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ライブの合計スコアを+1する。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,QU4RTZ,15.0,,0,自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ライブの合計スコアを+1する。,true
PL!N-bp5-003#A01,PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,起動,手札を1枚控え室に置く：自分の控え室にあるライブカードを1枚選び、そのカードのスコアに等しい数の<(E)>を支払ってもよい。そうした場合、そのライブカードを手札に加える。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,A・ZU・NA,11.0,,0,"手札を1枚控え室に置く：自分の控え室にあるライブカードを1枚選び、そのカードのスコアに等しい数の<(E)>
を支払ってもよい。そうした場合、そのライブカードを手札に加える。",true
PL!N-bp5-030#A01,PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,BODY,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,LIVE,虹ヶ咲,,,5.0,13,"自分のステージにいるメンバーの
<ライブ開始時>
能力が解決するたび、そのメンバーが
<ALL>
を持たない場合、ライブ終了時まで、そのメンバーは
<ALL>
を得る。",true
PL!N-bp7-004#A01,PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,起動,エネルギー置き場にあるエネルギー1枚をこのメンバーの下に置く：相手のステージにいる、元々持つ<(ブレード)>の数がこのメンバーの下にあるエネルギーカードの枚数に1を足した数以下のメンバー1人をウェイトにする。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,DiverDiva,13.0,,0,"エネルギー置き場にあるエネルギー1枚をこのメンバーの下に置く：相手のステージにいる、元々持つ
<(ブレード)>
の数がこのメンバーの下にあるエネルギーカードの枚数に1を足した数以下のメンバー1人をウェイトにする。",true
PL!N-pb1-002#A02,PL!N-pb1-002#A02,PL!N-pb1-002,中須かすみ,常時,このメンバーの下にエネルギーカードが2枚以上置かれているかぎり、ライブの合計スコアを+1する。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,QU4RTZ,13.0,,0,このメンバーの下にエネルギーカードが2枚以上置かれているかぎり、ライブの合計スコアを+1する。,true
PL!N-pb1-003#A01,PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,起動,<(E)><(E)>このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,A・ZU・NA,4.0,,0,"<(E)><(E)>このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は<(ブレード)>
を得る。この能力は、このカードが手札にある場合のみ起動できる。",true
PL!N-pb1-005#A01,PL!N-pb1-005#A01,PL!N-pb1-005,宮下愛,BODY,自分のステージにコスト10のメンバーが登場したとき、カードを1枚引く。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,DiverDiva,2.0,,0,自分のステージにコスト10のメンバーが登場したとき、カードを1枚引く。,true
PL!N-pb1-012#A01,PL!N-pb1-012#A01,PL!N-pb1-012,鐘嵐珠,BODY,自分のステージにこのメンバー以外のコスト11のメンバーが登場した時、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,虹ヶ咲,R3BIRTH,11.0,,0,自分のステージにこのメンバー以外のコスト11のメンバーが登場した時、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,true
PL!S-PR-029#A01,PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,CYaRon!,9.0,,0,"自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>
を得る。",true
PL!S-PR-030#A01,PL!S-PR-030#A01,PL!S-PR-030,津島善子,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,Guilty Kiss,9.0,,0,"自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>
を得る。",true
PL!S-PR-031#A01,PL!S-PR-031#A01,PL!S-PR-031,国木田花丸,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,AZALEA,9.0,,0,"自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>
を得る。",true
PL!S-PR-039#A01,PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,CYaRon!,11.0,,0,"自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>
を得る。",true
PL!S-bp2-001#A01,PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,常時,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,CYaRon!,9.0,,0,"自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>
を得る。",true
PL!S-bp3-006#A01,PL!S-bp3-006#A01,PL!S-bp3-006,津島善子,起動,このメンバーをウェイトにし、手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置く。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,Guilty Kiss,13.0,,0,このメンバーをウェイトにし、手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置く。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。,true
PL!S-bp3-016#A01,PL!S-bp3-016#A01,PL!S-bp3-016,国木田花丸,常時,自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,AZALEA,4.0,,0,自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。,true
PL!S-bp6-002#A01,PL!S-bp6-002#A01,PL!S-bp6-002,桜内梨子,BODY,『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカードをデッキの一番上か一番下に置いてもよい。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,Guilty Kiss,17.0,,0,『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカードをデッキの一番上か一番下に置いてもよい。,true
PL!S-bp6-003#A01,PL!S-bp6-003#A01,PL!S-bp6-003,松浦果南,起動,"<(E)><(E)>,手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置いてもよい。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。",GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,AZALEA,9.0,,0,"<(E)><(E)>,手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置いてもよい。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。",true
PL!S-bp6-009#A01,PL!S-bp6-009#A01,PL!S-bp6-009,黒澤ルビィ,常時,相手の成功ライブカード置き場にあるカードの枚数が自分より多いかぎり、その差に等しい数の<(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,CYaRon!,9.0,,0,"相手の成功ライブカード置き場にあるカードの枚数が自分より多いかぎり、その差に等しい数の<(ブレード)>
を得る。",true
PL!S-bp7-006#A01,PL!S-bp7-006#A01,PL!S-bp7-006,津島善子,ライブ開始時,自分のデッキの下からカードを3枚控え室に置く。それらがすべて『Aqours』のメンバーカードの場合、ライブ終了時まで、<緑>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,Guilty Kiss,2,,,"自分のデッキの下からカードを3枚控え室に置く。それらがすべて『Aqours』のメンバーカードの場合、ライブ終了時まで、<緑>
を得る。",true
PL!S-bp7-015#A01,PL!S-bp7-015#A01,PL!S-bp7-015,津島善子,常時,自分のデッキの下からカードを1枚控え室に置く。それがライブカードの場合、ライブ終了時まで、<赤>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,Guilty Kiss,5,,,"自分のデッキの下からカードを1枚控え室に置く。それがライブカードの場合、ライブ終了時まで、<赤>
を得る。",true
