canonical_id,cardnumber,cardname,trigger,effect_text,ability_summary,condition_type,positive_condition,negative_condition_removed,source_zone,target_zone,required_stage_L,required_stage_C,required_stage_R,required_hand,required_green,required_deck_order,required_success_zone,required_live_cards,required_energy_active,required_energy_wait,required_opponent_wait_count,required_opponent_success_count,required_opponent_score,required_history,required_attached_energy,expected_pending_sequence,expected_effect_delta,expected_cleanup_point,undo_expected,ui_required,manual_review_status,manual_review_notes
PL!HS-bp1-003#A01,PL!HS-bp1-003,乙宗梢,常時,自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時>ライブの合計スコアを+1する。」を得る。,individual setup derived from text: 自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!HS-bp1-003,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!HS-bp5-016#A02,PL!HS-bp5-016,桂城泉,常時,相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,individual setup derived from text: 相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!HS-bp5-016,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!HS-bp6-007#A01,PL!HS-bp6-007,セラス 柳田 リリエンフェルト,BODY,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,individual setup derived from text: 自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアク,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!HS-bp6-007,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!HS-pb1-001#A01,PL!HS-pb1-001,日野下花帆,BODY,自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。,individual setup derived from text: 自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そ,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!HS-pb1-001,,,,,,,40,3,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,true,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!HS-pb1-003#A02,PL!HS-pb1-003,大沢瑠璃乃,BODY,自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃><(ブレード)>を得る。,individual setup derived from text: 自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃><(ブレード)>を得,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!HS-pb1-003,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=blade_continuous; no shared setup template copied.
PL!HS-pb1-009#A01,PL!HS-pb1-009,日野下花帆,BODY,自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,individual setup derived from text: 自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレー,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!HS-pb1-009,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!HS-pb1-015#A01,PL!HS-pb1-015,セラス 柳田 リリエンフェルト,常時,自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を失う。,individual setup derived from text: 自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!HS-pb1-015,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=blade_continuous; no shared setup template copied.
PL!N-PR-024#A01,PL!N-PR-024,桜坂しずく,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,opponent success-zone aggregate value affects this continuous modifier,opponent_success_count_or_score,opponent aggregate success count/score satisfies threshold or exceeds own value,opponent aggregate value is set below threshold/equal,stage C,stage / live / green depending on text,,PL!N-PR-024,,,,,,,,,,2,6 or larger when score threshold is referenced,,,,blade or live score bonus equals threshold text,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!N-PR-025#A01,PL!N-PR-025,優木せつ菜,BODY,自分のステージに、このメンバーか、ほかのメンバーがバトンタッチして登場したとき、カードを1枚引く。,individual setup derived from text: 自分のステージに、このメンバーか、ほかのメンバーがバトンタッチして登場したとき、カードを1枚引く,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-PR-025,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!N-bp1-008#A01,PL!N-bp1-008,エマ・ヴェルデ,起動,手札のメンバーカードを1枚控え室に置く：自分の控え室から、これにより控え室に置いたメンバーカードより、コストの低いメンバーカードを1枚手札に加える。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!N-bp1-008,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,DESIGNED_NOT_RUN,Designed from card text; family=activated; no shared setup template copied.
PL!N-bp4-008#A01,PL!N-bp4-008,エマ・ヴェルデ,起動,手札を1枚控え室に置く：エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!N-bp4-008,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,3,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,PILOT_SELECTED,Designed from card text; family=activated; no shared setup template copied.
PL!N-bp4-012#A01,PL!N-bp4-012,鐘嵐珠,常時,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,opponent success-zone aggregate value affects this continuous modifier,opponent_success_count_or_score,opponent aggregate success count/score satisfies threshold or exceeds own value,opponent aggregate value is set below threshold/equal,stage C,stage / live / green depending on text,,PL!N-bp4-012,,,,,,,,,,2,6 or larger when score threshold is referenced,,,,blade or live score bonus equals threshold text,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!N-bp4-018#A01,PL!N-bp4-018,近江彼方,BODY,自分のメインフェイズの間、このメンバーがアクティブ状態からウェイト状態になった時、カードを1枚引き、手札からカードを1枚控え室に置く。,individual setup derived from text: 自分のメインフェイズの間、このメンバーがアクティブ状態からウェイト状態になった時、カードを1枚引,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-bp4-018,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=other; no shared setup template copied.
PL!N-bp4-026#A01,PL!N-bp4-026,DIVE!,BODY,自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DIVE！」のカード1枚を表向きでライブカード置き場に置いてもよい。そうした場合、次のライブカードセットフェイズで自分のライブカード置き場におけるカードの枚数の条件が1枚減る。,individual setup derived from text: 自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DI,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-bp4-026,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,true,DESIGNED_NOT_RUN,Designed from card text; family=other; no shared setup template copied.
PL!N-bp4-026#A02,PL!N-bp4-026,DIVE!,BODY,このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、<(ブレード)><(ブレード)>を得る。,individual setup derived from text: このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-bp4-026,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=blade_continuous; no shared setup template copied.
PL!N-bp5-002#A01,PL!N-bp5-002,中須かすみ,常時,自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ライブの合計スコアを+1する。,individual setup derived from text: 自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ラ,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-bp5-002,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!N-bp5-003#A01,PL!N-bp5-003,桜坂しずく,起動,手札を1枚控え室に置く：自分の控え室にあるライブカードを1枚選び、そのカードのスコアに等しい数の<(E)>を支払ってもよい。そうした場合、そのライブカードを手札に加える。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!N-bp5-003,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,DESIGNED_NOT_RUN,Designed from card text; family=activated; no shared setup template copied.
PL!N-bp5-030#A01,PL!N-bp5-030,繚乱！ビクトリーロード,BODY,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,individual setup derived from text: 自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持た,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-bp5-030,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=other; no shared setup template copied.
PL!N-bp7-004#A01,PL!N-bp7-004,朝香果林,起動,エネルギー置き場にあるエネルギー1枚をこのメンバーの下に置く：相手のステージにいる、元々持つ<(ブレード)>の数がこのメンバーの下にあるエネルギーカードの枚数に1を足した数以下のメンバー1人をウェイトにする。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!N-bp7-004,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,3,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,DESIGNED_NOT_RUN,Designed from card text; family=activated; no shared setup template copied.
PL!N-pb1-002#A02,PL!N-pb1-002,中須かすみ,常時,このメンバーの下にエネルギーカードが2枚以上置かれているかぎり、ライブの合計スコアを+1する。,individual setup derived from text: このメンバーの下にエネルギーカードが2枚以上置かれているかぎり、ライブの合計スコアを+1する。,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-pb1-002,,,,,,,40,3,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=energy_or_attached; no shared setup template copied.
PL!N-pb1-003#A01,PL!N-pb1-003,桜坂しずく,起動,<(E)><(E)>このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,"hand-only activation discards itself, draws 1, grants blade to named/group stage member",hand_activation_with_stage_target,source in hand and a valid target member is on stage,remove valid stage target,stage C,stage / live / green depending on text,,PL!N-bp4-003,,"PL!N-pb1-003,PL!N-bp3-009",,,,,40,,,,,,,activate_from_hand -> choose_stage_member_to_gain_blade -> resolve target,"hand source moves to green, draw +1, target temp_blade +1",live end,true,true,PILOT_SELECTED,Designed from card text; family=activated; no shared setup template copied.
PL!N-pb1-005#A01,PL!N-pb1-005,宮下愛,BODY,自分のステージにコスト10のメンバーが登場したとき、カードを1枚引く。,individual setup derived from text: 自分のステージにコスト10のメンバーが登場したとき、カードを1枚引く。,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-pb1-005,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!N-pb1-012#A01,PL!N-pb1-012,鐘嵐珠,BODY,自分のステージにこのメンバー以外のコスト11のメンバーが登場した時、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,individual setup derived from text: 自分のステージにこのメンバー以外のコスト11のメンバーが登場した時、自分のエネルギーデッキから、,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!N-pb1-012,,,,,,,40,3,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!S-PR-029#A01,PL!S-PR-029,渡辺曜,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,individual setup derived from text: 自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!S-PR-029,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!S-PR-030#A01,PL!S-PR-030,津島善子,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,individual setup derived from text: 自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!S-PR-030,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!S-PR-031#A01,PL!S-PR-031,国木田花丸,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,individual setup derived from text: 自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!S-PR-031,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!S-PR-039#A01,PL!S-PR-039,渡辺曜,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,opponent success-zone aggregate value affects this continuous modifier,opponent_success_count_or_score,opponent aggregate success count/score satisfies threshold or exceeds own value,opponent aggregate value is set below threshold/equal,stage C,stage / live / green depending on text,,PL!S-PR-039,,,,,,,,,,2,6 or larger when score threshold is referenced,,,,blade or live score bonus equals threshold text,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
