canonical_id,registry_rule_id,registry_match_evidence,engine_function,engine_function_evidence,effects_module,effects_function,server_action,server_action_evidence,pending_kind,route_confidence,route_notes
PL!N-bp4-026#A02,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!N-bp5-002#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-bp5-003#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-bp5-030#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!N-bp7-004#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-pb1-002#A02,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-pb1-003#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!N-pb1-005#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!N-pb1-012#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-PR-029#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!S-PR-030#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!S-PR-031#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!S-PR-039#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-bp2-001#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-bp3-006#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-bp3-016#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-bp6-002#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!S-bp6-003#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-bp6-009#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-bp7-006#A01,,,_enqueue_live_start_prompts,trigger is live-start; engine has live-start queue builder but exact parser must be confirmed in pilot,,,next(indices) in LIVE_SET then next() in LIVE_CONFIRM,,auto_order / source-specific live_start pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-bp7-015#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!S-pb1-006#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!S-pb1-009#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!SP-bp1-001#A01,,,prohibition / rule-gate family,"prohibition text requires a rule hook, not a generic word-presence match",,,phase/action gate,,,WEAK_GLOBAL_PRESENCE,Pilot must confirm actual rule gate; global support alone is not implementation evidence.
PL!SP-bp2-008#A01,,,cmd_activate_to_green / cmd_activate_from_hand,activated timing uses normal activation commands; exact effect resolver is pilot-gated,,,activate_to_green or activate_from_hand,server exposes normal activate actions,discard_from_hand / effect-specific pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!SP-bp2-010#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!SP-bp4-003#A02,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!SP-bp4-009#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!SP-bp4-016#A01,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!SP-bp7-005#A01,,,continuous computed values via state_json/stage_detail and engine helpers,family-level continuous calculator exists; exact text confirmation required by pilot,,,state_json,no UI action; computed value is observed,,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!SP-bp7-005#A02,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!SP-bp7-025#A01,,,_enqueue_live_start_prompts,trigger is live-start; engine has live-start queue builder but exact parser must be confirmed in pilot,,,next(indices) in LIVE_SET then next() in LIVE_CONFIRM,,auto_order / source-specific live_start pending,STRONG_FAMILY_MATCH,Route confidence is not a final implementation status.
PL!SP-pb2-006#A02,,,,,,,,,,NO_ROUTE_FOUND,Route confidence is not a final implementation status.
PL!SP-pb2-022#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!SP-pb2-035#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!SP-pb2-041#A01,,,continuous blade/heart global support,only global presence; not target-specific,,,state_json,,,WEAK_GLOBAL_PRESENCE,Route confidence is not a final implementation status.
PL!SP-pb2-046#A01,,,prohibition / rule-gate family,"prohibition text requires a rule hook, not a generic word-presence match",,,phase/action gate,,,WEAK_GLOBAL_PRESENCE,Pilot must confirm actual rule gate; global support alone is not implementation evidence.
