canonical_id,cardnumber,trigger,condition_summary,required_stage,required_hand,required_green,required_deck,required_success_zone,required_live_zone,required_energy,required_opponent_inputs,required_history_event,negative_case_difference,expected_effect,command_file
PL!HS-bp1-003#A01,PL!HS-bp1-003,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!HS-bp1-003,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",live_score:+1,evidence/PL_HS_bp1_003_A01/positive/command.sh
PL!HS-bp5-016#A02,PL!HS-bp5-016,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!HS-bp5-016,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_HS_bp5_016_A02/positive/command.sh
PL!HS-bp6-007#A01,PL!HS-bp6-007,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!HS-bp6-007,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_HS_bp6_007_A01/positive/command.sh
PL!HS-pb1-001#A01,PL!HS-pb1-001,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!HS-pb1-001,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",energy/change,evidence/PL_HS_pb1_001_A01/positive/command.sh
PL!HS-pb1-003#A02,PL!HS-pb1-003,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!HS-pb1-003,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+1,evidence/PL_HS_pb1_003_A02/positive/command.sh
PL!HS-pb1-009#A01,PL!HS-pb1-009,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!HS-pb1-009,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+2,evidence/PL_HS_pb1_009_A01/positive/command.sh
PL!HS-pb1-015#A01,PL!HS-pb1-015,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!HS-pb1-015,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+3,evidence/PL_HS_pb1_015_A01/positive/command.sh
PL!N-PR-024#A01,PL!N-PR-024,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-PR-024,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003","PL!N-bp1-029,PL!N-bp3-032",,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+2,evidence/PL_N_PR_024_A01/positive/command.sh
PL!N-PR-025#A01,PL!N-PR-025,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-PR-025,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",draw:+1,evidence/PL_N_PR_025_A01/positive/command.sh
PL!N-bp1-008#A01,PL!N-bp1-008,起動,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp1-008,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_N_bp1_008_A01/positive/command.sh
PL!N-bp4-008#A01,PL!N-bp4-008,起動,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp4-008,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",energy/change,evidence/PL_N_bp4_008_A01/positive/command.sh
PL!N-bp4-012#A01,PL!N-bp4-012,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp4-012,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003","PL!N-bp1-029,PL!N-bp3-032",,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",live_score:+1,evidence/PL_N_bp4_012_A01/positive/command.sh
PL!N-bp4-018#A01,PL!N-bp4-018,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp4-018,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",draw:+1,evidence/PL_N_bp4_018_A01/positive/command.sh
PL!N-bp4-026#A01,PL!N-bp4-026,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp4-026,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_N_bp4_026_A01/positive/command.sh
PL!N-bp4-026#A02,PL!N-bp4-026,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp4-026,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+2,evidence/PL_N_bp4_026_A02/positive/command.sh
PL!N-bp5-002#A01,PL!N-bp5-002,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp5-002,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",live_score:+1,evidence/PL_N_bp5_002_A01/positive/command.sh
PL!N-bp5-003#A01,PL!N-bp5-003,起動,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp5-003,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",energy/change,evidence/PL_N_bp5_003_A01/positive/command.sh
PL!N-bp5-030#A01,PL!N-bp5-030,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp5-030,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",state/log route change,evidence/PL_N_bp5_030_A01/positive/command.sh
PL!N-bp7-004#A01,PL!N-bp7-004,起動,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp7-004,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+1;energy/change,evidence/PL_N_bp7_004_A01/positive/command.sh
PL!N-pb1-002#A02,PL!N-pb1-002,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-pb1-002,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",live_score:+1;energy/change,evidence/PL_N_pb1_002_A02/positive/command.sh
PL!N-pb1-003#A01,PL!N-pb1-003,起動,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-bp4-003,"PL!N-pb1-003,PL!N-bp3-009,PL!N-bp1-029","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",draw:+1;blade:+1;energy/change,evidence/PL_N_pb1_003_A01/positive/command.sh
PL!N-pb1-005#A01,PL!N-pb1-005,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-pb1-005,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",draw:+1,evidence/PL_N_pb1_005_A01/positive/command.sh
PL!N-pb1-012#A01,PL!N-pb1-012,BODY,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!N-pb1-012,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,,BODY,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",energy/change,evidence/PL_N_pb1_012_A01/positive/command.sh
PL!S-PR-029#A01,PL!S-PR-029,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!S-PR-029,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+2,evidence/PL_S_PR_029_A01/positive/command.sh
PL!S-PR-030#A01,PL!S-PR-030,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!S-PR-030,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+2,evidence/PL_S_PR_030_A01/positive/command.sh
PL!S-PR-031#A01,PL!S-PR-031,常時,positive setup satisfies visible stage/hand/green/success/energy prerequisites inferred from DB text,PL!S-PR-031,"PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026","PL!N-bp3-009,PL!N-bp1-029,PL!HS-bp2-015,PL!S-bp2-026,PL!SP-bp1-001","PL!N-bp1-029,PL!N-bp3-032,PL!S-bp2-026,PL!S-bp2-027,PL!HS-bp2-015,PL!HS-bp2-014,PL!N-bp3-009,LL-bp5-001,PL!SP-bp1-001,PL!S-PR-029,PL!SP-bp4-003",,,40,aggregate opponent input if prompted,,"remove hand/energy for activation, remove live hand for live-start, remove side/success prerequisites for continuous",blade:+2,evidence/PL_S_PR_031_A01/positive/command.sh
