priority,canonical_id,cardnumber,family,status,problem,recommended_fix,evidence
P2,PL!HS-bp1-003#A01,PL!HS-bp1-003,live_score_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_HS_bp1_003_A01/positive
P2,PL!HS-bp5-016#A02,PL!HS-bp5-016,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_HS_bp5_016_A02/positive
P2,PL!HS-bp6-007#A01,PL!HS-bp6-007,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_HS_bp6_007_A01/positive
P2,PL!HS-pb1-001#A01,PL!HS-pb1-001,energy_event_or_under,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_HS_pb1_001_A01/positive
P2,PL!HS-pb1-003#A02,PL!HS-pb1-003,blade_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_HS_pb1_003_A02/positive
P2,PL!HS-pb1-009#A01,PL!HS-pb1-009,stage_entry_or_baton_event,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_HS_pb1_009_A01/positive
P2,PL!HS-pb1-015#A01,PL!HS-pb1-015,blade_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_HS_pb1_015_A01/positive
P2,PL!N-PR-024#A01,PL!N-PR-024,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_PR_024_A01/positive
P2,PL!N-PR-025#A01,PL!N-PR-025,stage_entry_or_baton_event,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_PR_025_A01/positive
P1,PL!N-bp1-008#A01,PL!N-bp1-008,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp1_008_A01/positive
P1,PL!N-bp4-008#A01,PL!N-bp4-008,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp4_008_A01/positive
P2,PL!N-bp4-012#A01,PL!N-bp4-012,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp4_012_A01/positive
P2,PL!N-bp4-018#A01,PL!N-bp4-018,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp4_018_A01/positive
P2,PL!N-bp4-026#A01,PL!N-bp4-026,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp4_026_A01/positive
P2,PL!N-bp4-026#A02,PL!N-bp4-026,blade_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp4_026_A02/positive
P2,PL!N-bp5-002#A01,PL!N-bp5-002,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp5_002_A01/positive
P1,PL!N-bp5-003#A01,PL!N-bp5-003,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp5_003_A01/positive
P2,PL!N-bp5-030#A01,PL!N-bp5-030,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp5_030_A01/positive
P1,PL!N-bp7-004#A01,PL!N-bp7-004,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_bp7_004_A01/positive
P2,PL!N-pb1-002#A02,PL!N-pb1-002,live_score_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_pb1_002_A02/positive
P1,PL!N-pb1-003#A01,PL!N-pb1-003,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_pb1_003_A01/positive
P2,PL!N-pb1-005#A01,PL!N-pb1-005,stage_entry_or_baton_event,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_pb1_005_A01/positive
P2,PL!N-pb1-012#A01,PL!N-pb1-012,energy_event_or_under,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_N_pb1_012_A01/positive
P2,PL!S-PR-029#A01,PL!S-PR-029,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_PR_029_A01/positive
P2,PL!S-PR-030#A01,PL!S-PR-030,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_PR_030_A01/positive
P2,PL!S-PR-031#A01,PL!S-PR-031,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_PR_031_A01/positive
P2,PL!S-PR-039#A01,PL!S-PR-039,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_PR_039_A01/positive
P2,PL!S-bp2-001#A01,PL!S-bp2-001,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_bp2_001_A01/positive
P1,PL!S-bp3-006#A01,PL!S-bp3-006,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_bp3_006_A01/positive
P2,PL!S-bp6-002#A01,PL!S-bp6-002,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_bp6_002_A01/positive
P1,PL!S-bp6-003#A01,PL!S-bp6-003,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_bp6_003_A01/positive
P2,PL!S-bp6-009#A01,PL!S-bp6-009,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_bp6_009_A01/positive
P1,PL!S-bp7-006#A01,PL!S-bp7-006,live_start_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_bp7_006_A01/positive
P2,PL!S-bp7-015#A01,PL!S-bp7-015,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_bp7_015_A01/positive
P1,PL!S-pb1-006#A01,PL!S-pb1-006,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_pb1_006_A01/positive
P2,PL!S-pb1-009#A01,PL!S-pb1-009,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_S_pb1_009_A01/positive
P2,PL!SP-bp1-001#A01,PL!SP-bp1-001,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp1_001_A01/positive
P1,PL!SP-bp2-008#A01,PL!SP-bp2-008,activated_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp2_008_A01/positive
P2,PL!SP-bp2-010#A01,PL!SP-bp2-010,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp2_010_A01/positive
P2,PL!SP-bp4-003#A02,PL!SP-bp4-003,blade_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp4_003_A02/positive
P2,PL!SP-bp4-009#A01,PL!SP-bp4-009,opponent_reference_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp4_009_A01/positive
P2,PL!SP-bp4-016#A01,PL!SP-bp4-016,energy_event_or_under,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp4_016_A01/positive
P2,PL!SP-bp7-005#A01,PL!SP-bp7-005,energy_event_or_under,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp7_005_A01/positive
P2,PL!SP-bp7-005#A02,PL!SP-bp7-005,energy_event_or_under,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp7_005_A02/positive
P1,PL!SP-bp7-025#A01,PL!SP-bp7-025,live_start_runtime,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_bp7_025_A01/positive
P2,PL!SP-pb2-006#A02,PL!SP-pb2-006,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_pb2_006_A02/positive
P2,PL!SP-pb2-022#A01,PL!SP-pb2-022,blade_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_pb2_022_A01/positive
P2,PL!SP-pb2-035#A01,PL!SP-pb2-035,blade_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_pb2_035_A01/positive
P2,PL!SP-pb2-041#A01,PL!SP-pb2-041,blade_continuous,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_pb2_041_A01/positive
P2,PL!SP-pb2-046#A01,PL!SP-pb2-046,other_tier3,TRIGGER_REACHED_RESOLVER_BLOCKED,runtime route候補はあるが、positive実行で期待delta完了まで到達しなかった。,family-level generic route/resolver; browser representative only after runtime completion,evidence/PL_SP_pb2_046_A01/positive
