original_audit_id,canonical_audit_id,mapping_type,cardnumber,canonical_trigger,canonical_effect_text,reason,evidence
PL!-bp6-009#A01,PL!-bp6-009#A01,CANONICAL,PL!-bp6-009,常時,自分のステージの右サイドエリアと左サイドエリアに、元々持つ<(ブレード)>の数が2つのメンバーがいるかぎり、ライブの合計スコアを+1する。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp6-019#A01,PL!-bp6-019#A01,CANONICAL,PL!-bp6-019,常時,このカードが自分の成功ライブカード置き場にあるかぎり、元々のコストが17以上の『μ's』のメンバーカードを自分の手札から登場させるためのコストは2減る。この効果は重複しない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp6-020#A03,PL!-bp6-020#A03,CANONICAL,PL!-bp6-020,BODY,自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp6-022#A01,PL!-bp6-022#A01,CANONICAL,PL!-bp6-022,常時,このカードが自分の成功ライブカード置き場にある限り、自分の元々のスコア5以上の『μ's』のライブカードの必要ハートを<任意><任意>減らす。この効果は重複しない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp6-024#A01,PL!-bp6-024#A01,CANONICAL,PL!-bp6-024,常時,このカードを成功ライブカード置き場に置く場合、代わりに自分の控え室にある『μ's』のライブカードを1枚置いてもよい。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-pb1-002#A02,PL!-pb1-002#A02,CANONICAL,PL!-pb1-002,常時,相手のステージにいるウェイト状態のメンバー1人につき、<紫>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-pb1-013#A02,PL!-pb1-013#A02,CANONICAL,PL!-pb1-013,BODY,<(E)><(E)>自分の手札を、相手は見ないで1枚選び公開する。これにより公開されたカードがライブカードの場合、ライブ終了時まで、このメンバーは『<常時>ライブの合計スコアを+1する。』を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-pb1-015#A02,PL!-pb1-015#A02,CANONICAL,PL!-pb1-015,BODY,自分のカードの効果によって、相手のステージにいるアクティブ状態のコスト4以下のメンバーがウェイト状態になったとき、カードを1枚引く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp1-003#A01,PL!HS-bp1-003#A01,CANONICAL,PL!HS-bp1-003,常時,自分のステージのエリアすべてに『蓮ノ空』のメンバーが登場しており、かつ名前が異なる場合、「<常時>ライブの合計スコアを+1する。」を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp2-020#A01,PL!HS-bp2-020#A01,CANONICAL,PL!HS-bp2-020,常時,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp5-001#A02,PL!HS-bp5-001#A02,CANONICAL,PL!HS-bp5-001,起動,<(E)><(E)>手札のライブカードを1枚公開する：自分の控え室から、これにより公開したカードのカード名がすべて含まれるライブカードを1枚手札に加える。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp5-016#A02,PL!HS-bp5-016#A02,CANONICAL,PL!HS-bp5-016,常時,相手のステージにウェイト状態のメンバーが2人以上いるかぎり、<紫>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp5-018#A01,PL!HS-bp5-018#A01,CANONICAL,PL!HS-bp5-018,常時,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp6-006#A02,PL!HS-bp6-006#A02,CANONICAL,PL!HS-bp6-006,常時,このメンバーは『みらくらぱーく！』以外のメンバーカードとのバトンタッチで控え室に置けない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp6-007#A01,PL!HS-bp6-007#A01,CANONICAL,PL!HS-bp6-007,BODY,自分のステージに『Edel Note』のメンバーが登場したとき、相手は、自身のステージにいるアクティブ状態のメンバー1人をウェイトにする。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-bp6-014#A01,PL!HS-bp6-014#A01,CANONICAL,PL!HS-bp6-014,起動,このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる「藤島慈」か「大沢瑠璃乃」のうち1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-001#A01,PL!HS-pb1-001#A01,CANONICAL,PL!HS-pb1-001,BODY,自分のステージにほかの『スリーズブーケ』のメンバーが登場するたび、<(E)>を支払ってもよい。そうした場合、エネルギーを2枚アクティブにする。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-002#A01,PL!HS-pb1-002#A01,CANONICAL,PL!HS-pb1-002,起動,手札の「村野さやか」のメンバーカードを1枚公開する：これにより公開したカードをこのメンバーの下に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-003#A02,PL!HS-pb1-003#A02,CANONICAL,PL!HS-pb1-003,BODY,自分の手札からカードが1枚以上控え室に置かれるたび、ライブ終了時まで、<桃><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-007#A02,PL!HS-pb1-007#A02,CANONICAL,PL!HS-pb1-007,常時,自分のステージにメンバーがちょうど2人おり、かつ相手のステージにメンバーが3人以上いるかぎり、<紫>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-008#A02,PL!HS-pb1-008#A02,CANONICAL,PL!HS-pb1-008,常時,相手のステージにいるメンバーはアクティブフェイズにアクティブにならない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-009#A01,PL!HS-pb1-009#A01,CANONICAL,PL!HS-pb1-009,BODY,自分のステージに『蓮ノ空』のメンバーが登場するたび、ライブ終了時まで、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-014#A02,PL!HS-pb1-014#A02,CANONICAL,PL!HS-pb1-014,常時,このメンバーの正面のエリアにいる相手のメンバーのコストが、このメンバーのコストより高いかぎり、<桃>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-015#A01,PL!HS-pb1-015#A01,CANONICAL,PL!HS-pb1-015,常時,自分のステージにほかのメンバーがいないかぎり、<(ブレード)><(ブレード)><(ブレード)>を失う。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-pb1-028#A02,PL!HS-pb1-028#A02,CANONICAL,PL!HS-pb1-028,ライブ開始時,自分のステージにいるコスト10以上の『DOLLCHESTRA』のメンバー1人を選ぶ。そのメンバーの<ライブ開始時>能力1つを発動させてよい。 / （<ライブ開始時>能力がコストを持つ場合、支払って発動させる。）,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-sd1-004#A02,PL!HS-sd1-004#A02,CANONICAL,PL!HS-sd1-004,常時,自分のステージに「日野下花帆」か「徒町小鈴」か「安養寺姫芽」がいるかぎり、<緑>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-sd1-005#A02,PL!HS-sd1-005#A02,CANONICAL,PL!HS-sd1-005,常時,自分のステージに「村野さやか」か「百生吟子」か「安養寺姫芽」がいるかぎり、<(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!HS-sd1-020#A01,PL!HS-sd1-020#A01,CANONICAL,PL!HS-sd1-020,常時,すべての領域にあるこのカードは『スリーズブーケ』、『DOLLCHESTRA』、『みらくらぱーく！』として扱う。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-003#A01,PL!N-PR-003#A01,CANONICAL,PL!N-PR-003,起動,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-008#A01,PL!N-PR-008#A01,CANONICAL,PL!N-PR-008,起動,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-010#A01,PL!N-PR-010#A01,CANONICAL,PL!N-PR-010,起動,手札をすべて公開する：自分のステージにほかのメンバーがおり、かつこれにより公開した手札の中にライブカードがない場合、自分のデッキの上からカードを5枚見る。その中からライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-024#A01,PL!N-PR-024#A01,CANONICAL,PL!N-PR-024,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-025#A01,PL!N-PR-025#A01,CANONICAL,PL!N-PR-025,BODY,自分のステージに、このメンバーか、ほかのメンバーがバトンタッチして登場したとき、カードを1枚引く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-026#A02,PL!N-PR-026#A02,CANONICAL,PL!N-PR-026,常時,このメンバーは、このメンバーの下に置かれているコスト9以下の『虹ヶ咲』のメンバーカードが持つ<ライブ成功時>能力をすべて得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-026#A03,PL!N-PR-026#A03,CANONICAL,PL!N-PR-026,登場,自分の控え室からコスト9以下の『虹ヶ咲』のメンバーカード1枚をこのメンバーの下に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-PR-027#A01,PL!N-PR-027#A01,CANONICAL,PL!N-PR-027,常時,自分と相手のステージにメンバーが合計6人いるかぎり、<赤><青>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp1-002#A02,PL!N-bp1-002#A02,CANONICAL,PL!N-bp1-002,起動,"<(E)><(E)>, 手札を1枚控え室に置く：このカードを控え室からステージに登場させる。この能力は、このカードが控え室にある場合のみ起動できる。",Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp1-008#A01,PL!N-bp1-008#A01,CANONICAL,PL!N-bp1-008,起動,手札のメンバーカードを1枚控え室に置く：自分の控え室から、これにより控え室に置いたメンバーカードより、コストの低いメンバーカードを1枚手札に加える。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp3-003#A02,PL!N-bp3-003#A02,CANONICAL,PL!N-bp3-003,登場,自分の控え室にあるコスト4以下の『虹ヶ咲』のメンバーカードを1枚選ぶ。そのカードの<登場>能力1つを使用する。 / （<登場>能力がコストを持つ場合、支払って発動する。）,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp3-005#A03,PL!N-bp3-005#A03,CANONICAL,PL!N-bp3-005,BODY,このターン、自分のステージにメンバーが3回登場したとき、手札が5枚になるまでカードを引く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp4-007#A02,PL!N-bp4-007#A02,CANONICAL,PL!N-bp4-007,常時,自分と相手のエネルギーの合計が15枚以上あるかぎり、<赤><赤>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp4-008#A01,PL!N-bp4-008#A01,CANONICAL,PL!N-bp4-008,起動,手札を1枚控え室に置く：エネルギー1枚か『虹ヶ咲』のメンバー1人をアクティブにする。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp4-012#A01,PL!N-bp4-012#A01,CANONICAL,PL!N-bp4-012,常時,相手の成功ライブカード置き場にあるカードのスコアの合計が6以上であるかぎり、ライブの合計スコアを+1する。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp4-018#A01,PL!N-bp4-018#A01,CANONICAL,PL!N-bp4-018,BODY,自分のメインフェイズの間、このメンバーがアクティブ状態からウェイト状態になった時、カードを1枚引き、手札からカードを1枚控え室に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp4-026#A02,PL!N-bp4-026#A02,CANONICAL,PL!N-bp4-026,BODY,このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp4-026#A01,PL!N-bp4-026#A01,CANONICAL,PL!N-bp4-026,BODY,自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DIVE！」のカード1枚を表向きでライブカード置き場に置いてもよい。そうした場合、次のライブカードセットフェイズで自分のライブカード置き場におけるカードの枚数の条件が1枚減る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp5-001#A02,PL!N-bp5-001#A02,CANONICAL,PL!N-bp5-001,BODY,自分がエールしたとき、エールにより公開された自分のカードが持つブレードハートの中に<桃>、<赤>、<黄>、<緑>、<青>、<紫>、<ALL>のうち、3種類以上ある場合、ライブ終了時まで、<桃>を得る。6種類以上ある場合、さらにライブ終了時まで、『<常時>ライブの合計スコアを+1する。』を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp5-002#A01,PL!N-bp5-002#A01,CANONICAL,PL!N-bp5-002,常時,自分と相手のステージの中で、このメンバーがほかのすべてのメンバーより多くのハートを持つかぎり、ライブの合計スコアを+1する。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp5-003#A01,PL!N-bp5-003#A01,CANONICAL,PL!N-bp5-003,起動,手札を1枚控え室に置く：自分の控え室にあるライブカードを1枚選び、そのカードのスコアに等しい数の<(E)>を支払ってもよい。そうした場合、そのライブカードを手札に加える。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp5-030#A01,PL!N-bp5-030#A01,CANONICAL,PL!N-bp5-030,BODY,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-bp7-004#A01,PL!N-bp7-004#A01,CANONICAL,PL!N-bp7-004,起動,エネルギー置き場にあるエネルギー1枚をこのメンバーの下に置く：相手のステージにいる、元々持つ<(ブレード)>の数がこのメンバーの下にあるエネルギーカードの枚数に1を足した数以下のメンバー1人をウェイトにする。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-pb1-002#A02,PL!N-pb1-002#A02,CANONICAL,PL!N-pb1-002,常時,このメンバーの下にエネルギーカードが2枚以上置かれているかぎり、ライブの合計スコアを+1する。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-pb1-003#A01,PL!N-pb1-003#A01,CANONICAL,PL!N-pb1-003,起動,<(E)><(E)>このカードを手札から控え室に置く：カードを1枚引き、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は<(ブレード)>を得る。この能力は、このカードが手札にある場合のみ起動できる。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-pb1-004#A01,PL!N-pb1-004#A01,CANONICAL,PL!N-pb1-004,常時,このターンにこのメンバーが移動していない限り、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-pb1-005#A01,PL!N-pb1-005#A01,CANONICAL,PL!N-pb1-005,BODY,自分のステージにコスト10のメンバーが登場したとき、カードを1枚引く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-pb1-007#A01,PL!N-pb1-007#A01,CANONICAL,PL!N-pb1-007,常時,自分のライブ中のカードの必要ハートの中に<桃>、<赤>、<黄>、<緑>、<青>、<紫>がそれぞれ1以上含まれるかぎり、<ALL>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!N-pb1-012#A01,PL!N-pb1-012#A01,CANONICAL,PL!N-pb1-012,BODY,自分のステージにこのメンバー以外のコスト11のメンバーが登場した時、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-PR-029#A01,PL!S-PR-029#A01,CANONICAL,PL!S-PR-029,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-PR-030#A01,PL!S-PR-030#A01,CANONICAL,PL!S-PR-030,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-PR-031#A01,PL!S-PR-031#A01,CANONICAL,PL!S-PR-031,常時,自分か相手のステージにコスト13以上のメンバーがいる場合、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-PR-039#A01,PL!S-PR-039#A01,CANONICAL,PL!S-PR-039,常時,自分と相手の成功ライブカード置き場にカードが合計4枚以上あるかぎり、<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-PR-042#A01,PL!S-PR-042#A01,CANONICAL,PL!S-PR-042,常時,自分と相手のステージにメンバーが合計6人いるかぎり、<赤><緑>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp2-001#A01,PL!S-bp2-001#A01,CANONICAL,PL!S-bp2-001,常時,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp2-024#A01,PL!S-bp2-024#A01,CANONICAL,PL!S-bp2-024,常時,このカードは成功ライブカード置き場に置くことができない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp3-001#A01,PL!S-bp3-001#A01,CANONICAL,PL!S-bp3-001,起動,メンバー1人をウェイトにする：ライブ終了時まで、これによってウェイト状態になったメンバーは、「<常時>ライブの合計スコアを+1する。」を得る。 / (この能力はセンターエリアに登場している場合のみ起動できる。),Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp3-006#A01,PL!S-bp3-006#A01,CANONICAL,PL!S-bp3-006,起動,このメンバーをウェイトにし、手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置く。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp3-016#A01,PL!S-bp3-016#A01,CANONICAL,PL!S-bp3-016,常時,自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp5-001#A02,PL!S-bp5-001#A02,CANONICAL,PL!S-bp5-001,常時,能力を持たないメンバーを自分の手札から登場させるためのコストは1減る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp5-008#A01,PL!S-bp5-008#A01,CANONICAL,PL!S-bp5-008,常時,相手の余剰ハートが2つ以上あるかぎり、自分のライブの合計スコアを+1する。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp6-002#A01,PL!S-bp6-002#A01,CANONICAL,PL!S-bp6-002,BODY,『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカードをデッキの一番上か一番下に置いてもよい。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp6-003#A01,PL!S-bp6-003#A01,CANONICAL,PL!S-bp6-003,起動,"<(E)><(E)>,手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置いてもよい。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。",Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp6-004#A02,PL!S-bp6-004#A02,CANONICAL,PL!S-bp6-004,ライブ開始時,自分のライブカード置き場にカードが2枚以上ある場合、その中から<ライブ開始時>能力を持たない『Aqours』のライブカードを1枚選び、デッキの一番上に置いてもよい。そうした場合、ライブ終了時まで、<赤>と<緑>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp6-009#A01,PL!S-bp6-009#A01,CANONICAL,PL!S-bp6-009,常時,相手の成功ライブカード置き場にあるカードの枚数が自分より多いかぎり、その差に等しい数の<(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp7-005#A04,PL!S-bp7-005#A04,CANONICAL,PL!S-bp7-005,登場,自分の控え室にあるメンバーカード1枚を、自分のステージにいるメンバー1人の下に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp7-006#A01,PL!S-bp7-006#A01,CANONICAL,PL!S-bp7-006,ライブ開始時,自分のデッキの下からカードを3枚控え室に置く。それらがすべて『Aqours』のメンバーカードの場合、ライブ終了時まで、<緑>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp7-015#A01,PL!S-bp7-015#A01,CANONICAL,PL!S-bp7-015,常時,自分のデッキの下からカードを1枚控え室に置く。それがライブカードの場合、ライブ終了時まで、<赤>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp7-016#A01,PL!S-bp7-016#A01,CANONICAL,PL!S-bp7-016,常時,自分のステージにメンバーが3人以上いるかぎり、<赤><緑><青>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-bp7-022#A01,PL!S-bp7-022#A01,CANONICAL,PL!S-bp7-022,常時,自分のエールは、デッキの上から行う代わりにデッキの下から行う。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-pb1-006#A01,PL!S-pb1-006#A01,CANONICAL,PL!S-pb1-006,起動,手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-pb1-009#A01,PL!S-pb1-009#A01,CANONICAL,PL!S-pb1-009,常時,自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!S-pb1-019#A03,PL!S-pb1-019#A03,CANONICAL,PL!S-pb1-019,ライブ開始時,自分のステージいる『Aqours』のメンバーが持つハートに、<赤>が合計6個以上ある場合、このカードの<ライブ成功時>能力を無効にする。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-PR-022#A01,PL!SP-PR-022#A01,CANONICAL,PL!SP-PR-022,常時,自分と相手のステージにメンバーが合計6人いるかぎり、<赤><黄>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-PR-026#A02,PL!SP-PR-026#A02,CANONICAL,PL!SP-PR-026,ライブ開始時,自分のライブカード置き場にあるライブカードのスコアの合計が8以上の場合、『<常時>ライブの合計スコアを+1する。』を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
